"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,79.6148835502605,4214.96589913717,640
"2002/2003",2003,120,120,100,83.7371045579799,4892.73601939346,373
"2003/2004",2004,120,120,100,77.92660592461,7485.12000989422,427
"2004/2005",2005,121,121,100,84.1865980637226,4776.59973246395,429
"2005/2006",2006,120,120,100,77.9664953706049,4063.40421839163,758
"2006/2007",2007,120,120,100,86.2000644640905,4782.27972098812,316
"2007/2008",2008,120,120,100,85.9805701682515,6535.68260450091,165
"2008/2009",2009,121,121,100,82.0442257130417,6345.57632288721,341
"2009/2010",2010,120,120,100,81.6790597621102,5629.17478390282,597
"2010/2011",2011,120,120,100,76.8948010776746,5744.83647309954,456
"2011/2012",2012,120,120,100,89.3725066191498,4908.53821826365,270
"2012/2013",2013,121,121,100,82.3407654572084,6258.63188055414,404
"2013/2014",2014,120,120,100,83.8779502161563,6423.15521786432,302
"2014/2015",2015,120,120,100,85.8572347695037,7893.12698377843,213
"2015/2016",2016,120,120,100,86.0969427608782,4440.77519709826,364
"2016/2017",2017,121,121,100,82.3888951491926,5184.16018853476,406
"2017/2018",2018,120,120,100,78.3301720606983,6826.66960348212,501
"2018/2019",2019,120,120,100,80.3638841418756,7747.91516190651,249
"2019/2020",2020,120,120,100,82.64089816655,4272.44885586505,445
"2020/2021",2021,121,121,100,79.3763510357962,4259.85991356173,619
"2021/2022",2022,120,120,100,84.5326049210016,7835.38370487629,191
"2022/2023",2023,120,120,100,87.0323963858964,5037.52417515311,214
"2023/2024",2024,120,120,100,85.2770837921112,3269.28526090062,367
"2024/2025",2025,121,121,100,85.3675384075855,4004.16706798063,486
"2025/2026",2026,120,120,100,76.4571555113007,6017.09645674797,546
"2026/2027",2027,120,120,100,76.2176398970737,10137.7668228277,228
"2027/2028",2028,120,120,100,87.1083854933054,5107.77975281584,354
"2028/2029",2029,121,121,100,85.4756324648802,5842.02154834988,251
"2029/2030",2030,120,120,100,87.0694089524554,5531.63404595479,263
"2030/2031",2031,120,120,100,82.7871616457933,4504.79256610875,411
"2031/2032",2032,120,120,100,87.7680292250889,5546.30108316522,287
"2032/2033",2033,121,121,100,85.4478346310607,5310.46589949215,268
"2033/2034",2034,120,120,100,82.8129638686478,7058.56604499882,270
"2034/2035",2035,120,120,100,87.0142458160954,7471.782330852,166
"2035/2036",2036,120,120,100,88.5188600359133,4853.59422198497,272
"2036/2037",2037,121,121,100,88.6917549512109,4405.44976988388,339
"2037/2038",2038,120,120,100,88.8823570878512,7004.47806188138,92
"2038/2039",2039,120,120,100,82.6423935765924,4909.25303675793,485
"2039/2040",2040,120,120,100,84.4680656602577,2254.94981842255,658
"2040/2041",2041,121,121,100,87.1696217721465,4051.33155127754,393
"2041/2042",2042,120,120,100,84.6577106826344,5462.94290479738,350
"2042/2043",2043,120,120,100,78.0070233837332,2938.64789616875,771
"2043/2044",2044,120,120,100,81.6429789224012,7691.92661569547,156
"2044/2045",2045,121,121,100,88.0773565318314,4058.26959026977,236
"2045/2046",2046,120,120,100,86.7906876900151,6399.78070247406,94
"2046/2047",2047,120,120,100,92.0269777157355,5530.91727024224,130
"2047/2048",2048,120,120,100,83.8459827930456,6807.08769895369,315
"2048/2049",2049,121,121,100,86.7330723592268,4529.62763305428,211
"2049/2050",2050,120,120,100,89.2522137772712,6244.07309733098,60
"2050/2051",2051,120,120,100,87.0461350798687,7553.32109605754,68
"2051/2052",2052,120,120,100,86.3499869021643,5273.24837094918,346
"2052/2053",2053,121,121,100,84.0923581112138,4475.52244484425,416
"2053/2054",2054,120,120,100,77.925766275046,4793.31478315033,638
"2054/2055",2055,120,120,100,86.8580622508944,3360.11742255697,449
"2055/2056",2056,120,120,100,89.30007271881,4383.34590894869,147
"2056/2057",2057,121,121,100,87.801436587557,4201.28984541073,338
"2057/2058",2058,120,120,100,77.6276179188044,6683.14526605513,410
"2058/2059",2059,120,120,100,84.5236719730801,3458.17041934002,502
"2059/2060",2060,120,120,100,85.7208540161564,7682.62428568024,171
"2060/2061",2061,121,121,100,87.8979001813605,3183.76142529957,326
"2061/2062",2062,120,120,100,85.3449571748006,4160.15753766429,413
"2062/2063",2063,120,120,100,78.4842751724154,8722.74868358485,207
"2063/2064",2064,120,120,100,81.0338857510633,8098.26886467449,291
"2064/2065",2065,121,121,100,71.2075628592011,7452.58273839485,423
"2065/2066",2066,120,120,100,75.9502033792905,6280.57427927013,555
"2066/2067",2067,120,120,100,87.126639131202,3999.19543513749,246
"2067/2068",2068,120,120,100,87.2591940554721,6812.44455186836,146
"2068/2069",2069,121,121,100,82.4877416211766,3509.49512134306,639
"2069/2070",2070,120,120,100,83.3332667628329,5837.57732433081,350
"2070/2071",2071,120,120,100,83.7461851104836,5461.72196532879,358
"2071/2072",2072,120,120,100,83.615653007244,5860.05173522606,386
"2072/2073",2073,121,121,100,80.092114317049,5011.75219478458,560
"2073/2074",2074,120,120,100,81.0830030754332,3344.42325173225,578
"2074/2075",2075,120,120,100,84.0897454131918,5328.42052627262,346
"2075/2076",2076,120,120,100,80.835973765772,4743.35738133267,573
"2076/2077",2077,121,121,100,82.8853811644894,3492.11346347071,640
"2077/2078",2078,120,120,100,81.2536231371323,8082.58164694626,234
"2078/2079",2079,120,120,100,83.1570874317549,8013.30773588549,219
"2079/2080",2080,120,120,100,80.9854875197125,5738.0877799252,471
"2080/2081",2081,121,121,100,76.2224391223717,5105.73064752016,684
"2081/2082",2082,120,120,100,81.8231056414606,4480.88579522539,416
"2082/2083",2083,120,120,100,89.6504326667509,3676.26164148003,236
"2083/2084",2084,120,120,100,81.1830127784506,3986.09269303177,521
"2084/2085",2085,121,121,100,82.001868626985,8125.63088152651,227
