"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,81.4443142162317,3867.6541696088,646
"2002/2003",2003,120,120,100,83.2315588474217,4630.75232856796,383
"2003/2004",2004,120,120,100,80.2388695548902,6734.48578114601,401
"2004/2005",2005,121,121,100,84.1670395739273,4360.79728878627,445
"2005/2006",2006,120,120,100,77.988891916996,3554.64365074347,745
"2006/2007",2007,120,120,100,84.8826164301327,4497.16776863614,317
"2007/2008",2008,120,120,100,85.8821959241396,6130.71922693704,165
"2008/2009",2009,121,121,100,85.3269700166494,5856.41954127885,317
"2009/2010",2010,120,120,100,81.955016942341,5146.80448371463,585
"2010/2011",2011,120,120,100,79.1784182846088,5144.99430384953,451
"2011/2012",2012,120,120,100,88.8862131784333,4422.99606009095,259
"2012/2013",2013,121,121,100,83.8994444935599,5846.09932607121,422
"2013/2014",2014,120,120,100,84.8111859071096,6050.08698266372,320
"2014/2015",2015,120,120,100,85.2106546469672,7819.93957452348,258
"2015/2016",2016,120,120,100,87.4200517805684,4071.8848653076,386
"2016/2017",2017,121,121,100,83.2872252962234,4881.78294851375,428
"2017/2018",2018,120,120,100,79.3983334073846,6525.07880774373,536
"2018/2019",2019,120,120,100,80.4503872709743,7465.35269779176,276
"2019/2020",2020,120,120,100,83.9583730579961,3819.15478818654,447
"2020/2021",2021,121,121,100,80.4927737037447,3742.96236728784,635
"2021/2022",2022,120,120,100,85.4736064193685,7328.38237883616,192
"2022/2023",2023,120,120,100,87.5130302553366,4932.31325993733,249
"2023/2024",2024,120,120,100,85.7224115160798,3000.64590581041,384
"2024/2025",2025,121,121,100,85.5604829257095,3618.05105711031,502
"2025/2026",2026,120,120,100,79.3709231493985,5393.96311890217,525
"2026/2027",2027,120,120,100,78.3968511982935,9537.21438349504,216
"2027/2028",2028,120,120,100,86.9509294182694,4714.72462099395,358
"2028/2029",2029,121,121,100,86.2795288665338,5329.06030875421,251
"2029/2030",2030,120,120,100,87.5942096125736,5172.56205335632,280
"2030/2031",2031,120,120,100,83.5696701823035,3986.271354086,399
"2031/2032",2032,120,120,100,87.3119168685871,5097.00168141676,289
"2032/2033",2033,121,121,100,85.6605934906875,4934.49378941208,281
"2033/2034",2034,120,120,100,82.4591902206384,6577.99879461713,261
"2034/2035",2035,120,120,100,87.7926582148139,7145.92623916315,187
"2035/2036",2036,120,120,100,88.153817748419,4558.7300452874,293
"2036/2037",2037,121,121,100,87.281875949041,4177.72339909663,384
"2037/2038",2038,120,120,100,89.8455358088513,6533.64273347473,88
"2038/2039",2039,120,120,100,84.6011184019608,4594.74792641262,488
"2039/2040",2040,120,120,100,83.3047204388631,2043.22274753498,678
"2040/2041",2041,121,121,100,87.1764527211026,3737.28853271715,397
"2041/2042",2042,120,120,100,86.0185554196969,5088.50199185032,358
"2042/2043",2043,120,120,100,78.5500864483993,2808.99733251147,820
"2043/2044",2044,120,120,100,82.3378021766512,7165.9522420438,139
"2044/2045",2045,121,121,100,85.8592512195655,3902.11187460227,265
"2045/2046",2046,120,120,100,85.9624389466453,6328.4781151861,130
"2046/2047",2047,120,120,100,91.5264071229276,5199.96444537211,136
"2047/2048",2048,120,120,100,83.1224736148288,6448.41894748667,320
"2048/2049",2049,121,121,100,87.8451175038936,4163.99762796564,214
"2049/2050",2050,120,120,100,91.024080458229,5777.37882833695,71
"2050/2051",2051,120,120,100,89.6199885842034,6964.98927929532,61
"2051/2052",2052,120,120,100,86.067438238887,4930.05780248018,371
"2052/2053",2053,121,121,100,84.7727012203859,4232.61134614656,408
"2053/2054",2054,120,120,100,77.6559026903506,4273.26497017359,641
"2054/2055",2055,120,120,100,85.7384259242626,3012.37264143489,489
"2055/2056",2056,120,120,100,88.74921188806,4188.53688829159,152
"2056/2057",2057,121,121,100,87.8631012837586,3914.25829221774,352
"2057/2058",2058,120,120,100,78.4398342270515,6271.9518530122,420
"2058/2059",2059,120,120,100,86.8663646410068,2955.33896499407,479
"2059/2060",2060,120,120,100,86.4401233918124,7304.06539386744,172
"2060/2061",2061,121,121,100,88.309623910307,3035.16820468567,351
"2061/2062",2062,120,120,100,84.4263579824674,4129.942667,490
"2062/2063",2063,120,120,100,79.3904038662531,8154.97780033853,213
"2063/2064",2064,120,120,100,82.3622794002858,7338.83659924194,270
"2064/2065",2065,121,121,100,73.4820743235741,6892.6258320557,440
"2065/2066",2066,120,120,100,76.4185534008702,5665.92464289255,554
