"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,80.9037508143634,4843.10503861301,620
"2002/2003",2003,120,120,100,82.8800175321563,5323.02682604792,354
"2003/2004",2004,120,120,100,77.9103469918217,8277.40199892651,394
"2004/2005",2005,121,121,100,80.6774919904292,5715.96241320093,440
"2005/2006",2006,120,120,100,76.5601441402272,5092.21372253075,783
"2006/2007",2007,120,120,100,81.1593614412138,5836.47810537316,344
"2007/2008",2008,120,120,100,85.3733104107533,7008.68229099846,145
"2008/2009",2009,121,121,100,78.4981407742217,7327.33166643616,326
"2009/2010",2010,120,120,100,78.6006238415382,6613.7970037245,585
"2010/2011",2011,120,120,100,75.2729006556003,7007.15104738122,499
"2011/2012",2012,120,120,100,85.8565818505701,5854.07601468649,288
"2012/2013",2013,121,121,100,80.3222305317424,6968.25090304622,395
"2013/2014",2014,120,120,100,79.8907347376189,7552.694438554,368
"2014/2015",2015,120,120,100,85.0178346915004,8178.76141997031,181
"2015/2016",2016,120,120,100,84.1702297422798,4975.47296479438,329
"2016/2017",2017,121,121,100,81.8652719308186,5959.25273964135,393
"2017/2018",2018,120,120,100,77.6244381303547,7114.29656398203,455
"2018/2019",2019,120,120,100,79.1837679044966,8361.74253052264,182
"2019/2020",2020,120,120,100,83.4690674788148,5022.05586814997,433
"2020/2021",2021,121,121,100,76.603206664382,5039.08770502149,606
"2021/2022",2022,120,120,100,85.5258628129527,8670.9400124352,178
"2022/2023",2023,120,120,100,86.9612843156783,5704.84317794722,204
"2023/2024",2024,120,120,100,83.9057450220394,4104.4934665889,394
"2024/2025",2025,121,121,100,83.5264428568348,4834.6474675322,519
"2025/2026",2026,120,120,100,75.5806491813778,6788.61429414642,518
"2026/2027",2027,120,120,100,76.9829366289819,10766.3347153233,234
"2027/2028",2028,120,120,100,86.5277217245098,5859.39984061965,370
"2028/2029",2029,121,121,100,82.9587599025908,6856.03325815895,274
"2029/2030",2030,120,120,100,85.2063142680472,6337.2517763637,281
"2030/2031",2031,120,120,100,81.9336991056534,5094.04436247936,382
"2031/2032",2032,120,120,100,86.4770808643634,6032.91714432789,285
"2032/2033",2033,121,121,100,83.3725783865511,6194.77059554867,280
"2033/2034",2034,120,120,100,79.3717123955435,7946.40710218996,281
"2034/2035",2035,120,120,100,84.4479308181672,8112.64304908784,148
