"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,77.5530111956199,2843.43010760663,826
"2002/2003",2003,120,120,100,83.3143847619845,3171.86419373169,563
"2003/2004",2004,120,120,100,82.6687942815393,5090.61375745651,494
"2004/2005",2005,121,121,100,82.5355869089357,3315.82042736368,618
"2005/2006",2006,120,120,100,78.1820066124892,2837.38107017381,908
"2006/2007",2007,120,120,100,81.4230446493883,3536.35961983551,542
"2007/2008",2008,120,120,100,87.1285901323531,4451.14019528555,283
"2008/2009",2009,121,121,100,82.0969524485756,4682.68768806942,521
"2009/2010",2010,120,120,100,80.7917328934827,3901.79027809063,752
"2010/2011",2011,120,120,100,77.4178237654503,4369.57220796624,707
"2011/2012",2012,120,120,100,85.9765784683775,3367.22833223979,420
"2012/2013",2013,121,121,100,82.5140503012824,4216.2958189582,586
"2013/2014",2014,120,120,100,79.839447126993,4855.00673435035,472
"2014/2015",2015,120,120,100,87.3202405649349,5602.75885722041,320
"2015/2016",2016,120,120,100,85.5661465650546,2810.33804349659,524
"2016/2017",2017,121,121,100,81.9249673364548,3659.32825598784,601
"2017/2018",2018,120,120,100,79.3013876274572,4924.7379140174,630
"2018/2019",2019,120,120,100,84.0875264760093,5720.73374367482,406
"2019/2020",2020,120,120,100,82.2022872781754,2858.26542890957,667
"2020/2021",2021,121,121,100,77.705365987762,2919.89039949258,838
"2021/2022",2022,120,120,100,87.5846136352138,5325.17477308982,259
"2022/2023",2023,120,120,100,85.8166941151685,3746.53707183967,431
"2023/2024",2024,120,120,100,80.1211225940333,2269.20546387415,630
"2024/2025",2025,121,121,100,83.0307266618979,2776.31207948155,692
"2025/2026",2026,120,120,100,77.6090617347068,4319.02139766281,672
"2026/2027",2027,120,120,100,80.6737756779544,7541.87374656298,363
"2027/2028",2028,120,120,100,85.1987392022834,3553.77663853136,567
"2028/2029",2029,121,121,100,85.4384180304792,3979.18649686431,373
"2029/2030",2030,120,120,100,87.2414520146312,3747.18353275326,458
"2030/2031",2031,120,120,100,81.6635221517417,2879.45556935691,558
"2031/2032",2032,120,120,100,87.0314241296865,3417.15547586489,361
"2032/2033",2033,121,121,100,84.0522416760314,3802.14843445132,455
"2033/2034",2034,120,120,100,83.448483046167,5084.98461766494,403
"2034/2035",2035,120,120,100,87.0348238363486,5310.31411616923,263
"2035/2036",2036,120,120,100,85.9581605724497,3176.07515052333,409
"2036/2037",2037,121,121,100,86.0095065477117,2991.44874614291,590
"2037/2038",2038,120,120,100,88.1780549313789,5068.01840135548,216
"2038/2039",2039,120,120,100,79.692217398765,3760.45303327776,726
"2039/2040",2040,120,120,100,79.91376063804,1281.22716636304,860
"2040/2041",2041,121,121,100,85.5871074742108,2488.28683509585,540
"2041/2042",2042,120,120,100,83.4336191703114,3848.66333768563,533
"2042/2043",2043,120,120,100,75.9842561471996,1857.85465513403,1033
"2043/2044",2044,120,120,100,78.8394139623497,5829.27692291001,285
"2044/2045",2045,121,121,100,86.6498167374275,2864.80807922222,464
"2045/2046",2046,120,120,100,86.1321355747823,4618.24002049072,237
"2046/2047",2047,120,120,100,89.9152087200246,3679.00223169476,238
"2047/2048",2048,120,120,100,85.4746568875125,4688.66145137511,485
"2048/2049",2049,121,121,100,87.2009761258623,3095.69177828683,328
"2049/2050",2050,120,120,100,90.4132649193134,4207.00148947863,177
"2050/2051",2051,120,120,100,89.6649226658092,5226.12273404421,148
"2051/2052",2052,120,120,100,85.3634489077231,3659.85699933534,511
"2052/2053",2053,121,121,100,83.4698008580153,2911.44052111683,560
"2053/2054",2054,120,120,100,74.3144159863486,3399.64132690011,859
"2054/2055",2055,120,120,100,82.8369447280975,2178.73368062638,749
"2055/2056",2056,120,120,100,88.1199555901976,2865.8221706734,268
"2056/2057",2057,121,121,100,85.5604001539214,2966.08530034125,553
"2057/2058",2058,120,120,100,79.0702275409585,5108.91066675587,593
"2058/2059",2059,120,120,100,82.0371754618736,2144.43138508778,663
"2059/2060",2060,120,120,100,86.4211920535781,5327.13798789261,252
"2060/2061",2061,121,121,100,83.2011353687813,2280.06602552673,589
"2061/2062",2062,120,120,100,79.6030460246093,3398.93412829051,745
"2062/2063",2063,120,120,100,82.1233965542506,6547.37877140101,344
"2063/2064",2064,120,120,100,86.2710352991398,5472.92278021621,334
