"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,77.2310744672026,3158.58665637834,799
"2002/2003",2003,120,120,100,83.6937886850148,3583.84131504953,564
"2003/2004",2004,120,120,100,80.0498837623872,5725.07946121556,510
"2004/2005",2005,121,121,100,81.6359288477511,3605.22071440436,580
"2005/2006",2006,120,120,100,75.1429790342696,3127.5356145344,906
"2006/2007",2007,120,120,100,82.303313091983,3707.78447668941,483
"2007/2008",2008,120,120,100,86.8356360554902,4873.68596111587,273
"2008/2009",2009,121,121,100,84.056425196589,4955.07845311915,500
"2009/2010",2010,120,120,100,78.3785951412731,4315.61635729752,751
"2010/2011",2011,120,120,100,77.5718946058423,4716.86948018044,685
"2011/2012",2012,120,120,100,87.3881874809335,3604.82994396845,385
"2012/2013",2013,121,121,100,81.7950571821652,4750.79571459454,558
"2013/2014",2014,120,120,100,82.4418759882954,5045.9051089331,446
"2014/2015",2015,120,120,100,86.7156820616317,5903.42738382809,285
"2015/2016",2016,120,120,100,86.1501664667876,3179.00943575252,513
"2016/2017",2017,121,121,100,81.2438102893602,3892.2384432205,566
"2017/2018",2018,120,120,100,80.2110177828322,5359.37540892069,641
"2018/2019",2019,120,120,100,81.5901758425939,6104.66528817336,391
"2019/2020",2020,120,120,100,82.3434185846372,3123.60164416884,659
"2020/2021",2021,121,121,100,76.9596241828081,3260.9001037667,827
"2021/2022",2022,120,120,100,88.9426591616184,5827.31581046968,264
"2022/2023",2023,120,120,100,86.5376607060889,3835.11179815652,355
"2023/2024",2024,120,120,100,81.7821278673132,2441.84294254053,606
"2024/2025",2025,121,121,100,83.7610654600976,2972.76206884254,650
"2025/2026",2026,120,120,100,76.6542748583006,4721.05932296207,696
"2026/2027",2027,120,120,100,81.079390538137,8037.68750723568,328
"2027/2028",2028,120,120,100,84.6485153604085,3764.43676499021,518
"2028/2029",2029,121,121,100,85.3278473363039,4399.47764787823,372
"2029/2030",2030,120,120,100,86.6436547332182,4103.15069678612,411
"2030/2031",2031,120,120,100,82.9784521323904,3257.83487942885,535
