"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,77.7592113679093,3153.90018888952,820
"2002/2003",2003,120,120,100,84.1002014184188,3478.00489896523,564
"2003/2004",2004,120,120,100,80.1623030338291,5836.56889686262,520
"2004/2005",2005,121,121,100,81.486874171856,3667.6415722013,603
"2005/2006",2006,120,120,100,74.8716288858293,3316.23090967053,927
"2006/2007",2007,120,120,100,80.8419753196423,3897.50922958297,541
"2007/2008",2008,120,120,100,88.1760883451121,4755.39322122437,271
"2008/2009",2009,121,121,100,82.816791192254,5007.33534580265,535
"2009/2010",2010,120,120,100,78.7526090298097,4465.87022910162,765
"2010/2011",2011,120,120,100,76.4397859816966,4990.65264248266,712
"2011/2012",2012,120,120,100,87.3369129413545,3690.18547409459,406
"2012/2013",2013,121,121,100,81.2054279897654,4678.01291570521,549
"2013/2014",2014,120,120,100,81.2991387384013,5185.57954261184,458
"2014/2015",2015,120,120,100,87.1225659989093,5655.30300293176,261
"2015/2016",2016,120,120,100,85.1001569837185,3129.17688162206,493
"2016/2017",2017,121,121,100,80.0312013172393,4014.32172337931,603
"2017/2018",2018,120,120,100,79.3802258277683,5232.14456112543,608
"2018/2019",2019,120,120,100,83.2899650330655,5945.25102435588,357
"2019/2020",2020,120,120,100,81.9991294926081,3232.30855084863,674
"2020/2021",2021,121,121,100,75.5492217395417,3447.78802352329,836
"2021/2022",2022,120,120,100,87.8799998627246,5775.43090408365,262
"2022/2023",2023,120,120,100,86.5748528704244,3742.17279843194,356
"2023/2024",2024,120,120,100,81.762195879076,2451.47750191577,609
"2024/2025",2025,121,121,100,82.9867813039127,3022.21777886851,656
"2025/2026",2026,120,120,100,75.4118995237723,4910.60743955779,716
"2026/2027",2027,120,120,100,79.1603706624824,8141.74929292127,359
"2027/2028",2028,120,120,100,85.9420500438255,3831.17408814863,539
"2028/2029",2029,121,121,100,83.7881866732728,4507.09182798723,376
"2029/2030",2030,120,120,100,86.3900969509632,4107.42381252232,451
"2030/2031",2031,120,120,100,82.0104017417734,3358.12837191345,556
"2031/2032",2032,120,120,100,87.1178912040905,3876.17054414959,371
"2032/2033",2033,121,121,100,83.957724033995,4193.3206534069,426
"2033/2034",2034,120,120,100,81.0055876529141,5526.47752918722,405
"2034/2035",2035,120,120,100,88.2396665495917,5549.83441786608,242
"2035/2036",2036,120,120,100,87.9833877699557,3411.80593052506,377
"2036/2037",2037,121,121,100,85.4969486514492,3209.37792056147,537
"2037/2038",2038,120,120,100,86.3300318143865,5415.45305560902,201
"2038/2039",2039,120,120,100,80.886787840087,3995.73847408406,693
"2039/2040",2040,120,120,100,80.3292265093087,1474.79935593158,851
"2040/2041",2041,121,121,100,86.4066595270851,2702.74101853929,509
"2041/2042",2042,120,120,100,83.442193939527,4215.59265089734,517
"2042/2043",2043,120,120,100,76.4689452848179,2023.02624635398,993
"2043/2044",2044,120,120,100,78.6744158770562,6405.27993857022,282
"2044/2045",2045,121,121,100,87.0237145254277,3076.48063761182,431
"2045/2046",2046,120,120,100,86.4394798104431,4715.30938514648,200
