"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,79.6366772584662,3515.99774918637,747
"2002/2003",2003,120,120,100,83.1025763199538,3974.48610677122,496
"2003/2004",2004,120,120,100,78.0318454641193,6284.92658563179,481
"2004/2005",2005,121,121,100,81.8530329951506,4114.51723702968,537
"2005/2006",2006,120,120,100,76.4943848830637,3579.55620475492,855
"2006/2007",2007,120,120,100,81.8929014089848,4260.96140715829,453
"2007/2008",2008,120,120,100,88.2650353855865,5340.79031046515,226
"2008/2009",2009,121,121,100,83.3193404256477,5486.10814087954,446
"2009/2010",2010,120,120,100,80.4671186352132,4862.21581425029,693
"2010/2011",2011,120,120,100,77.1739905641407,5213.00134769944,629
"2011/2012",2012,120,120,100,87.3750919218503,4069.58345359203,355
"2012/2013",2013,121,121,100,82.2690975651612,5191.21432072332,506
"2013/2014",2014,120,120,100,81.3200633592069,5690.86284595984,429
"2014/2015",2015,120,120,100,87.5058618929759,6462.7923908761,250
"2015/2016",2016,120,120,100,84.6025935215343,3548.66070662392,447
"2016/2017",2017,121,121,100,80.203605670368,4411.4656731938,524
"2017/2018",2018,120,120,100,77.9914493044671,5831.56759932265,580
"2018/2019",2019,120,120,100,82.1684460010192,6605.16305537475,319
"2019/2020",2020,120,120,100,82.5573478853539,3538.671126934,594
"2020/2021",2021,121,121,100,76.5187541793903,3692.28217613255,764
"2021/2022",2022,120,120,100,87.5903472871937,6345.15703188046,223
"2022/2023",2023,120,120,100,84.8591025799196,4233.96436261921,306
"2023/2024",2024,120,120,100,82.0453559883381,2746.25720848097,526
"2024/2025",2025,121,121,100,83.9879569941231,3386.62994674081,614
"2025/2026",2026,120,120,100,75.188420877002,5267.60862060753,647
"2026/2027",2027,120,120,100,78.482258809041,8851.5699501799,312
"2027/2028",2028,120,120,100,85.0147753425022,4254.33550736005,482
"2028/2029",2029,121,121,100,82.3175259114464,4916.67135907896,316
"2029/2030",2030,120,120,100,85.5251774934036,4591.8659870855,374
"2030/2031",2031,120,120,100,81.1798360886432,3700.52236951748,493
"2031/2032",2032,120,120,100,87.0994272258067,4371.07250191737,345
"2032/2033",2033,121,121,100,85.2897144277003,4614.56263507297,354
"2033/2034",2034,120,120,100,81.4647035209264,6054.59123906819,360
"2034/2035",2035,120,120,100,86.6165737103347,6233.45243072463,217
"2035/2036",2036,120,120,100,86.8530317870391,3937.07943413546,343
"2036/2037",2037,121,121,100,86.2094295523084,3702.84274082957,481
"2037/2038",2038,120,120,100,87.6717905689529,5913.39838321181,150
"2038/2039",2039,120,120,100,81.1077491865499,4345.50358632253,626
"2039/2040",2040,120,120,100,81.3134924895412,1774.34117347002,790
"2040/2041",2041,121,121,100,87.1555577437057,3166.92659688834,484
"2041/2042",2042,120,120,100,83.5009976346155,4649.870452628,480
"2042/2043",2043,120,120,100,77.8645228045953,2330.7719255113,917
"2043/2044",2044,120,120,100,79.7532186961535,6839.07387028448,240
"2044/2045",2045,121,121,100,85.6329682484738,3502.54906293983,361
"2045/2046",2046,120,120,100,87.3965342171596,5380.60575023293,172
"2046/2047",2047,120,120,100,91.3633953601075,4371.40170837939,184
"2047/2048",2048,120,120,100,84.0308453463331,5607.54091959959,422
"2048/2049",2049,121,121,100,85.5517173891849,3871.55438771285,280
"2049/2050",2050,120,120,100,89.7415662915228,5086.69436938362,134
"2050/2051",2051,120,120,100,88.7187171185906,6294.02163696522,108
"2051/2052",2052,120,120,100,84.6982999787024,4307.07130632782,417
"2052/2053",2053,121,121,100,85.8712687311554,3474.06519895466,499
"2053/2054",2054,120,120,100,76.1708754926531,4160.55857307976,787
"2054/2055",2055,120,120,100,83.6249669455001,2785.86421122169,645
"2055/2056",2056,120,120,100,90.1272133209523,3462.072856165,209
"2056/2057",2057,121,121,100,86.3023695193524,3338.64131439338,422
"2057/2058",2058,120,120,100,79.1190020210133,5765.86675362941,516
"2058/2059",2059,120,120,100,83.1587156559453,2822.4108932293,602
"2059/2060",2060,120,120,100,86.7289668415315,6257.34019577876,200
"2060/2061",2061,121,121,100,85.7908589292829,2721.64737674035,475
"2061/2062",2062,120,120,100,84.1203334923248,3595.62037190702,583
"2062/2063",2063,120,120,100,77.9262141132276,7721.3041071035,289
"2063/2064",2064,120,120,100,83.3858009448104,6719.44581226353,329
"2064/2065",2065,121,121,100,71.6782836754992,6740.8743656762,593
"2065/2066",2066,120,120,100,75.4230684358336,5608.83877434302,716
"2066/2067",2067,120,120,100,84.4773100436341,3297.38150064647,327
"2067/2068",2068,120,120,100,86.9036656067256,5797.54849251732,247
"2068/2069",2069,121,121,100,80.3959718470942,3079.0429310929,745
"2069/2070",2070,120,120,100,82.4475598479694,5024.06582948845,456
"2070/2071",2071,120,120,100,84.1616215561353,4733.29991415143,464
"2071/2072",2072,120,120,100,83.4033169751237,4813.39397620223,474
"2072/2073",2073,121,121,100,77.7307965456057,4277.6867453279,618
"2073/2074",2074,120,120,100,78.3077897217918,2980.71599788405,707
"2074/2075",2075,120,120,100,84.9717907176546,4438.94752344117,432
"2075/2076",2076,120,120,100,81.4764769907251,3885.99874549173,670
"2076/2077",2077,121,121,100,82.4983862205827,2987.49209707603,784
"2077/2078",2078,120,120,100,81.2965168499268,6847.4725811379,287
"2078/2079",2079,120,120,100,82.0884856250977,7091.84772185516,332
"2079/2080",2080,120,120,100,78.3493701452353,5102.52511993051,584
"2080/2081",2081,121,121,100,75.0731841805773,4563.0563368937,816
"2081/2082",2082,120,120,100,80.4561334395657,3973.16959744319,589
"2082/2083",2083,120,120,100,88.8652850529834,2841.97275081184,359
"2083/2084",2084,120,120,100,78.9913200286373,3323.41897500679,679
"2084/2085",2085,121,121,100,83.8948328101233,6907.62946340069,299
"2085/2086",2086,120,120,100,84.8649895806429,4192.96063492168,358
"2086/2087",2087,120,120,100,85.5699972589591,4825.6993258968,297
"2087/2088",2088,120,120,100,85.6070627367208,4628.23828570172,349
"2088/2089",2089,121,121,100,81.3364106532354,5247.57187662832,439
"2089/2090",2090,120,120,100,88.3280602488758,3905.07262603007,321
"2090/2091",2091,120,120,100,84.6349202563997,6488.17782250978,222
"2091/2092",2092,120,120,100,84.7258524419849,5301.26988056209,311
"2092/2093",2093,121,121,100,86.1754628421768,5589.20140706841,246
"2093/2094",2094,120,120,100,81.4436270501974,3624.98480751272,562
"2094/2095",2095,120,120,100,85.9216295409678,4017.97591108643,352
"2095/2096",2096,120,120,100,86.1326660732975,4059.42516694032,386
"2096/2097",2097,121,121,100,85.6889102755831,1647.12110817246,514
"2097/2098",2098,120,120,100,87.3281089959,2915.1526628891,483
"2098/2099",2099,120,120,100,87.6624064963071,4140.2980967192,228
"2099/2100",2100,120,120,100,82.2269261711936,5136.43461020663,478
