"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,78.5656631896231,7878.78051437551,399
"2002/2003",2003,120,120,100,79.5232151900533,8693.55568246735,172
"2003/2004",2004,120,120,100,72.56733854533,12551.1189799459,260
"2004/2005",2005,121,121,100,79.2760962660523,9503.21682146704,285
"2005/2006",2006,120,120,100,74.8760726875852,8024.84254761203,555
"2006/2007",2007,120,120,100,78.6249107753637,9023.03332264588,167
"2007/2008",2008,120,120,100,79.4997690164985,11625.9991374093,58
"2008/2009",2009,121,121,100,73.3722439453685,11460.1045845239,204
"2009/2010",2010,120,120,100,76.6976333931858,9972.49736021762,317
"2010/2011",2011,120,120,100,70.6692669797193,9898.83919049473,293
"2011/2012",2012,120,120,100,81.6996457159066,9912.68871119583,219
"2012/2013",2013,121,121,100,78.1487283517313,10521.9275707916,172
"2013/2014",2014,120,120,100,69.5598115688074,11881.3306031912,217
"2014/2015",2015,120,120,100,72.3799779422322,13282.4329408237,104
"2015/2016",2016,120,120,100,81.2898857767259,8530.46132410108,196
"2016/2017",2017,121,121,100,78.5536467261886,9371.84456023574,188
"2017/2018",2018,120,120,100,71.1373334725206,11175.0445571402,319
"2018/2019",2019,120,120,100,72.0115821298605,12837.6174030621,95
"2019/2020",2020,120,120,100,77.853870084771,8331.0426676299,221
"2020/2021",2021,121,121,100,75.8351199680392,7961.78087537107,394
"2021/2022",2022,120,120,100,73.4503975827129,13419.1570614094,89
"2022/2023",2023,120,120,100,82.093310825961,9672.51639355021,99
"2023/2024",2024,120,120,100,85.721501582043,6749.68292065663,197
"2024/2025",2025,121,121,100,80.0939554422571,8424.61550952564,371
"2025/2026",2026,120,120,100,69.9523912411569,10620.6865353941,404
"2026/2027",2027,120,120,100,61.8724804326671,16415.6425562282,161
"2027/2028",2028,120,120,100,78.4626045795349,10168.5889985331,253
"2028/2029",2029,121,121,100,81.5241221768229,10603.8053188201,153
"2029/2030",2030,120,120,100,79.1104516246405,10197.0738546848,130
"2030/2031",2031,120,120,100,79.7304006966779,8632.00311105745,259
"2031/2032",2032,120,120,100,80.288994247795,10273.7743637348,207
"2032/2033",2033,121,121,100,79.5897656645857,9966.15882410156,195
"2033/2034",2034,120,120,100,73.9260411327982,12319.0352864619,179
"2034/2035",2035,120,120,100,72.7528992666844,13086.1702215802,85
"2035/2036",2036,120,120,100,81.8645618205396,9668.38441534061,186
"2036/2037",2037,121,121,100,81.492422299229,8698.8433025917,200
"2037/2038",2038,120,120,100,77.1037118794884,12882.2050750623,71
"2038/2039",2039,120,120,100,74.863217865804,9055.59996109316,249
"2039/2040",2040,120,120,100,86.7093141713322,5387.55556534836,411
"2040/2041",2041,121,121,100,85.3115852405463,8250.11013726424,231
"2041/2042",2042,120,120,100,79.6048829414995,9917.37964763585,228
"2042/2043",2043,120,120,100,83.7785230331847,5282.35865020566,390
"2043/2044",2044,120,120,100,74.6096491575245,12667.0626320206,66
"2044/2045",2045,121,121,100,85.7625970078961,7945.81569624087,135
"2045/2046",2046,120,120,100,79.6857790732884,11370.2773778662,31
"2046/2047",2047,120,120,100,83.7742128927384,10825.2045384566,78
"2047/2048",2048,120,120,100,76.6555980096782,11255.0792267881,136
"2048/2049",2049,121,121,100,84.4338614601138,9029.64121236373,157
"2049/2050",2050,120,120,100,81.6259012110113,11437.054453582,17
"2050/2051",2051,120,120,100,74.02289161916,13679.4749375479,40
"2051/2052",2052,120,120,100,76.0197196696017,10147.9916213043,202
"2052/2053",2053,121,121,100,84.3987328836911,8204.78745876718,235
