"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,81.2197642666772,5374.29694808909,571
"2002/2003",2003,120,120,100,83.8741758116581,5863.24439009174,299
"2003/2004",2004,120,120,100,76.2214185864656,8951.5263475285,351
"2004/2005",2005,121,121,100,81.5560634591437,6402.5287547069,409
"2005/2006",2006,120,120,100,75.348571552423,5638.31729320431,742
"2006/2007",2007,120,120,100,80.4673102085357,6521.63176105788,316
"2007/2008",2008,120,120,100,84.763982283672,7758.64451127494,133
"2008/2009",2009,121,121,100,78.0805920178678,8063.03617333854,290
"2009/2010",2010,120,120,100,78.1217034640408,7241.86425550142,531
"2010/2011",2011,120,120,100,74.9426047201785,7633.60055800772,457
"2011/2012",2012,120,120,100,85.6941639079691,6580.05336973281,273
"2012/2013",2013,121,121,100,80.705583590538,7590.85189917916,343
"2013/2014",2014,120,120,100,78.6574813512159,8470.41178311314,336
"2014/2015",2015,120,120,100,84.1716550200949,9163.32241236162,164
"2015/2016",2016,120,120,100,85.1435088145124,5543.34258016455,300
"2016/2017",2017,121,121,100,80.3468270728026,6656.67930034664,346
"2017/2018",2018,120,120,100,77.1779247892684,7801.15080934716,405
"2018/2019",2019,120,120,100,77.450614582769,9205.35099266004,157
"2019/2020",2020,120,120,100,83.5470164365565,5590.29086146015,388
"2020/2021",2021,121,121,100,78.6022149060286,5539.72887311154,550
"2021/2022",2022,120,120,100,84.0844499549003,9554.5930343871,157
"2022/2023",2023,120,120,100,85.1003782396701,6510.12388614658,179
"2023/2024",2024,120,120,100,85.5051863538683,4595.63784399768,337
"2024/2025",2025,121,121,100,83.1264343560188,5444.61550276936,495
"2025/2026",2026,120,120,100,74.7414451655627,7438.92057246342,482
"2026/2027",2027,120,120,100,74.1240147046874,11810.3847617116,220
"2027/2028",2028,120,120,100,84.8450857636549,6662.18052180554,349
"2028/2029",2029,121,121,100,83.9333118842837,7571.38394237217,251
"2029/2030",2030,120,120,100,85.5689153431076,7050.22848541709,253
"2030/2031",2031,120,120,100,83.074930614891,5603.56077042315,333
