"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,78.6482436950342,3236.68033695139,734
"2002/2003",2003,120,120,100,83.0394890322975,3820.11029271202,481
"2003/2004",2004,120,120,100,82.0225240895392,5750.29477745073,433
"2004/2005",2005,121,121,100,83.5658600325787,3645.65778580331,512
"2005/2006",2006,120,120,100,77.7915927163915,3153.50679920387,875
"2006/2007",2007,120,120,100,80.8144924017895,4186.07782832161,459
"2007/2008",2008,120,120,100,88.6750559899338,4935.16931719414,197
"2008/2009",2009,121,121,100,84.4297803187696,4984.36191912321,377
"2009/2010",2010,120,120,100,80.9242036809417,4621.1860795333,691
"2010/2011",2011,120,120,100,76.6276005280192,4851.66854540072,616
"2011/2012",2012,120,120,100,89.2057047967985,3704.74303887156,339
"2012/2013",2013,121,121,100,82.6419687354519,5010.65718193422,538
"2013/2014",2014,120,120,100,84.3107463434187,5392.98737383483,420
"2014/2015",2015,120,120,100,86.858119441685,6515.64515667281,286
"2015/2016",2016,120,120,100,87.6329775621821,3266.54987868073,444
"2016/2017",2017,121,121,100,81.5128416961193,4313.11249918118,559
"2017/2018",2018,120,120,100,80.6426538867063,5396.47015125467,583
"2018/2019",2019,120,120,100,83.4902808875509,6371.63835561741,311
"2019/2020",2020,120,120,100,84.3753280677533,3179.94274877547,586
"2020/2021",2021,121,121,100,78.4155275179364,3276.68765315088,744
"2021/2022",2022,120,120,100,86.2521408626935,6316.3271029403,231
"2022/2023",2023,120,120,100,88.0704371173474,4195.79534738045,353
"2023/2024",2024,120,120,100,84.1330904227166,2591.04187037051,523
"2024/2025",2025,121,121,100,84.5364396445943,2947.31626926898,588
"2025/2026",2026,120,120,100,79.5914653785981,4593.34274430689,584
"2026/2027",2027,120,120,100,81.3872484256913,8139.65232671844,259
"2027/2028",2028,120,120,100,85.1559745184136,3887.59898916865,460
"2028/2029",2029,121,121,100,85.3722470527596,4670.20077315229,346
"2029/2030",2030,120,120,100,87.7215913385021,4410.30707808491,372
