"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,79.3677085459945,7295.09107286642,429
"2002/2003",2003,120,120,100,82.0058862565368,7947.95164410671,176
"2003/2004",2004,120,120,100,73.924201288361,11647.9827271434,250
"2004/2005",2005,121,121,100,79.7363515005052,8795.50878030475,323
"2005/2006",2006,120,120,100,74.245316062502,7707.05977275706,613
"2006/2007",2007,120,120,100,78.112764137094,8709.30966603913,186
"2007/2008",2008,120,120,100,80.1571156595284,10468.4889267646,58
"2008/2009",2009,121,121,100,74.2346937212754,10684.1882379496,202
"2009/2010",2010,120,120,100,77.1684536335755,9528.35477994359,355
"2010/2011",2011,120,120,100,69.804054974993,9647.16828977095,337
"2011/2012",2012,120,120,100,82.395907342077,9125.80358882772,200
"2012/2013",2013,121,121,100,78.1537774847995,9794.81185963587,211
"2013/2014",2014,120,120,100,73.1582153846839,11206.7861294964,259
"2014/2015",2015,120,120,100,78.9237015859655,12053.3668840886,108
"2015/2016",2016,120,120,100,82.6596430901482,7687.25187878986,204
"2016/2017",2017,121,121,100,77.1589287159168,8911.71383659029,239
"2017/2018",2018,120,120,100,71.7538012072125,10080.3082460826,305
"2018/2019",2019,120,120,100,74.4217320418059,11724.1620662839,79
"2019/2020",2020,120,120,100,78.2915791713981,7762.83824350708,232
"2020/2021",2021,121,121,100,76.4522961907978,7508.05701196752,408
"2021/2022",2022,120,120,100,76.4085727657271,12525.6043847641,104
"2022/2023",2023,120,120,100,85.4316648192653,8781.3146023869,94
"2023/2024",2024,120,120,100,84.9552482485192,6320.01958356798,222
"2024/2025",2025,121,121,100,80.7641618478187,7696.58108544769,395
"2025/2026",2026,120,120,100,70.7900012555824,9880.68121309439,409
"2026/2027",2027,120,120,100,64.329941696376,15203.8664447081,165
"2027/2028",2028,120,120,100,81.2048381213863,9293.06008129334,250
"2028/2029",2029,121,121,100,80.8262036868541,10035.2978921775,174
"2029/2030",2030,120,120,100,79.579229557808,9488.36813914543,150
"2030/2031",2031,120,120,100,79.9715279763218,7880.19543330139,261
"2031/2032",2032,120,120,100,83.1491853672301,9307.82945130253,203
"2032/2033",2033,121,121,100,78.8593458762725,9323.53536587395,205
"2033/2034",2034,120,120,100,75.8127270967971,11465.380268225,167
"2034/2035",2035,120,120,100,77.2131016805643,11919.1962714335,73
"2035/2036",2036,120,120,100,82.0964072203237,8708.200591587,204
"2036/2037",2037,121,121,100,82.2425013453403,7952.87906254036,211
"2037/2038",2038,120,120,100,79.7180723023885,11949.3107147561,65
"2038/2039",2039,120,120,100,73.4101715889283,8689.84898961941,305
"2039/2040",2040,120,120,100,85.9161488107493,4807.2481149151,427
"2040/2041",2041,121,121,100,86.517144390169,7229.2672241847,197
"2041/2042",2042,120,120,100,79.819219547453,9057.79213723494,195
"2042/2043",2043,120,120,100,84.4728096973649,4892.42992541473,430
"2043/2044",2044,120,120,100,74.5177487154579,11881.5972722652,59
"2044/2045",2045,121,121,100,84.4909006410526,7428.32375829061,128
"2045/2046",2046,120,120,100,80.6749473772325,10516.4388207248,25
"2046/2047",2047,120,120,100,85.8291358109091,9815.06280936999,60
"2047/2048",2048,120,120,100,76.3773432639955,10575.9920044756,136
"2048/2049",2049,121,121,100,84.2123059515552,8347.10589482728,145
"2049/2050",2050,120,120,100,83.0637490305144,10699.9655557279,16
"2050/2051",2051,120,120,100,78.4447898612179,12532.3242094368,23
"2051/2052",2052,120,120,100,79.5230083427014,9002.57768945629,187
"2052/2053",2053,121,121,100,85.037562246961,7200.9191579367,214
"2053/2054",2054,120,120,100,73.8239233486938,8131.34343228256,417
"2054/2055",2055,120,120,100,84.0807981250637,6546.30424210895,282
"2055/2056",2056,120,120,100,87.6959671515542,7810.01452104747,66
"2056/2057",2057,121,121,100,85.914467771795,7659.01653500181,162
"2057/2058",2058,120,120,100,70.4298882300382,10763.292512265,313
"2058/2059",2059,120,120,100,82.6405855777984,6879.91806273535,290
"2059/2060",2060,120,120,100,78.5975187815657,11770.0254134359,28
"2060/2061",2061,121,121,100,86.2579866446777,6689.21889575385,198
"2061/2062",2062,120,120,100,82.2278199635675,7461.08069885522,181
"2062/2063",2063,120,120,100,72.8330840013859,12967.4144475171,118
"2063/2064",2064,120,120,100,70.6380587326739,12290.847906013,156
"2064/2065",2065,121,121,100,71.032452335623,11303.5549666667,277
"2065/2066",2066,120,120,100,69.7974846382303,10025.0428155093,392
"2066/2067",2067,120,120,100,83.9340585389582,7420.33355087787,94
"2067/2068",2068,120,120,100,73.9771030902684,12066.5265189866,113
"2068/2069",2069,121,121,100,78.902386162029,7351.5012030853,546
"2069/2070",2070,120,120,100,76.2809450650611,10133.8327120962,240
"2070/2071",2071,120,120,100,75.2626696697098,9804.74291343056,279
"2071/2072",2072,120,120,100,77.8106682623857,9658.72160252463,284
"2072/2073",2073,121,121,100,75.3894203023447,8494.30217222311,406
"2073/2074",2074,120,120,100,79.6931720570374,6620.80689516757,458
"2074/2075",2075,120,120,100,80.7866565070835,8604.60057070944,184
"2075/2076",2076,120,120,100,78.86958666793,8012.71653061546,417
"2076/2077",2077,121,121,100,79.7531582505926,6895.39235864207,442
"2077/2078",2078,120,120,100,77.3534122865294,12357.6319798883,90
"2078/2079",2079,120,120,100,70.8922741071492,13153.5249957843,162
"2079/2080",2080,120,120,100,75.9343471691427,9697.6388502717,376
"2080/2081",2081,121,121,100,71.3096583331135,8562.43548821565,457
"2081/2082",2082,120,120,100,79.5081061242818,8047.13361469936,210
"2082/2083",2083,120,120,100,88.0934217435024,6894.78068934847,91
"2083/2084",2084,120,120,100,80.5798447598208,7002.10899024736,288
"2084/2085",2085,121,121,100,68.959781395246,13088.3660943527,179
"2085/2086",2086,120,120,100,82.1395581947509,8759.01449879725,169
"2086/2087",2087,120,120,100,81.9604569197072,9675.18807392381,60
"2087/2088",2088,120,120,100,82.9364686815861,9620.4462302532,77
"2088/2089",2089,121,121,100,78.135601510794,9875.52322004549,127
"2089/2090",2090,120,120,100,84.1440328494609,8451.93798843585,83
"2090/2091",2091,120,120,100,73.5344060077114,12489.8984223418,88
