"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,79.044018765829,7240.76750861104,398
"2002/2003",2003,120,120,100,81.0209799328572,8315.85426733684,167
"2003/2004",2004,120,120,100,74.9195833619655,11912.5551319288,256
"2004/2005",2005,121,121,100,81.6033214395982,8393.82391120173,242
"2005/2006",2006,120,120,100,77.2204826156036,7185.04761319945,531
"2006/2007",2007,120,120,100,80.0293079167718,8358.51356183761,175
"2007/2008",2008,120,120,100,78.9846362907821,10639.9974777038,54
"2008/2009",2009,121,121,100,75.5158347477836,10357.1446158175,160
"2009/2010",2010,120,120,100,76.2504897346163,9403.7550873562,300
"2010/2011",2011,120,120,100,71.197705185836,9182.58026572445,285
"2011/2012",2012,120,120,100,83.0380072133896,8819.81210326846,167
"2012/2013",2013,121,121,100,77.2348561331537,10315.1244796271,220
"2013/2014",2014,120,120,100,77.2739812571538,10610.1832191544,173
"2014/2015",2015,120,120,100,75.2358836445728,12519.365330907,115
"2015/2016",2016,120,120,100,82.5521307407942,7895.02660354273,208
"2016/2017",2017,121,121,100,80.3272794909642,8827.85583481402,229
"2017/2018",2018,120,120,100,72.3491605787394,10254.4229022728,293
"2018/2019",2019,120,120,100,74.1398433655615,12019.181371612,94
"2019/2020",2020,120,120,100,82.0394750486944,7505.02507763519,210
"2020/2021",2021,121,121,100,76.9424289920053,7163.51303224312,385
"2021/2022",2022,120,120,100,72.6144518078445,12860.1032908319,97
"2022/2023",2023,120,120,100,85.7259071823623,8646.45106428489,79
"2023/2024",2024,120,120,100,84.944194041359,6295.73918743478,184
"2024/2025",2025,121,121,100,82.7530585979443,7235.90972899459,347
"2025/2026",2026,120,120,100,73.9784345386079,9450.65811944613,345
"2026/2027",2027,120,120,100,68.0692101534501,14804.2903030235,134
"2027/2028",2028,120,120,100,84.5239527080071,8770.58218341507,193
"2028/2029",2029,121,121,100,82.3306958688677,10127.6814113045,156
"2029/2030",2030,120,120,100,81.5808798644434,9549.38983388431,150
"2030/2031",2031,120,120,100,81.5101699222773,7818.38100503571,266
"2031/2032",2032,120,120,100,81.6797231017572,9701.10970110912,210
"2032/2033",2033,121,121,100,81.8991992162005,8971.14875615109,149
"2033/2034",2034,120,120,100,78.6903872370494,11339.4144877959,142
"2034/2035",2035,120,120,100,78.3384966201534,12041.1098017278,69
"2035/2036",2036,120,120,100,84.2189569272678,8638.26475542644,183
"2036/2037",2037,121,121,100,82.7016303300898,7758.66432649875,146
"2037/2038",2038,120,120,100,80.8190126028912,11637.0038077235,25
"2038/2039",2039,120,120,100,75.9205086622915,8370.59982266463,280
"2039/2040",2040,120,120,100,85.9328997953526,4754.3743279418,401
"2040/2041",2041,121,121,100,85.4471986090321,7380.24584380211,178
"2041/2042",2042,120,120,100,80.1807370504866,9071.82327036839,160
"2042/2043",2043,120,120,100,80.2531784290941,5301.22502979543,454
"2043/2044",2044,120,120,100,77.3900021375775,11834.8450001162,35
"2044/2045",2045,121,121,100,85.508207046586,7392.12736982619,91
"2045/2046",2046,120,120,100,81.361176068468,10737.6815527431,25
"2046/2047",2047,120,120,100,87.5912756690432,9798.50870440109,40
"2047/2048",2048,120,120,100,77.1806858057789,10931.3919426724,131
"2048/2049",2049,121,121,100,86.4778501614483,8185.85209154012,106
"2049/2050",2050,120,120,100,82.3033433357541,10823.5907758945,14
"2050/2051",2051,120,120,100,78.1704584243726,12450.4192451537,11
"2051/2052",2052,120,120,100,81.4173897654491,8808.11350705475,158
"2052/2053",2053,121,121,100,82.6197606300993,7482.15366434585,187
"2053/2054",2054,120,120,100,76.9901917855823,7748.08214297518,395
"2054/2055",2055,120,120,100,83.9507583982504,6376.51748097781,236
"2055/2056",2056,120,120,100,88.9133204861164,7901.27396123298,64
"2056/2057",2057,121,121,100,87.2101823184657,7346.5035552578,127
"2057/2058",2058,120,120,100,72.1766591903161,10574.0233271439,249
"2058/2059",2059,120,120,100,84.6829616491177,6538.34511453379,301
"2059/2060",2060,120,120,100,76.1658218257753,12316.4860266689,40
"2060/2061",2061,121,121,100,88.0296209197359,6346.16776521876,166
"2061/2062",2062,120,120,100,86.0042816703944,7144.10148627218,129
"2062/2063",2063,120,120,100,72.8016627176321,12945.6313713323,91
"2063/2064",2064,120,120,100,73.7157330413129,12636.649449368,153
"2064/2065",2065,121,121,100,70.6357125621089,11157.2137489663,234
