"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,78.5829823683423,3141.00214738376,778
"2002/2003",2003,120,120,100,83.4671331685672,3468.94155696974,481
"2003/2004",2004,120,120,100,77.7356067213868,5899.16169795924,504
"2004/2005",2005,121,121,100,81.7072397356259,3672.07807021961,588
"2005/2006",2006,120,120,100,74.042435747212,3312.70795584546,894
"2006/2007",2007,120,120,100,82.6037449253588,3845.04029488767,468
"2007/2008",2008,120,120,100,87.0097778150879,4829.60888767382,253
"2008/2009",2009,121,121,100,82.5487858400215,5103.20005224773,511
"2009/2010",2010,120,120,100,76.3493721044124,4462.29743934481,735
"2010/2011",2011,120,120,100,75.4334348664984,4965.80765545054,673
"2011/2012",2012,120,120,100,87.4034913211196,3681.98625456635,384
"2012/2013",2013,121,121,100,80.931007560728,4778.1868102164,504
"2013/2014",2014,120,120,100,81.5161921136978,5100.23145243432,438
"2014/2015",2015,120,120,100,89.2887060098278,5680.32816199702,242
"2015/2016",2016,120,120,100,85.7736063012305,3127.52906584449,439
"2016/2017",2017,121,121,100,78.4477408388998,3980.19087458588,539
"2017/2018",2018,120,120,100,79.0906396192831,5309.41338682687,579
"2018/2019",2019,120,120,100,83.6055480584687,6014.27693246491,315
"2019/2020",2020,120,120,100,81.3793092300666,3203.31233040872,629
"2020/2021",2021,121,121,100,75.5784575067773,3414.9290785552,773
"2021/2022",2022,120,120,100,88.2690430883117,5788.03029950801,252
"2022/2023",2023,120,120,100,86.5050685620795,3734.92328311154,330
"2023/2024",2024,120,120,100,81.0237944975197,2502.90862840996,578
"2024/2025",2025,121,121,100,85.2286776887267,2960.99599316856,653
"2025/2026",2026,120,120,100,75.5850420099614,4878.64700952731,648
"2026/2027",2027,120,120,100,79.2575019510132,8225.23890385311,356
"2027/2028",2028,120,120,100,84.4465884642559,3629.11188865011,501
"2028/2029",2029,121,121,100,82.7321610430863,4551.13819370372,335
"2029/2030",2030,120,120,100,86.0442900881262,4111.81374449958,397
"2030/2031",2031,120,120,100,79.6416657050768,3365.48513265862,530
"2031/2032",2032,120,120,100,87.7343904203954,3912.07219223469,356
"2032/2033",2033,121,121,100,84.3293773041387,4111.92864099704,371
"2033/2034",2034,120,120,100,80.9618928999471,5512.05889196135,369
"2034/2035",2035,120,120,100,87.8256690343851,5596.40627096128,221
"2035/2036",2036,120,120,100,88.9751311855252,3370.69070617436,353
"2036/2037",2037,121,121,100,85.7357215874054,3163.47826644732,504
"2037/2038",2038,120,120,100,87.3096941440199,5341.34212455386,162
"2038/2039",2039,120,120,100,80.6442109477512,4006.23225972382,698
"2039/2040",2040,120,120,100,80.6671994043572,1466.51761636697,823
"2040/2041",2041,121,121,100,86.3993910766385,2693.22620539507,490
"2041/2042",2042,120,120,100,83.518262826743,4147.00000965223,479
"2042/2043",2043,120,120,100,74.2489834994158,2027.99221706204,950
"2043/2044",2044,120,120,100,80.0952373439386,6365.2979252967,242
"2044/2045",2045,121,121,100,85.6603027696965,3005.90110446513,372
"2045/2046",2046,120,120,100,87.0629360280991,4685.62920561573,170
"2046/2047",2047,120,120,100,92.0958084412514,3793.4138536863,179
"2047/2048",2048,120,120,100,83.3693451778763,5044.06819017604,425
"2048/2049",2049,121,121,100,83.9126189776816,3462.22177197319,291
"2049/2050",2050,120,120,100,90.4690142161162,4586.01440698048,128
"2050/2051",2051,120,120,100,87.9368848469421,5726.52201225469,125
"2051/2052",2052,120,120,100,86.8509012467484,3814.78510253038,402
"2052/2053",2053,121,121,100,84.5294918707841,2991.55640174542,510
"2053/2054",2054,120,120,100,73.3830682062753,3852.71556465188,839
"2054/2055",2055,120,120,100,82.6651304132192,2476.47793005593,679
"2055/2056",2056,120,120,100,89.830256126641,2964.40034177201,220
"2056/2057",2057,121,121,100,85.0043711242515,2870.46553727752,464
"2057/2058",2058,120,120,100,78.209009839913,5435.22040522704,543
"2058/2059",2059,120,120,100,82.0724461606142,2500.44054084877,652
"2059/2060",2060,120,120,100,86.4969761872508,5705.19928602828,211
"2060/2061",2061,121,121,100,84.8069564989873,2325.10770824924,504
"2061/2062",2062,120,120,100,82.5718190576263,3156.42829426983,619
"2062/2063",2063,120,120,100,78.380851381633,7282.2186512542,310
"2063/2064",2064,120,120,100,82.6955333464266,6306.39024746278,320
