"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,80.3616598188411,3858.80221930946,664
"2002/2003",2003,120,120,100,84.7978759947051,4485.2004657939,398
"2003/2004",2004,120,120,100,81.4337445435414,6786.80939298074,415
"2004/2005",2005,121,121,100,84.3823013080193,4361.73033174308,452
"2005/2006",2006,120,120,100,77.6570477416883,3666.62063801009,776
"2006/2007",2007,120,120,100,83.2491488045182,4520.44958406663,334
"2007/2008",2008,120,120,100,87.9616708944042,6007.0304005373,167
"2008/2009",2009,121,121,100,84.2771632547351,5893.2035353859,342
"2009/2010",2010,120,120,100,82.2663561091497,5183.36830611085,602
"2010/2011",2011,120,120,100,79.9157900138048,5411.44252970361,504
"2011/2012",2012,120,120,100,89.8407037180616,4490.08055885241,277
"2012/2013",2013,121,121,100,83.6014328012348,5817.4901802286,444
"2013/2014",2014,120,120,100,82.9528206075495,6075.25619835721,342
"2014/2015",2015,120,120,100,86.0210950513097,7555.31839778624,238
"2015/2016",2016,120,120,100,86.3380169178481,4025.39532914222,382
"2016/2017",2017,121,121,100,83.8726888392571,4863.37012754614,440
"2017/2018",2018,120,120,100,78.8442061165838,6344.84445302701,527
"2018/2019",2019,120,120,100,81.3926937618439,7368.04834134015,265
"2019/2020",2020,120,120,100,85.3045060959089,3865.59317068453,471
"2020/2021",2021,121,121,100,78.3888060593272,3808.31484286906,641
"2021/2022",2022,120,120,100,86.1501123355247,7384.53725679964,202
"2022/2023",2023,120,120,100,87.5318149066029,4880.31747738807,255
"2023/2024",2024,120,120,100,85.2506160331732,3048.28024740377,418
"2024/2025",2025,121,121,100,85.0100680529026,3626.0824341455,507
"2025/2026",2026,120,120,100,78.9367696983813,5440.89452383062,529
"2026/2027",2027,120,120,100,80.3614605968078,9402.63474472915,220
"2027/2028",2028,120,120,100,86.8057326233834,4732.84988938714,379
"2028/2029",2029,121,121,100,85.8417914651127,5405.93138419348,276
"2029/2030",2030,120,120,100,86.8884728991434,5145.04140373436,290
"2030/2031",2031,120,120,100,84.9457088563331,3946.7336691739,398
"2031/2032",2032,120,120,100,88.2861082326872,4993.46626708051,303
"2032/2033",2033,121,121,100,85.7153981761721,4950.09067001007,281
"2033/2034",2034,120,120,100,81.2844861048088,6583.27237122273,284
"2034/2035",2035,120,120,100,87.8412466888885,7021.30047910148,184
"2035/2036",2036,120,120,100,90.0462662677301,4432.56623085681,295
"2036/2037",2037,121,121,100,86.7685775957334,4067.91631887993,383
"2037/2038",2038,120,120,100,89.4557614541473,6623.45995380217,104
"2038/2039",2039,120,120,100,82.2667868902045,4696.78335164813,521
"2039/2040",2040,120,120,100,83.5426541716442,1970.9717630134,674
"2040/2041",2041,121,121,100,88.5701213470074,3616.325062118,381
"2041/2042",2042,120,120,100,85.3580670870733,5125.88257549843,370
"2042/2043",2043,120,120,100,79.5425679194104,2723.58808689239,817
"2043/2044",2044,120,120,100,80.2559440351406,7282.5101561523,175
"2044/2045",2045,121,121,100,87.2315378696421,3889.9335825243,280
"2045/2046",2046,120,120,100,86.5422813272044,6181.09514873894,141
"2046/2047",2047,120,120,100,92.1912879819738,5189.76804657374,148
"2047/2048",2048,120,120,100,82.2217541656628,6418.74790391233,343
"2048/2049",2049,121,121,100,87.8201964601503,4153.47650890704,218
"2049/2050",2050,120,120,100,90.1681226767078,5869.2802748126,87
"2050/2051",2051,120,120,100,88.3103796143396,6978.13617312489,70
"2051/2052",2052,120,120,100,87.1549605989403,4867.93087869696,367
"2052/2053",2053,121,121,100,84.047585895365,4103.03639833024,397
"2053/2054",2054,120,120,100,77.4193567885131,4309.71238297317,655
"2054/2055",2055,120,120,100,86.5634945676647,3065.47057522414,510
"2055/2056",2056,120,120,100,90.3224802620234,4052.87048791582,156
"2056/2057",2057,121,121,100,87.9613769388279,3982.48218493909,366
"2057/2058",2058,120,120,100,77.1173034913909,6379.77811789792,446
"2058/2059",2059,120,120,100,84.8636322782995,3009.999344524,498
"2059/2060",2060,120,120,100,85.8049115767953,7220.8509471803,185
"2060/2061",2061,121,121,100,87.950089933669,3064.55506655481,364
"2061/2062",2062,120,120,100,83.9112322164328,4255.2613808196,510
"2062/2063",2063,120,120,100,79.4467113268056,8190.30223585293,231
"2063/2064",2064,120,120,100,83.9313857935413,7350.90916816052,274
"2064/2065",2065,121,121,100,71.4406032855732,7130.09366317559,467
"2065/2066",2066,120,120,100,75.9865597952139,5710.3119664127,573
"2066/2067",2067,120,120,100,88.1402301563212,3690.51072322298,238
"2067/2068",2068,120,120,100,87.7145418459895,6384.24229650851,161
"2068/2069",2069,121,121,100,81.9558801876756,3361.67845371086,690
"2069/2070",2070,120,120,100,85.5573144861846,5593.82756666932,379
"2070/2071",2071,120,120,100,83.8698871954384,5257.04125677235,385
"2071/2072",2072,120,120,100,85.1894205271547,5291.52734548505,398
"2072/2073",2073,121,121,100,80.6000553154718,4547.09392470494,564
"2073/2074",2074,120,120,100,79.6782280785119,3218.50498832297,607
"2074/2075",2075,120,120,100,84.3322044404995,5187.74300215952,392
"2075/2076",2076,120,120,100,82.7793569385376,4259.076884971,579
"2076/2077",2077,121,121,100,84.3043586767635,3127.11619426869,671
"2077/2078",2078,120,120,100,82.6914823624356,7453.95925312117,223
"2078/2079",2079,120,120,100,82.1292676554349,7656.26284481864,249
"2079/2080",2080,120,120,100,81.6519079364643,5407.39014248829,514
"2080/2081",2081,121,121,100,76.9081698174996,4705.07504673954,702
"2081/2082",2082,120,120,100,81.2856622679665,4479.08865417913,482
"2082/2083",2083,120,120,100,88.8724088427261,3484.60184728634,286
"2083/2084",2084,120,120,100,80.1030394670524,3782.27998055238,572
"2084/2085",2085,121,121,100,84.4957135804652,7525.65747290105,239
"2085/2086",2086,120,120,100,86.0585292054293,4735.34976436105,286
"2086/2087",2087,120,120,100,85.3229603718355,5649.82816383243,263
"2087/2088",2088,120,120,100,87.579557273637,5250.93159123044,283
"2088/2089",2089,121,121,100,80.9412512548279,5997.6954687424,379
"2089/2090",2090,120,120,100,89.12822275506,4461.75611132476,261
"2090/2091",2091,120,120,100,85.3699627736205,7190.44381443039,187
"2091/2092",2092,120,120,100,85.0512326168555,6031.21014763229,261
"2092/2093",2093,121,121,100,87.3601961851018,6146.82507199515,193
"2093/2094",2094,120,120,100,84.0061631230037,4055.1666004248,473
"2094/2095",2095,120,120,100,87.3685154484774,4582.3954907069,285
"2095/2096",2096,120,120,100,86.31410716151,4480.48368897382,338
"2096/2097",2097,121,121,100,86.6593872969606,2180.34404978622,468
"2097/2098",2098,120,120,100,87.7834759217403,3634.42618176993,430
"2098/2099",2099,120,120,100,88.7491689448543,4789.44540037774,199
"2099/2100",2100,120,120,100,79.4864178500902,5907.02100923657,407
