"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,83.5471106230002,4502.75253375981,465
"2002/2003",2003,120,120,100,81.4704677639766,3877.67135176228,541
"2003/2004",2004,120,120,100,81.1684120133888,1758.92089456174,773
"2004/2005",2005,121,121,100,87.210980509199,2709.85636441456,435
"2005/2006",2006,120,120,100,88.8022546846859,3917.58140440879,299
"2006/2007",2007,120,120,100,84.1309016761612,3251.97632115916,532
"2007/2008",2008,120,120,100,75.99220195813,2314.42300634825,838
"2008/2009",2009,121,121,100,82.2751740915814,2537.53285751789,646
"2009/2010",2010,120,120,100,83.4718720461892,2686.68408798974,501
"2010/2011",2011,120,120,100,87.7481538632699,2383.37297269097,333
"2011/2012",2012,120,120,100,83.5386226022586,2388.04761557351,509
"2012/2013",2013,121,121,100,83.4013544480072,2957.00779331359,732
"2013/2014",2014,120,120,100,80.4397644772521,2148.10380145104,769
"2014/2015",2015,120,120,100,65.0289387353555,4179.26401114208,1297
"2015/2016",2016,120,120,100,83.0476958389177,3244.91978493193,458
"2016/2017",2017,121,121,100,77.4692032374187,4517.9006720446,687
"2017/2018",2018,120,120,100,74.273247218373,3927.54015166603,801
"2018/2019",2019,120,120,100,72.3565154049015,2596.22147883521,937
"2019/2020",2020,120,120,100,82.5527839599099,3945.59666152182,582
"2020/2021",2021,121,121,100,86.3115810617774,4293.05431956751,345
"2021/2022",2022,120,120,100,73.8727146329229,2367.89745234628,1035
"2022/2023",2023,120,120,100,74.3522583751037,3931.84620686737,731
"2023/2024",2024,120,120,100,86.0989374568562,3706.50869180402,364
"2024/2025",2025,121,121,100,89.1564068280245,3280.6142845382,406
"2025/2026",2026,120,120,100,84.231251037063,3133.50820737123,472
"2026/2027",2027,120,120,100,73.365294707834,1393.5031988034,1190
"2027/2028",2028,120,120,100,81.8581256428115,3080.62733842107,625
"2028/2029",2029,121,121,100,82.9065061763486,2150.23162118858,697
"2029/2030",2030,120,120,100,80.8048216080233,2729.61145696393,709
"2030/2031",2031,120,120,100,87.1379522473972,3587.05059666769,551
"2031/2032",2032,120,120,100,78.4446695046845,2886.3372688957,770
"2032/2033",2033,121,121,100,83.2644146697685,2771.49971951754,597
"2033/2034",2034,120,120,100,81.4834390868673,1916.0284629711,804
"2034/2035",2035,120,120,100,73.8750976450301,2524.81149950181,910
"2035/2036",2036,120,120,100,81.072847741455,3386.99819399137,640
"2036/2037",2037,121,121,100,84.4878961040886,3416.05734798359,573
"2037/2038",2038,120,120,100,78.4765886958194,1595.51114706276,954
"2038/2039",2039,120,120,100,81.6429872763902,3976.8006261643,474
"2039/2040",2040,120,120,100,88.362894330884,4727.8610806698,301
"2040/2041",2041,121,121,100,86.2872095364601,3239.68666913174,472
"2041/2042",2042,120,120,100,84.7400766394594,1924.86418438982,513
"2042/2043",2043,120,120,100,82.398058766953,6405.54904541187,401
"2043/2044",2044,120,120,100,81.3241575210141,1448.29896161472,784
"2044/2045",2045,121,121,100,84.5203396079396,2771.48097799579,465
"2045/2046",2046,120,120,100,76.4661202265816,2428.725593084,982
"2046/2047",2047,120,120,100,78.463594239056,2552.92893594829,783
"2047/2048",2048,120,120,100,79.6053729193854,2561.60647625243,729
"2048/2049",2049,121,121,100,86.5166097974588,2136.43627188867,459
"2049/2050",2050,120,120,100,78.6042263067075,1618.01232145447,825
"2050/2051",2051,120,120,100,76.6381238992899,1171.80873254081,898
"2051/2052",2052,120,120,100,79.849458114285,3380.60520048067,679
"2052/2053",2053,121,121,100,81.4663632114552,4417.90419660322,572
"2053/2054",2054,120,120,100,86.0990264855327,3975.17218113225,445
"2054/2055",2055,120,120,100,86.2119702034415,3850.13223225344,400
"2055/2056",2056,120,120,100,79.6638160633302,3131.66780749569,686
"2056/2057",2057,121,121,100,76.3355751814179,4459.04754792899,528
"2057/2058",2058,120,120,100,76.1573566012921,2929.79886761168,802
"2058/2059",2059,120,120,100,87.7042237740316,3482.33024880942,340
"2059/2060",2060,120,120,100,72.3671504188624,2215.74457241874,1062
"2060/2061",2061,121,121,100,85.0773432295064,3959.14922443731,519
"2061/2062",2062,120,120,100,69.0422670065964,5496.01080283057,714
"2062/2063",2063,120,120,100,76.5941035841988,1677.24185009208,855
"2063/2064",2064,120,120,100,81.4953174814691,1382.12147430098,813
"2064/2065",2065,121,121,100,80.7829024830444,3159.47186643817,730
"2065/2066",2066,120,120,100,85.7185355900692,3053.20029155212,485
"2066/2067",2067,120,120,100,85.2188293807812,2884.19388043508,404
"2067/2068",2068,120,120,100,79.7073967494362,1471.48669115966,885
"2068/2069",2069,121,121,100,86.5315327242097,4683.15590316057,490
"2069/2070",2070,120,120,100,77.6456069005035,3403.09993039584,817
"2070/2071",2071,120,120,100,79.8505068654031,2745.90094186924,634
"2071/2072",2072,120,120,100,82.4225290280283,2632.92945077736,641
"2072/2073",2073,121,121,100,83.3956548058231,4150.69353401009,592
"2073/2074",2074,120,120,100,84.0482856102462,4181.00893470924,384
"2074/2075",2075,120,120,100,69.9449979221972,5482.35020355042,796
"2075/2076",2076,120,120,100,82.4298028693138,4331.29498660378,620
"2076/2077",2077,121,121,100,89.0988703030434,3849.65570890531,271
"2077/2078",2078,120,120,100,78.0504281645335,1462.37023741659,874
"2078/2079",2079,120,120,100,77.8509264108943,1288.55979119707,821
"2079/2080",2080,120,120,100,86.5493550607043,2600.56911849976,441
"2080/2081",2081,121,121,100,88.4495198021705,3592.39520297386,301
"2081/2082",2082,120,120,100,79.8384874075218,3764.23000335041,612
"2082/2083",2083,120,120,100,81.6410340758703,3506.24736035056,510
"2083/2084",2084,120,120,100,82.8173932914924,4582.69827044103,462
"2084/2085",2085,121,121,100,77.2662511074614,1666.0509625813,875
"2085/2086",2086,120,120,100,80.5062041454476,2585.09917906858,682
"2086/2087",2087,120,120,100,79.370019304477,2898.9793102853,746
"2087/2088",2088,120,120,100,82.1153163419058,2332.23860951513,624
"2088/2089",2089,121,121,100,80.1211085356936,3521.64573146868,755
"2089/2090",2090,120,120,100,85.1275817649239,2280.34608614724,652
"2090/2091",2091,120,120,100,78.5728118416719,1325.05183765199,887
"2091/2092",2092,120,120,100,79.9397312375622,2543.15717459749,826
"2092/2093",2093,121,121,100,79.8803496113869,1764.76399987843,818
"2093/2094",2094,120,120,100,81.4483560955268,4221.08160135336,579
"2094/2095",2095,120,120,100,80.9605242363305,3551.03595329355,776
"2095/2096",2096,120,120,100,86.5414459030089,2531.43904624786,499
"2096/2097",2097,121,121,100,80.0301300676856,5660.74099421129,440
"2097/2098",2098,120,120,100,71.675003336175,5293.54787178431,717
"2098/2099",2099,120,120,100,78.3121439914412,2944.38804376777,843
"2099/2100",2100,120,120,100,78.8573574502952,3186.56409145612,736
