"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,41.533153530237,176.449249736373,86.0778793904089,98.0584773520184,1673.56726860974,1377,1248.75798196619,1540.5,1358.5,1363,1347,75.8043405977702
"2002/2003",2003,120,120,100,49.9465725335093,224.561303405039,78.6147971174225,99.7459177017149,1883.7018991478,1564.5,1401.26172398953,1736,1506.5,1534,1499,81.5176782907954
"2003/2004",2004,120,120,100,47.5803094496814,183.115470938239,75.5451806322889,93.3626873715125,1857.07531606641,1692.5,1529.63059944907,1727.5,1688.5,1459,1653.5,79.910241395863
"2004/2005",2005,121,121,100,49.4101080274472,199.695003929772,82.49506513783,98.194190826011,1884.0941020866,1620,1475.43907509114,1737,1590.5,1514,1577.5,80.0582433200326
"2005/2006",2006,120,120,100,39.5806858674569,164.678769349147,90.6862301436253,95.3338695299829,1595.82297526039,1382.5,1219.41877265184,1479.5,1338.5,1329,1327.5,72.9027013355808
"2006/2007",2007,120,120,100,45.9063445037484,178.628983965352,81.7557760207714,98.4827169421166,1849.75343100221,1550,1365.31712402791,1701.5,1493,1538,1480,78.8655046752863
"2007/2008",2008,120,120,100,56.739937615076,245.718218057043,69.9313223986816,97.002569656317,2110.5216971624,1884,1698.68317853993,1974,1843.5,1733,1830,87.3487670054237
"2008/2009",2009,121,121,100,41.88617013303,158.11989350135,78.1792890910847,97.398559586443,1847.66588380803,1594,1462.87374781965,1728.5,1557.5,1468,1545,81.3860494374069
"2009/2010",2010,120,120,100,37.0587019404333,173.922217352456,80.052198225744,96.0916425517714,1650.40454284215,1425,1323.224187624,1527.5,1418,1233,1404.5,78.292789197199
"2010/2011",2011,120,120,100,34.6970804037182,163.499890084684,81.4460545547903,96.3961798086767,1576.25253104138,1243,1112.03741760341,1411,1206.5,1225,1163,73.6224400773908
"2011/2012",2012,120,120,100,52.8454193335694,241.945715896218,74.5746029472033,97.7546479578241,2046.35070366677,1825,1638.393652931,1922,1782.5,1675,1782.5,85.3205095025182
"2012/2013",2013,121,121,100,46.1163924738941,184.26622024572,77.5766702440761,97.4856683977331,1850.99579203154,1631,1487.01704818948,1733,1610.5,1466,1589,80.3369705463635
"2013/2014",2014,120,120,100,49.4585360204649,230.85192389624,75.162306757043,93.5192856672864,1900.55721834705,1717.5,1555.48901330034,1760.5,1666.5,1521,1648,78.7223395397655
"2014/2015",2015,120,120,100,46.7599563438227,199.438086773881,68.1686350239304,93.2498713384879,2086.75981220657,1939.5,1841.89914197857,1937.5,1944,1551,1935.5,87.4673102989495
"2015/2016",2016,120,120,100,52.0833772540046,225.33658492255,77.6306391632788,100.739983729368,1973.87475862213,1680,1497.58200747337,1828,1619,1648,1613,82.5399287911803
"2016/2017",2017,121,121,100,44.1539077021622,177.652847076145,81.3369472809635,98.3302941317197,1838.00167381504,1560,1423.89589432358,1706,1544,1468,1527.5,78.5227150369328
"2017/2018",2018,120,120,100,39.5608219587168,177.624664473443,78.2299456676961,96.1188526430022,1702.96304113068,1433.5,1289.87028091947,1571,1385,1375,1348,78.4994195161548
"2018/2019",2019,120,120,100,50.4333769408881,228.233337958448,68.6703515245496,95.0185211370414,1918.90993363914,1690.5,1541.75380909586,1785,1675,1469,1636.5,84.0602074787244
"2019/2020",2020,120,120,100,43.5866555274098,188.21282418817,83.2054421371388,99.4922705461261,1795.44933654723,1467.5,1339.1164520436,1646.5,1427.5,1427,1423,79.5045397285635
"2020/2021",2021,121,121,100,40.8408790479716,179.131409492396,91.5671427204996,98.8341090864932,1615.93554945961,1290,1123.95715477034,1501.5,1236,1346,1217.5,73.9110734422961
"2021/2022",2022,120,120,100,50.4648587518269,223.690650830237,67.6135325822335,92.2991018882991,2047.56529023292,1880,1862.18402144316,1904,1925.5,1437,1923.5,87.4922532629721
"2022/2023",2023,120,120,100,61.9339796952072,257.849980680103,72.3377464700938,99.2316505943633,2063.91968019193,1810.5,1585.20353940806,1942,1752.5,1752,1741,85.8966719450736
"2023/2024",2024,120,120,100,48.2071767465831,197.640796586622,84.317349279278,101.822554771578,1863.6174606406,1515,1297.66688650678,1743.5,1446,1621,1443.5,78.9033720779225
