"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,41.5611553657039,180.254889860492,75.9218161015245,94.0957938713098,1804.5501916369,1555.5,1479.63510343419,1647,1571.5,1365,1546,81.9528895825712
"2002/2003",2003,120,120,100,51.4129111343112,229.109705016734,69.2530094298881,93.4477685802951,2006.64487098418,1782,1677.91908684863,1863.5,1773.5,1519,1751.5,84.928872966028
"2003/2004",2004,120,120,100,38.0871237079684,152.341192075367,66.4584623012417,86.8141704737646,1805.02882634888,1636.5,1611.3460515727,1618,1712.5,1228,1635,77.6858022144137
"2004/2005",2005,121,121,100,43.4669896594425,179.093982943308,72.8612833749784,91.9608663961001,1900.85534469829,1715.5,1674.5899694519,1746.5,1736,1369,1712.5,82.3422867706435
"2005/2006",2006,120,120,100,36.7086659405937,150.945224778015,79.9724961579737,92.0173641994665,1683.16819274739,1519,1415.27049763724,1547,1517.5,1238,1488.5,78.5908483739801
"2006/2007",2007,120,120,100,49.7980460996571,173.001912169492,71.9917890052832,92.3333952519612,1973.28515855292,1781.5,1619.65612612883,1848.5,1755.5,1536,1713.5,82.298771722651
"2007/2008",2008,120,120,100,50.0713397461925,214.606764323649,61.6550208809269,88.5492113342088,2056.65219513431,1915,1851.72166011286,1901,1956,1441,1913,85.7126947958527
"2008/2009",2009,121,121,100,42.0972564380093,151.120697932508,68.8805571242591,91.0818643365362,1865.26700521805,1680.5,1576.19837330662,1716,1671.5,1349,1622,80.7678282791887
"2009/2010",2010,120,120,100,35.2997394932087,169.177794064934,70.4696789792427,91.8634354494833,1722.28796933722,1506,1453.59500930685,1581.5,1501,1205,1467.5,80.7767244143715
"2010/2011",2011,120,120,100,42.0903124378898,175.709432073067,71.609034572081,91.9790936203904,1745.17821011883,1512.5,1325.61714904341,1585,1487,1372,1408.5,76.2942536640614
"2011/2012",2012,120,120,100,46.9063577617063,209.277028298298,65.7289964176898,90.3015672755774,2038.2532586519,1926.5,1849.24526114819,1898,1925.5,1474,1912.5,87.2720642883071
"2012/2013",2013,121,121,100,45.7087390422187,182.261968646281,68.1120933921743,91.5862729134358,1913.97353845109,1730.5,1658.0900873718,1760,1741.5,1381,1700,82.6161418989
"2013/2014",2014,120,120,100,38.4108577571988,184.493676418757,66.4630958079071,86.2528403941443,1820.65476448547,1687.5,1641.64202584257,1656.5,1745.5,1209,1693,80.483399780572
"2014/2015",2015,120,120,100,33.8010878909059,152.269424078318,60.1681218092688,85.7592162554118,1880.73191336563,1817,1831.84447365581,1733,1871,1168,1831,84.9348555831166
"2015/2016",2016,120,120,100,54.6642907756171,222.683806197186,68.4071149911606,93.7369735311103,2058.3093656955,1891.5,1785.93140361375,1934.5,1884.5,1587,1874,86.4795554825002
"2016/2017",2017,121,121,100,44.9001056685622,170.894978406131,71.6470019953601,93.0081086618503,1932.72499085855,1733,1603.60721486394,1786.5,1702,1494,1661.5,84.0640557614406
"2017/2018",2018,120,120,100,42.6553764313532,177.202492274758,69.0453849844542,90.423178760991,1754.60879015121,1585,1409.75791420083,1600,1569.5,1312,1487.5,76.7070697237682
"2018/2019",2019,120,120,100,46.8642330901605,210.358155523042,60.5379389604419,87.0452095315099,1882.82711109275,1710.5,1636.30342610707,1714.5,1749,1372,1673.5,78.61256667615
"2019/2020",2020,120,120,100,45.7592466553995,192.177375066273,73.3537065629768,94.4941172041683,1933.83475966401,1700,1576.69063766309,1795.5,1664.5,1484,1646,82.6375955285025
"2020/2021",2021,121,121,100,46.7043601665615,194.579439767584,80.9766100387786,94.2616043019236,1818.60088815769,1571,1395.03439718231,1669.5,1534,1466,1498.5,78.0852894308005
"2021/2022",2022,120,120,100,35.4553678507153,173.867889636955,59.4593757474298,84.3991620760799,1869.09215828888,1835,1881.91540342929,1769,1858,1130,1850.5,86.3237157805875
"2022/2023",2023,120,120,100,57.0988917788589,245.635457150213,63.7907337560094,91.1591462385115,2106.89244424275,1959.5,1824.8907662302,1966,1960,1624,1926.5,86.0328452110266
"2023/2024",2024,120,120,100,52.0643746379751,199.657085749606,74.1974093946932,96.7829539644046,2112.4029856993,1889.5,1689.9870112023,1974,1821.5,1779,1811,84.614291819998
"2024/2025",2025,121,121,100,45.1840687932445,213.761879773186,73.8353520327353,92.910130889296,1921.42747574826,1744.5,1651.88300015854,1771,1751.5,1434,1734,85.7275109109887
"2025/2026",2026,120,120,100,42.1369303163655,169.058447029665,72.8423022518123,89.61611647513,1708.20249853816,1520,1376.73401484633,1563,1511.5,1326,1438,74.5418251443884
"2026/2027",2027,120,120,100,27.6708399361495,116.409964337935,60.8125876905532,81.2226986838727,1588.12662120172,1464,1447.13646263737,1384,1534.5,938,1423.5,77.1279025343974
"2027/2028",2028,120,120,100,41.3776316712347,227.167281890793,64.7945044963922,91.1798669763611,1891.86123182095,1723,1683.47544157483,1765,1724,1372,1704,84.3419587235385
"2028/2029",2029,121,121,100,49.5117468348874,182.174938305104,67.1996943630062,90.1000346419704,2062.28156227899,1930,1861.62031867111,1877,1983.5,1453,1934,83.1303606362894
"2029/2030",2030,120,120,100,43.6823366104553,195.178758545194,64.9809228135577,90.6637754280357,1989.64756775743,1843,1801.92800387658,1856,1868,1419,1845,87.1869215396696
"2030/2031",2031,120,120,100,48.368188913868,174.937204832152,73.3270267517092,93.5053880469969,1993.27419122859,1816.5,1667.71038897814,1879.5,1792.5,1591,1769,83.4754248733261
"2031/2032",2032,120,120,100,45.8678894965906,167.644870374999,67.4664069944168,89.7838644139757,2045.5375880307,1952,1927.3067561886,1900.5,1997.5,1408,1989.5,87.748148111742
"2032/2033",2033,121,121,100,52.1892064731062,212.016285440474,67.0822680240183,91.5851619700907,2026.54070682195,1885.5,1718.04339270157,1887.5,1873.5,1566,1832.5,85.1056822343953
"2033/2034",2034,120,120,100,44.670648426811,178.269062720232,64.688923599885,87.4634883316242,1898.25383391677,1734.5,1662.25463499841,1696,1801.5,1264,1738,80.575474451698
"2034/2035",2035,120,120,100,43.992193683321,201.066637155896,59.0861364396912,86.2095561456879,1936.19861746675,1845,1818.38558564023,1799.5,1882,1278,1836.5,85.7774407710513
"2035/2036",2036,120,120,100,48.4051914956532,221.858063338665,66.7170195502088,89.8318039033254,2072.28099614706,1963.5,1910.11878458241,1937.5,2000,1507,1986.5,87.2959022432542
"2036/2037",2037,121,121,100,49.4515026977115,214.92057739037,69.8919224733925,94.56623518371,2016.03982271011,1811,1720.42822753211,1885.5,1793.5,1532,1788,85.8752212513546
"2037/2038",2038,120,120,100,44.1059702889505,207.58327650829,58.7782267710197,85.9749305743907,1998.46936896368,1942,1891.51233991191,1864.5,1969.5,1369,1935.5,86.1128420870791
"2038/2039",2039,120,120,100,39.6194931681081,174.094786804369,71.8050415211265,93.4423517155124,1802.74926497934,1594.5,1458.40449152428,1665,1555.5,1336,1519,81.0632337045845
"2039/2040",2040,120,120,100,53.4402577828033,205.339281956031,77.9484804899091,98.3189550263837,1986.88449929333,1729,1598.81419842073,1857,1721,1607,1721,83.6268399748042
"2040/2041",2041,121,121,100,50.6602821516202,221.066913086433,69.9121016037458,95.2801000963297,2133.08238801798,1917,1850.97202451316,1954.5,1948.5,1601,1941,88.5198053167724
"2041/2042",2042,120,120,100,52.7771831046832,245.587887673559,64.3493924662312,92.0687010859776,1979.57399958427,1748,1673.15960656773,1790.5,1814,1461,1764,82.2637917460579
"2042/2043",2043,120,120,100,47.6487558210511,201.597556545783,79.9528549777132,99.0640706791214,1865.42666401077,1579.5,1386.80955022732,1760,1487,1626,1482,81.7482358995276
"2043/2044",2044,120,120,100,49.7625715728408,202.890445383964,62.6628508707732,87.2977151084182,1978.95617047354,1809.5,1592.4490857356,1787,1843,1558,1726.5,79.1040959532975
"2044/2045",2045,121,121,100,61.6462437043777,254.800491747492,68.0849299145153,95.810373199914,2176.39364481324,2000,1779.60559443571,2043.5,1967.5,1748,1948,87.9291374561817
"2045/2046",2046,120,120,100,51.4525183357556,200.260081247997,62.5949672569769,88.3512348081315,2106.05838125068,1987,1902.56533476206,1942.5,2009,1514,1982,87.4595767771007
