"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,44.8647624459126,187.524758997327,81.8894502947125,97.2755439402676,1771.73355148272,1498.5,1366.13287892311,1640.5,1469,1449,1456,77.4524395836108
"2002/2003",2003,120,120,100,54.0417777148086,239.758761698415,74.7728594010454,98.2820681376529,1981.03474543928,1661,1522.51179677244,1809,1633,1588,1621.5,83.2972670523893
"2003/2004",2004,120,120,100,46.5435573585765,185.955930870921,71.7226639084763,91.6252656753297,1918.46016544849,1749,1649.38283590186,1772,1772,1443,1738,82.6797864254553
"2004/2005",2005,121,121,100,49.6693585625631,203.497230932934,78.5600767721093,96.4143093391826,1955.27222072928,1709.5,1613.4278428624,1788.5,1731,1492,1718.5,82.9313598749861
"2005/2006",2006,120,120,100,42.3390460299332,172.579084071962,85.8895742352391,95.3536136899279,1708.3876911085,1510,1348.73531209419,1601.5,1477,1404,1467,78.1718847644456
"2006/2007",2007,120,120,100,51.4248421063078,192.981440755446,77.6375683291607,97.2118111245057,1966.27087246285,1694.5,1507.68677394303,1848.5,1637.5,1652,1620,81.3339491739409
"2007/2008",2008,120,120,100,56.0894185397827,243.932294791896,66.6775429069204,94.1738922340204,2138.70638242047,1948.5,1788.2265748952,1982,1947,1663,1924,87.8862962150467
"2008/2009",2009,121,121,100,43.6897214770064,161.888665566693,74.4486659917925,95.7819558736442,1910.50749888907,1670,1537.72244058791,1792,1640,1490,1621.5,82.2489752487666
"2009/2010",2010,120,120,100,39.5034197524726,187.70890690019,75.9157644336326,95.8980275618239,1759.66373655639,1518,1431.05661876629,1613,1509,1327,1495.5,80.8235367159309
"2010/2011",2011,120,120,100,38.9955248235487,179.412686805363,77.2319656627642,95.8663086255491,1739.21791142418,1434.5,1281.41250599485,1570.5,1404.5,1378,1360.5,77.4293657751373
"2011/2012",2012,120,120,100,55.1088992740716,247.994327865431,70.8776841558606,95.6762612452882,2101.8780742417,1895.5,1758.37546869599,1963,1910,1689,1909,86.1964513184735
"2012/2013",2013,121,121,100,45.9580744532058,188.714290052026,73.7729422393799,95.8352495969776,1912.14409055058,1688,1607.50663010177,1788,1685,1467,1665.5,82.4959609617645
"2013/2014",2014,120,120,100,47.3725518270622,227.438999178593,71.3579013600147,91.5407214106315,1935.58791160036,1780.5,1645.76627534702,1777.5,1770,1455,1747.5,79.8827607981198
"2014/2015",2015,120,120,100,39.900676436143,178.533700462405,65.3124341253615,90.100247351118,1995.37584630868,1869.5,1845.55800357926,1849.5,1927,1364,1915.5,87.3176799928033
"2015/2016",2016,120,120,100,54.3306601500072,236.343286557371,73.9526035799508,98.6204655754724,2055.87871478844,1807.5,1643.14308206414,1930,1790,1677,1784.5,85.5814669317383
"2016/2017",2017,121,121,100,46.2601441267507,184.541379180915,77.2645179862189,97.2710167484704,1930.23402915203,1667,1533.17569623326,1809.5,1639.5,1575,1620.5,81.8819629310224
"2017/2018",2018,120,120,100,40.9123609539938,178.996888508046,74.5770453635263,94.5523474750469,1740.49168677768,1506,1361.38415881197,1588.5,1469.5,1383,1426.5,79.3086871888377
"2018/2019",2019,120,120,100,49.4646061111858,229.568107381857,65.5745424425175,92.1117419697333,1926.70513620429,1717,1606.24798666705,1792,1731,1421,1685,83.9210451623985
"2019/2020",2020,120,120,100,47.7544589413903,200.422769843516,79.0555792900323,98.7696595623239,1912.04136665269,1597,1457.09447907234,1775.5,1542,1558,1535,81.8557287411254
"2020/2021",2021,121,121,100,46.106219588571,197.585933459297,86.8434878472464,98.3547664644622,1766.6509032251,1452.5,1280.10909055734,1643.5,1376,1506,1359.5,77.6878102423225
"2021/2022",2022,120,120,100,45.6905969952686,213.114730196859,64.3207517238011,89.8381189561086,2039.71711064978,1908,1923.15111583197,1905.5,1955,1410,1949.5,87.5729138103675
"2022/2023",2023,120,120,100,60.126145428445,254.80158334637,68.9887882469366,96.5036086539748,2076.19166676454,1852,1675.77562952928,1961.5,1832.5,1688,1815.5,85.8941296040621
"2023/2024",2024,120,120,100,51.1161430361774,207.922799293388,80.2736922465055,100.795804909582,1996.61292005886,1677.5,1454.09408565435,1885.5,1592.5,1759,1590,80.1888449568073
"2024/2025",2025,121,121,100,54.1428322488879,243.46448054765,79.488064332316,97.3075028179537,1929.80178055895,1708,1534.0837218801,1803,1667,1597,1660,83.1030652793524
"2025/2026",2026,120,120,100,45.0344513573963,187.343290143675,78.2510395228794,94.0835721920255,1770.52582631393,1531.5,1363.63574242162,1637.5,1484.5,1425,1448,77.6432986831069
"2026/2027",2027,120,120,100,35.9354241716549,148.803713377636,65.2990605518049,86.6564835997336,1811.08047772043,1638.5,1634.5257947198,1605.5,1710.5,1174,1641.5,80.6704404699085
