"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,44.8790660127444,185.560418099592,78.6624312823203,96.0502340262968,1818.70267933374,1578.5,1444.84332591147,1680,1537.5,1454,1521.5,80.2100104831398
"2002/2003",2003,120,120,100,51.5805162239239,225.646477470374,72.0502769867402,95.4276286844056,1986.8738408285,1704.5,1603.94822293162,1851.5,1705,1569,1687.5,84.5575677767073
"2003/2004",2004,120,120,100,40.336315663643,158.257194405997,68.8614369569041,88.8129742484948,1864.34822002521,1709.5,1673.43489690479,1682,1753,1265,1708.5,81.6664906822958
"2004/2005",2005,121,121,100,48.7742545670429,193.283502863411,75.0788898943187,94.7834946962355,2011.99381195544,1798,1716.13991299752,1839,1803.5,1496,1786.5,83.3768427989194
"2005/2006",2006,120,120,100,41.1833017619074,162.798247356748,82.223301687396,94.8641374895764,1758.96931137151,1559,1427.17854362925,1634,1539,1390,1523.5,77.2099533825561
"2006/2007",2007,120,120,100,54.7329069402441,184.111481102149,74.465139102437,94.5623368799726,2048.25386183128,1852.5,1658.48132830453,1933.5,1807.5,1729,1783,83.8302441095212
"2007/2008",2008,120,120,100,53.0119345899531,218.18525547198,64.2287728933517,90.8263759772619,2124.75772354232,1975.5,1867.97597258555,1957.5,2000,1563,1969.5,88.0172707582778
"2008/2009",2009,121,121,100,45.3624617463434,159.505034650803,71.2577593289111,93.4819926139806,1966.35765665348,1774,1652.78233001868,1848.5,1757.5,1498,1736,85.6348367209473
"2009/2010",2010,120,120,100,37.6180263164275,173.815266038478,72.967103904225,94.202897225563,1778.8670971841,1536,1479.54744708848,1621,1539.5,1310,1516.5,81.9037695685463
"2010/2011",2011,120,120,100,44.2939199660297,179.383982675362,73.8998305164446,94.3910929976067,1834.86296176391,1565.5,1396.76290005717,1661,1531.5,1459,1482.5,78.2650507092753
