"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,40.6551130370892,176.495481212503,75.7631343171452,93.9919921812698,1775.45925986282,1563,1443.91114343998,1646,1532,1368,1506,80.2767042519955
"2002/2003",2003,120,120,100,49.0340693652552,214.189071126182,69.4080380843319,92.8763725765822,1947.46721993272,1720.5,1607.4353188469,1829,1700,1509,1670,83.7371813650972
"2003/2004",2004,120,120,100,36.4939831724323,144.355292386172,66.5353171551144,86.1404688581016,1759.48971646282,1578.5,1548.31013359471,1548.5,1665,1150,1570.5,76.0019895314613
"2004/2005",2005,121,121,100,46.2273883542733,181.46877331298,72.3485293588046,92.465964902764,1942.7616474594,1772.5,1663.36164805636,1792,1766,1417,1730.5,81.9699215037407
"2005/2006",2006,120,120,100,37.0273073669098,148.712430886671,79.4422049517889,92.6703770183089,1688.28632296438,1488,1374.23255802472,1550.5,1485.5,1289,1444.5,76.996803961749
"2006/2007",2007,120,120,100,51.9295809200217,167.872237252845,71.857907332147,91.7892928048334,1979.87600875248,1812,1632.91532405306,1851,1786.5,1603,1741.5,82.9413322593873
"2007/2008",2008,120,120,100,48.1728972813839,203.659257152017,61.6656558241367,87.9204390971556,2044.1964387622,1925,1848.63429069451,1875.5,1964,1432,1920,85.6024924242264
"2008/2009",2009,121,121,100,43.3297025879283,152.086224818494,68.5984783919376,90.70918022579,1889.26569068882,1715.5,1601.19114393844,1757.5,1716,1393,1663.5,81.9142348652271
"2009/2010",2010,120,120,100,34.3379084452122,161.935050511827,70.4665028032093,91.7239725848355,1695.14544610657,1466,1392.7764179554,1532.5,1464.5,1195,1410.5,78.7789071343761
"2010/2011",2011,120,120,100,44.2883311556926,174.635881263095,71.4672546555343,91.9041573212453,1757.71551118297,1507,1302.47583600198,1588.5,1479,1436,1390.5,75.4816395091236
"2011/2012",2012,120,120,100,47.703456038864,209.562316767769,65.6657767973057,89.854998558645,2054.74260249304,1933,1871.56075170531,1917.5,1956,1509,1941,88.1932645323634
"2012/2013",2013,121,121,100,42.4288340810084,167.010466973425,68.4526723815203,90.5700121197623,1831.93134531156,1644,1553.17331130729,1647.5,1638.5,1300,1579.5,79.002848135407
"2013/2014",2014,120,120,100,40.4650859656856,180.856110075605,65.8856867589963,86.7775333639258,1863.56061652341,1709,1658.44564918077,1694,1774,1262,1723,80.4950056292612
"2014/2015",2015,120,120,100,31.2772907843789,136.416405660792,60.0864249005409,85.0737224031017,1827.41173381102,1760.5,1810.94809909546,1697.5,1828,1074,1790.5,85.5669772856465
"2015/2016",2016,120,120,100,52.8985777319554,208.826078136963,68.4069567861064,93.1550820039193,2026.31152835386,1884.5,1750.06467249896,1896.5,1855,1553,1839,86.8685602487599
"2016/2017",2017,121,121,100,41.6693315477711,160.374699417947,71.4820679546708,92.2004314058377,1911.95386251943,1704.5,1623.45157333734,1742,1701.5,1410,1663.5,82.0214849460847
"2017/2018",2018,120,120,100,43.2133149518139,171.419479487117,68.9822084020534,89.9423020225835,1739.13620330056,1555.5,1393.32766385747,1570,1543,1312,1461,77.4384321295388
"2018/2019",2019,120,120,100,43.4540886950957,197.44017668606,60.6377012603427,86.3932377838964,1856.32998706323,1679.5,1603.28109821636,1658,1711.5,1325,1623.5,79.5126156943679
"2019/2020",2020,120,120,100,44.5024323872257,183.619925462833,73.0314095761808,94.1765642536912,1919.97730433659,1686.5,1591.75799272393,1799.5,1647.5,1454,1632,83.8371844597195
"2020/2021",2021,121,121,100,47.1044522993008,185.657973562288,80.2983624881443,94.2977462127897,1824.49330248037,1577.5,1389.15047120662,1679,1521.5,1501,1471.5,78.1935416318656
"2021/2022",2022,120,120,100,33.399052994494,163.520556435731,59.629891623436,83.8000682976782,1802.74245555585,1778,1802.14122865864,1729,1777,1105,1757.5,84.5260080395174
"2022/2023",2023,120,120,100,54.2955923757803,239.215732171255,63.7279206305076,90.5973515786256,2115.98313133511,1968,1858.42092796453,1972.5,1985,1612,1951,87.5831733274476
"2023/2024",2024,120,120,100,51.6215213838826,189.804884025755,74.1499266730364,96.4673430414859,2082.18592876497,1845.5,1654.49255421044,1956.5,1783.5,1752,1768.5,84.0653277477591
"2024/2025",2025,121,121,100,47.9935856715826,209.707616257206,73.5813258987881,92.8864181761349,1969.80793296504,1807.5,1686.13742975184,1815,1812,1497,1790,84.6989053323505
"2025/2026",2026,120,120,100,40.5877498763537,166.381340766858,72.4151215708777,89.9386433109659,1744.05276846662,1520.5,1405.14905600117,1565,1553.5,1330,1478.5,76.4070452908268
"2026/2027",2027,120,120,100,29.2531126424924,116.847260810561,60.4725995839965,81.1205012026425,1656.1896568598,1505,1512.22942206365,1391.5,1599.5,961,1473,79.0401407648565
"2027/2028",2028,120,120,100,40.6358508709664,222.554644250028,64.4250647473107,91.191552437374,1949.35486322972,1791.5,1760.16995333576,1808,1807.5,1374,1796,86.1735726473776
"2028/2029",2029,121,121,100,47.1299591016265,170.05163417115,67.2662546478687,89.2849748822728,2012.05093198667,1857,1807.9057484924,1807,1927,1399,1867.5,83.1745420188199
"2029/2030",2030,120,120,100,45.0864917911632,185.674092428199,65.007276788068,90.0526982997749,1968.41045569393,1833,1766.50678939227,1837,1838.5,1436,1803.5,84.5694136527281
"2030/2031",2031,120,120,100,48.3753462045173,164.081701129542,73.2804310530772,92.8117862262763,1994.68140886365,1839,1687.0312891605,1866,1826.5,1567,1802.5,83.5194963435042
"2031/2032",2032,120,120,100,42.418767781973,155.124836757744,67.747891006075,88.7131838450519,1979.72543199953,1889,1878.98805683675,1850.5,1928,1360,1913.5,87.2899477702326
"2032/2033",2033,121,121,100,53.3570766057867,207.589921837427,66.8138373846302,91.66668717751,2044.98023850909,1884.5,1717.42814407832,1874.5,1870.5,1595,1821.5,85.4530667813578
"2033/2034",2034,120,120,100,44.2968109600794,175.947022161345,64.5278206051798,87.1518076515276,1896.03800817138,1706,1647.80808934675,1701,1796.5,1315,1718,80.6799347835422
"2034/2035",2035,120,120,100,40.5408159519433,185.983170355528,59.121634476421,85.5002822212518,1916.75994741716,1832,1814.29677222236,1761,1877,1214,1824,84.4009925897981
"2035/2036",2036,120,120,100,46.2062660383474,210.282162036502,66.5733898113099,89.2746153861856,2068.6519173897,1955.5,1933.60592830828,1917,2008,1456,1990.5,87.9610061451604
"2036/2037",2037,121,121,100,51.6056589499212,209.246075410164,69.6410897948611,94.6030269747198,2038.307626829,1851.5,1712.82449030757,1918,1810,1579,1798.5,85.5766234596977
"2037/2038",2038,120,120,100,44.6058711157288,207.061438505774,58.6227181914889,85.5548184558136,2005.44125329895,1973,1915.29244620054,1885,1976,1389,1946.5,87.7049713168817
"2038/2039",2039,120,120,100,41.8155283659846,172.666312758734,71.7523472565936,92.8472080160272,1821.54854128578,1617,1467.12739352529,1693.5,1591.5,1396,1546.5,79.6700352876833
"2039/2040",2040,120,120,100,51.6019078192975,197.586475811455,78.0229574094456,98.0694198732095,1979.54777031727,1718.5,1585.41283000552,1819,1713,1578,1708,83.8269339554608
"2040/2041",2041,121,121,100,51.0354824105464,215.18769357754,69.934546534525,94.7514019377542,2118.99373921369,1911,1823.28283811436,1965.5,1921.5,1627,1904,88.4390085262467
"2041/2042",2042,120,120,100,54.4231519127669,243.382671392213,64.4781451316633,91.6524834492161,1970.71452368077,1713,1627.55149094233,1778.5,1790.5,1493,1725.5,83.111748809456
"2042/2043",2043,120,120,100,43.4757477479715,182.093491562566,80.0807916986005,98.2447270131792,1780.57267739675,1492,1316.67696545743,1656,1414,1501,1400.5,78.8109966657967
"2043/2044",2044,120,120,100,48.5437671385651,196.242969190151,62.6792826321553,86.875959773092,1967.99521551051,1751.5,1569.43273867081,1735.5,1835.5,1543,1691,75.821232178293
"2044/2045",2045,121,121,100,60.9753504776857,247.189209388492,68.1318107309541,95.2001182573607,2151.82016757061,1973.5,1746.22376859286,2014.5,1920,1725,1886.5,85.9915866759147
"2045/2046",2046,120,120,100,47.8456073144209,189.911256234859,62.6645729293534,87.6347315776821,2054.20541445498,1923.5,1861.24130859218,1894,1965.5,1437,1921.5,85.8343049103569
"2046/2047",2047,120,120,100,47.9448775596448,213.451166442734,60.5570071656295,88.304779205782,2161.049965771,2048,2083.55079055594,1978.5,2136.5,1402,2122.5,92.7283750889792
"2047/2048",2048,120,120,100,45.0764992202499,199.656325179739,63.1814809391246,88.7972199033222,1849.59655153487,1688.5,1594.31432677617,1703.5,1722,1317,1662.5,81.3604498250179
"2048/2049",2049,121,121,100,59.816267194711,218.173206206574,67.405677575236,92.841991004581,2198.92009520228,2049.5,1870.27631287692,2043.5,2058.5,1756,2016.5,85.1317794756033
"2049/2050",2050,120,120,100,45.2351779927054,185.110451308614,60.9943352490683,87.1834147000999,2079.47549032266,1994,1969.62086485355,1928,2029.5,1411,2014.5,88.8948248622401
"2050/2051",2051,120,120,100,45.0225786487156,183.820251626986,58.6603645778078,84.2672772249549,1999.6560762508,1957.5,1938.43680995466,1878.5,2000,1332,1963.5,86.088486335465
"2051/2052",2052,120,120,100,50.4963472064763,206.613944497384,67.2817800140947,90.8886807547391,2010.78533356832,1866.5,1787.82769178419,1887.5,1877.5,1480,1858,86.0283275855027
"2052/2053",2053,121,121,100,53.9310869344087,245.196466273079,69.3215075366918,95.3247159689027,2060.94755376762,1862.5,1684.55678817018,1934,1807.5,1681,1799,83.2810961574596
