"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,42.0697438548837,139.305566190506,80.3148497102801,94.8200850824529,1838.03270934773,1619.5,1516.21932292528,1695,1593,1429,1577.5,81.2564767425174
"2002/2003",2003,120,120,100,52.3983666450321,183.850443376778,73.5645161757163,94.400765553792,2083.10733680686,1864,1721.13094944378,1944.5,1848.5,1646,1833,85.4019018491724
"2003/2004",2004,120,120,100,41.5598675232985,126.141144716902,70.3490462836594,87.8617871514871,1874.90763475957,1722,1658.68090679163,1703,1767.5,1295,1705.5,79.1325753723993
"2004/2005",2005,121,121,100,46.2122204024027,144.145949718013,76.7363814529086,93.3116436691282,1993.38272663006,1785,1740.5068577046,1838,1837.5,1469,1817.5,82.8378149811224
"2005/2006",2006,120,120,100,38.6858115949342,115.117801553168,84.2563375505991,92.7215272069324,1737.06430184698,1559,1460.72937629002,1598.5,1560.5,1313,1542.5,76.202321718309
"2006/2007",2007,120,120,100,50.7906340359135,142.210138658659,75.9278732264083,93.1640735637905,1985.57018747455,1814.5,1627.82364939412,1881.5,1780,1619,1757,82.8867361831127
"2007/2008",2008,120,120,100,51.4160234838448,167.419738277376,65.462940033155,89.4046194486894,2169.46453803586,2057,1989.70065583228,1995.5,2126,1517,2098.5,88.5025713206176
"2008/2009",2009,121,121,100,44.9005933516924,124.291398669889,72.7609142811742,92.1005177983765,1941.6201009587,1793,1651.13500684481,1848,1744.5,1468,1722.5,82.1634781411652
"2009/2010",2010,120,120,100,36.4820942387498,134.438112289104,74.9449437863444,92.623557424361,1766.61624208392,1515,1467.18038682309,1603,1522,1269,1490,78.4737168345248
"2010/2011",2011,120,120,100,39.9156498977992,125.855070788211,76.4056645892907,92.6539734533479,1756.43099707239,1503,1354.64276097937,1614,1478.5,1380,1413.5,75.8285671834929
"2011/2012",2012,120,120,100,49.4542141482017,180.714040805195,69.8305858337802,91.4021708690481,2119.34086346639,1990,1931.50041543417,1980.5,2010.5,1571,2008.5,87.9208450427898
"2012/2013",2013,121,121,100,42.852958647568,136.296370776976,72.4857223751346,91.9084950633458,1923.40334550953,1737,1667.12648331813,1769,1754,1385,1717.5,81.771403938787
"2013/2014",2014,120,120,100,41.0876606800674,144.53657366746,70.0505120318899,87.6369414603197,1880.28266841661,1757.5,1733.25079838586,1733.5,1814.5,1237,1790,81.7812546910748
"2014/2015",2015,120,120,100,33.4560618777723,113.44391894035,63.9303951206679,86.4048429315508,1898.95611415808,1828,1892.02141996738,1745,1878.5,1124,1861,88.1302796921461
"2015/2016",2016,120,120,100,54.6570959805306,175.869510180357,72.6310132193732,94.7933929341997,2140.36253911352,1979.5,1842.19319644122,2029,1980,1693,1973,86.431034530447
"2016/2017",2017,121,121,100,43.5962669823642,128.348627762836,75.5721791242185,93.3275329982131,1951.36159783432,1769,1665.44985601608,1821.5,1735,1471,1711.5,82.1428693514767
"2017/2018",2018,120,120,100,43.5514745898476,138.280043731065,73.345614933342,91.4738389222674,1835.98585441166,1639.5,1478.3985786715,1695.5,1627.5,1408,1567,78.3197918456717
"2018/2019",2019,120,120,100,46.1711466204686,166.615157967343,64.6706437896194,87.749427820076,1969.13470800053,1831.5,1724.79504105599,1809.5,1838.5,1453,1778,82.1256234339589
"2019/2020",2020,120,120,100,45.6313883134562,145.502222167025,77.2698957400947,95.3255286159078,2002.37012521108,1766.5,1664.76010481986,1866,1749,1505,1742,84.4609280491063
"2020/2021",2021,121,121,100,47.4689928000022,157.226899019472,84.7828398406304,95.5399314858222,1903.7896047919,1633,1436.27443947153,1777,1572.5,1598,1543,78.132025528012
"2021/2022",2022,120,120,100,35.601307645351,130.0415191069,63.351834928137,85.0553132812783,1912.17212484516,1875,1952.61925815946,1794,1921.5,1125,1915.5,86.7724652622373
"2022/2023",2023,120,120,100,56.8006832782631,198.248021931668,67.8573371050763,91.9763498057397,2158.65547599539,1997.5,1899.10873320863,2039,2001.5,1682,1983,88.2677184648051
"2023/2024",2024,120,120,100,50.8746637300966,152.551663815544,78.2813195591334,97.672699414635,2094.86461674582,1855,1666.25342748047,1963.5,1776.5,1741,1770,83.3322410036667
"2024/2025",2025,121,121,100,49.0860923534547,175.40695814385,78.326042335454,94.0549062147946,2032.25365984791,1857,1758.86628294757,1878,1883,1564,1872.5,84.5798014946004
"2025/2026",2026,120,120,100,44.0315304260099,140.15869044519,77.0044042059582,90.9098184724419,1844.50718713044,1670,1506.18293156622,1692.5,1661,1423,1608,76.6941572441742
