"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,44.9148400322134,185.221381888429,78.8602442172569,95.9529435246897,1815.54068235399,1573,1442.63272818993,1677.5,1535,1459,1519,79.4789293278245
"2002/2003",2003,120,120,100,51.7913471731026,228.317770131171,72.0716745713618,95.666379500901,1990.56809430377,1707,1607.96201875692,1851.5,1699,1585,1682,84.7005887618174
"2003/2004",2004,120,120,100,40.3501758572042,158.298143304581,69.0658623303308,88.8288193875463,1863.5845569379,1702.5,1673.21912830442,1679,1761.5,1256,1717,81.2603621577427
"2004/2005",2005,121,121,100,48.2437708590531,192.615168618685,75.359273060921,94.540665440249,1984.92220709911,1759.5,1699.99516376515,1808.5,1791.5,1478,1776,83.2175495076739
"2005/2006",2006,120,120,100,40.7832941284882,163.814773210554,82.3929992748915,94.8892391882498,1746.35366127337,1542,1412.42019110789,1628,1523,1398,1508,78.8335369552376
"2006/2007",2007,120,120,100,54.9267597941525,187.673168208169,74.5132761918188,94.8748468720498,2060.03695072516,1860.5,1662.61985086526,1951,1813,1716,1790.5,83.2116779035263
"2007/2008",2008,120,120,100,52.877738204783,220.741744785964,64.3281048576851,91.0845485843906,2102.93026724522,1931.5,1834.88734389293,1934.5,1976,1546,1945,87.2159501568768
"2008/2009",2009,121,121,100,44.0863744498228,155.954555454721,71.4681238237221,93.499129063527,1936.82592127576,1738,1621.56630837907,1810,1720,1466,1696,85.6797667627991
"2009/2010",2010,120,120,100,38.0607109998392,178.308248113699,72.9975465135132,94.3575896133626,1786.88798061619,1545.5,1489.93534259995,1635,1544.5,1334,1523.5,82.3990694062827
"2010/2011",2011,120,120,100,44.5097992051536,180.909394069446,74.0048861875458,94.4666975398152,1830.28820909827,1563.5,1388.37727522526,1663.5,1535.5,1456,1486.5,77.2921930149537
"2011/2012",2012,120,120,100,52.7368938496458,230.848615237387,68.3482296270905,92.7802893567557,2127.86397654683,1972.5,1878.20519456827,1999.5,1994.5,1640,1990.5,87.3362382972145
"2012/2013",2013,121,121,100,44.6861918102388,175.862325031327,71.0576661205984,93.3908271841055,1908.03967229668,1713.5,1649.4162759196,1753.5,1709,1396,1680.5,83.1393525535866
"2013/2014",2014,120,120,100,44.6608004929295,205.62080374483,68.4257782335363,89.5245328711415,1953.79592632718,1809.5,1720.05713145521,1793,1832.5,1359,1805.5,82.2362428927445
"2014/2015",2015,120,120,100,33.2307705931663,148.285122917066,62.8781345669324,87.3861003973436,1897.46700131705,1816.5,1835.09816392686,1759.5,1854,1197,1833,86.6903370950531
