"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,44.203153587474,190.176395721274,82.2231803319612,97.9020730883482,1739.86569182268,1441,1320.59632846722,1605.5,1420.5,1436,1408.5,77.3077284230821
"2002/2003",2003,120,120,100,49.5367607256631,227.602273274773,75.4087618439321,97.8708420473997,1903.76402014576,1590.5,1467.11111065505,1745.5,1569,1477,1556,81.2064665934828
"2003/2004",2004,120,120,100,44.4511691861931,177.914702782297,72.06662695277,91.379677459431,1883.02126503562,1724,1633.24208522265,1735,1744.5,1382,1709,82.1068233466877
"2004/2005",2005,121,121,100,51.1456892389618,210.853436372072,78.4649305525918,97.6069290004004,1982.88365879573,1716,1595.30968901913,1811,1699,1583,1686.5,81.5722865208085
"2005/2006",2006,120,120,100,42.7275065688521,176.40654076847,85.9336557976781,96.404232191924,1702.14582240573,1475,1309.21469579231,1592,1445,1409,1434,76.8573572797973
"2006/2007",2007,120,120,100,52.8040578765101,192.852152377237,78.0051752886535,97.4265079801612,1992.63072946057,1742.5,1527.97924302648,1887.5,1687,1682,1672,82.4643794271893
"2007/2008",2008,120,120,100,55.3106794838748,242.003810498668,67.136330315874,94.3478526903982,2125.56923180258,1924,1769.05929180197,1973,1900,1668,1881,88.637271201266
"2008/2009",2009,121,121,100,45.0198826458164,168.582872629337,74.5094333418004,96.4958772227651,1954.41519492442,1712,1585.85619588766,1824,1676.5,1538,1663.5,83.7681475967454
"2009/2010",2010,120,120,100,37.8846682499024,179.541652961324,76.3165196157928,95.9344113945436,1728.18901843767,1499.5,1404.34403046028,1597,1487,1288,1472,79.9978640791933
"2010/2011",2011,120,120,100,41.758369763902,189.753922469242,77.2072858908396,96.6579571613313,1762.52704849055,1441,1276.73520505807,1603,1395.5,1439,1352.5,77.6737307003955
"2011/2012",2012,120,120,100,56.4907196318453,253.241785054727,71.254733916269,95.8869039567139,2144.36731442739,1948.5,1785.83232506742,2017.5,1949.5,1730,1949.5,87.5011121923217
"2012/2013",2013,121,121,100,43.9915634149218,177.31361820792,74.3250685277467,95.762340715492,1860.27412879962,1636,1560.99776795544,1738,1643,1399,1619.5,83.1133375863451
"2013/2014",2014,120,120,100,47.9450355728764,233.030228187663,71.3426018461919,92.5943658943608,1977.91197934215,1811.5,1658.67761210913,1836,1792.5,1523,1771,82.0525399852811
"2014/2015",2015,120,120,100,36.6030140274794,165.781278168692,65.7041184001956,90.0711105358856,1956.47855782956,1825,1818.298521364,1807,1872.5,1297,1862,86.165589760677
"2015/2016",2016,120,120,100,52.2742082743283,227.048887852358,74.276555444201,98.6328638154534,2015.13609591488,1767.5,1615.65908011023,1880,1745,1635,1739,84.791548762134
"2016/2017",2017,121,121,100,44.4993163103314,176.48644912544,77.749334647223,97.065670980065,1910.58109167523,1657.5,1536.42398189632,1779,1644,1491,1626.5,80.8371114222064
"2017/2018",2018,120,120,100,39.1116889600378,170.21235652797,74.9655454107339,94.508736300294,1700.61497675699,1472.5,1340.62688367535,1561.5,1440.5,1312,1399.5,79.9455430186872
"2018/2019",2019,120,120,100,46.7493849613233,219.885728094675,65.9549970145728,92.0337715147503,1912.96288669868,1710,1617.80639713659,1757,1734.5,1395,1689.5,83.6355721120203
