"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,44.9309891859469,187.92521299813,82.1334739936401,97.8858254723101,1766.71863190243,1478.5,1350.17094930438,1638.5,1450,1469,1441,78.3151647136012
"2002/2003",2003,120,120,100,50.3140535189458,224.633021393777,75.3562281645728,97.759429246334,1934.88167886695,1622,1498.56977513708,1778.5,1599.5,1519,1587.5,81.8449061009049
"2003/2004",2004,120,120,100,44.2923256774106,173.315447317612,71.9294521701974,91.3146986239321,1897.41053568925,1734,1664.07630565264,1740.5,1771.5,1363,1743.5,83.5620006179524
"2004/2005",2005,121,121,100,51.5223644674483,206.565740826587,78.3179831867193,97.5449297135643,2016.2068223238,1750,1639.29762207504,1841.5,1736,1608,1727,83.6393928645966
"2005/2006",2006,120,120,100,43.2638084745143,172.802622044063,85.7526199590368,96.4752891927209,1731.1946785607,1508.5,1347.92915639777,1616.5,1479,1419,1471.5,76.654843630481
"2006/2007",2007,120,120,100,53.8258515478818,190.235600825543,77.8654866936135,97.2228714768588,2016.91389663409,1775,1559.52172196087,1911,1718,1709,1701,83.5376807373536
"2007/2008",2008,120,120,100,55.5667835022768,236.596446726186,67.12063049106,94.0190793455763,2143.92731827327,1953.5,1803.74368705436,1985,1934,1669,1919.5,88.1707177594042
"2008/2009",2009,121,121,100,45.6877586981825,166.039978865069,74.3818271686046,96.3410899677262,1977.99944653017,1748,1617.28252691574,1854.5,1706,1550,1696.5,85.3080519997363
"2009/2010",2010,120,120,100,38.3885391712693,176.581409647786,76.2039331521511,95.9745351153569,1753.73294706853,1516,1432.94765684077,1616.5,1507,1316,1496.5,80.6913596861198
"2010/2011",2011,120,120,100,42.026631834591,186.748002860397,77.0816673240278,96.5396188517699,1787.38363123928,1472,1317.55429669429,1629,1429,1456,1392.5,79.4290105691075
"2011/2012",2012,120,120,100,56.9559766573318,248.153359509713,71.2414625826998,95.6884426895577,2167.15007315667,1970,1822.49030553264,2025,1978.5,1721,1978.5,87.6158544547111
"2012/2013",2013,121,121,100,43.9297880943965,174.140312212552,74.2889863809866,95.5295421055246,1876.10503574373,1654,1587.51032493629,1746.5,1657,1406,1636,83.472828011
"2013/2014",2014,120,120,100,47.7971333194698,224.900241039801,71.2272089486206,92.4303928315511,1999.6320775226,1845,1694.39971970635,1857.5,1828.5,1523,1811.5,82.3560627932734
"2014/2015",2015,120,120,100,35.9300769559819,157.832781711902,65.7847366030535,89.7299315664053,1946.07905521971,1812.5,1820.5388173425,1791,1868,1258,1857,86.5773905691162
"2015/2016",2016,120,120,100,53.0704893110794,223.015333965594,74.2889878436672,98.4617005975361,2042.718299786,1800,1648.68178907659,1922.5,1771.5,1662,1767,86.2833652226914
"2016/2017",2017,121,121,100,44.3625459384681,171.531978809106,77.6985349054084,96.861058598685,1923.92974437935,1664.5,1558.57017860684,1787.5,1659,1498,1643.5,80.686119561662
"2017/2018",2018,120,120,100,39.4105317368634,166.879781239967,74.8695818612279,94.4166734107218,1718.62678450289,1503,1368.26586391486,1588,1462.5,1306,1426.5,80.5824390512867
"2018/2019",2019,120,120,100,46.3946986742913,214.371147394014,65.9693603434188,91.7311033759016,1923.38946994711,1724,1642.32294606005,1778,1749,1388,1708,83.6965568285123
"2019/2020",2020,120,120,100,48.4724210402893,195.221402424158,79.2117768103382,99.048822322454,1939.51882866988,1633.5,1486.15321899053,1791.5,1589.5,1557,1585.5,83.6803793917197
"2020/2021",2021,121,121,100,46.4421178068536,191.090214306899,86.7820426447607,98.718406521634,1776.15815641747,1461.5,1292.23307568647,1657,1398.5,1519,1382.5,76.6281549293071
"2021/2022",2022,120,120,100,44.7911310340276,201.309613680931,64.8837279083669,89.5683896120911,2002.55778099742,1848.5,1887.01288917193,1865.5,1910.5,1384,1902,87.0496008103955
"2022/2023",2023,120,120,100,58.7574846755642,250.157776919453,69.4789924196187,96.2593879231773,2110.35501495603,1896.5,1729.94856978278,1994,1871.5,1720,1861,86.4559017830493
"2023/2024",2024,120,120,100,51.851019654134,205.72482475496,80.4625304947428,101.083208423177,2030.16358464824,1709,1492.09260303378,1920,1646,1784,1644.5,81.6937944415808
"2024/2025",2025,121,121,100,57.6350841962611,248.638255528218,79.6054530042992,97.939021229817,2000.81137624008,1784.5,1582.00887585343,1883.5,1716.5,1720,1712.5,84.7855989110612
"2025/2026",2026,120,120,100,43.6964535278055,179.728905039255,78.1331437573663,94.7405429755387,1793.11839353983,1559,1400.82603304618,1672,1530,1419,1500.5,78.3931100659356
"2026/2027",2027,120,120,100,37.384113551897,151.009221358189,65.4012493535718,86.9728614679016,1862.94312196173,1701.5,1680.0511159726,1661.5,1747,1257,1686,81.2921916529963
"2027/2028",2028,120,120,100,52.9943824176679,256.718796294804,69.90859061393,96.6108032822642,2012.55496983713,1776,1676.6440663478,1876,1776.5,1567,1774,84.5021687055746
"2028/2029",2029,121,121,100,56.4791561326841,198.756878978164,72.9682105233121,94.9249871124772,2144.86505585631,1965,1831.77461600704,1985.5,1969,1665,1943.5,87.2129960942975
"2029/2030",2030,120,120,100,51.2415261476014,208.98071689574,70.5381091789775,95.1642512031285,2066.85313485524,1844.5,1754.96017032813,1905,1854,1580,1844,87.2278205442653
"2030/2031",2031,120,120,100,53.2843788636411,186.619680006832,79.3447729124887,97.797083845839,2025.34441044283,1789.5,1595.41980305435,1907.5,1728,1711,1721,82.9149403189494
"2031/2032",2032,120,120,100,52.8975948904247,192.790776865291,73.6000773839972,94.0796084393165,2119.86498246834,1977.5,1844.36171088038,1985,1982.5,1659,1982,85.8170819427714
"2032/2033",2033,121,121,100,55.6795732536669,232.598336217859,72.4930602381543,97.3433277924925,2087.20325343822,1855.5,1639.69492374544,1943,1802.5,1733,1790.5,84.4686681167368
"2033/2034",2034,120,120,100,50.1870592103551,197.318623580085,69.900542812752,92.8589034653428,1991.52137714009,1807,1696.16531576132,1853.5,1805,1495,1782.5,83.9088418206657
"2034/2035",2035,120,120,100,48.1629428811872,220.588030098851,64.3867393897961,91.2040485460766,2073.10356455152,1911.5,1859.09715147931,1921,1952.5,1496,1935,86.9679724204143
"2035/2036",2036,120,120,100,59.8421900618156,247.48400734698,72.3264404137434,94.6497910711841,2157.91832589592,1983.5,1847.45274577556,2014,1981,1718,1977,87.3948117757018
"2036/2037",2037,121,121,100,55.0556639683619,223.187479908334,75.6096147268345,99.8192198195065,2044.07878877023,1753.5,1592.31891379372,1895.5,1709.5,1668,1705.5,85.5539179273947
"2037/2038",2038,120,120,100,58.0777689606286,247.167580469005,63.7085723666416,91.9630409945597,2186.00139156672,2047.5,1946.10855609507,2060,2060,1660,2049,89.6606618034166
"2038/2039",2039,120,120,100,43.8547331261196,190.372436753778,77.7509568554324,97.223544513577,1857.36263694815,1592.5,1435.04798172262,1733.5,1566.5,1488,1554,81.6964296561464
"2039/2040",2040,120,120,100,52.7362468496731,199.590649189662,84.6200870348021,102.118321054737,1898.27968626644,1588.5,1374.83102723309,1764.5,1500,1697,1500,79.4760455259857
"2040/2041",2041,121,121,100,57.9765820839843,232.235905985571,75.9688508664866,100.019646124685,2121.52526182664,1866.5,1679.94819380744,1988.5,1837,1737,1834,86.2454219892752
"2041/2042",2042,120,120,100,56.2358558066029,248.695848252665,69.8062120363359,97.2576267518938,1991.43326781312,1753.5,1584.72662912575,1847.5,1720.5,1585,1697,83.9300572174216
"2042/2043",2043,120,120,100,37.7715264147289,163.414743735572,86.9989957310359,101.058033724297,1623.57610831878,1310,1116.17128067367,1520,1218.5,1362,1213,75.5654323049039
"2043/2044",2044,120,120,100,52.2037427366633,210.625944037685,67.7915840314386,92.8160068406183,2029.44828137229,1833.5,1616.015125607,1876.5,1812,1622,1758,81.7644643431267
"2044/2045",2045,121,121,100,62.2260432479452,255.86099493615,74.0135247378845,100.959182191672,2114.48420524801,1796.5,1591.1706387871,1971,1729,1827,1724,86.6519793629132
"2045/2046",2046,120,120,100,55.508314708241,212.921610706058,68.2229371145735,93.6092420551801,2121.75365905464,1947,1815.05390474083,1994.5,1925,1640,1920,86.9011135739347
"2046/2047",2047,120,120,100,61.7823600161178,254.000086198648,65.9832652788196,94.5807534744725,2278.33618888777,2098.5,2000.13617710098,2120,2118,1781,2108.5,89.4708636131072
"2047/2048",2048,120,120,100,50.7656472136543,216.741175372005,68.6923808626062,94.1868759076692,1921.70803217567,1732,1574.06851983339,1769.5,1711.5,1446,1681,81.5463811767313
"2048/2049",2049,121,121,100,66.3041555072687,239.831582444264,73.1034025757121,98.7900688044583,2239.24113951533,2017,1777.15425562787,2113.5,1950,1936,1943.5,86.8037233877567
"2049/2050",2050,120,120,100,54.3615792886691,224.553008996733,66.2206280198854,93.4506830485655,2235.67736545278,2079.5,1972.28020282141,2083,2093.5,1675,2089,90.6049528086733
"2050/2051",2051,120,120,100,56.5789244804359,223.113458955791,63.6906228703313,90.6903392979204,2222.93561046367,2110,2028.13432342125,2073,2152,1616,2145,90.1904546545748
"2051/2052",2052,120,120,100,53.12844257007,213.352004545209,73.112104242098,96.2013037543402,2030.33349251671,1819,1695.53611985119,1901,1797,1569,1793,86.9968154562466
"2052/2053",2053,121,121,100,55.8133788690382,245.488633742929,75.4682594833427,100.357757686852,1970.56705928314,1688.5,1467.56507431647,1867,1592,1690,1589,81.6331138751593
"2053/2054",2054,120,120,100,46.3941873840472,197.107462522578,80.3679683785376,98.0799125523365,1717.55666391095,1452,1274.72285478501,1606,1383,1410,1368,75.8177507828277
"2054/2055",2055,120,120,100,53.912665485421,215.6783109753,78.5929480729234,100.806659721472,1983.44566041679,1693.5,1519.98192209017,1843.5,1651,1666,1649,84.027919865799
"2055/2056",2056,120,120,100,66.8137896763841,260.006534506038,70.7938283528354,98.1397140624974,2289.4377480048,2077,1827.59837663531,2171.5,2019.5,1974,2012.5,89.2368728718593
"2056/2057",2057,121,121,100,58.1236573493649,264.101354280764,73.8451011975947,99.2455404846292,2105.90742351188,1869,1660.3984597334,1983.5,1794,1776,1789.5,84.2810281283646
"2057/2058",2058,120,120,100,44.7681658921948,188.56399857937,74.7852601609103,93.1195623889678,1808.65747082251,1624,1468.94374285771,1712.5,1570.5,1417,1549,78.4498688727999
"2058/2059",2059,120,120,100,56.9242895699998,211.263495785002,79.9977958472809,99.7457504911194,2035.87611352198,1788,1574.38872597692,1928,1733.5,1735,1732,83.5841165732236
"2059/2060",2060,120,120,100,44.5366433237978,200.38383854899,65.7263365528867,91.1909410088377,2052.46913913728,1897.5,1821.65851417249,1887,1906.5,1477,1895.5,85.7504826016448
"2060/2061",2061,121,121,100,58.6125815709203,227.485452597049,79.6816120468007,100.735701909641,2112.08213779083,1809.5,1617.68531629168,1989,1766.5,1819,1762.5,84.2000976290692
