"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,39.285822123577,180.811663792629,73.5608758759895,92.9965720913212,1749.93703682724,1535,1446.44998043403,1615,1530.5,1335,1497.5,81.316134901999
"2002/2003",2003,120,120,100,49.848677225631,230.109627139899,67.1986965888343,91.9109807519401,1962.93277742773,1750,1639.43834944614,1839.5,1751,1492,1717,83.6642592277332
"2003/2004",2004,120,120,100,37.1306672194311,153.833851175143,64.7528969491727,85.2017038265254,1736.13493535141,1560.5,1490.2188314836,1507,1626.5,1166,1506,77.0569611927341
"2004/2005",2005,121,121,100,43.0856933307272,181.5125464833,70.5206962502971,91.0668984122312,1883.18758806167,1719.5,1631.5379385211,1712,1717.5,1346,1679.5,80.9754078213136
"2005/2006",2006,120,120,100,33.9573856816513,145.082834656005,77.6254864616984,90.8709698177756,1620.98701164177,1438.5,1342.82986783877,1474,1453,1172,1405.5,75.6222934070786
"2006/2007",2007,120,120,100,49.0043666628222,173.611732159296,69.9842827212689,90.7524719048912,1912.57223989603,1735.5,1565.30366158918,1778,1707,1505,1649.5,79.35688638226
"2007/2008",2008,120,120,100,46.8113522973332,214.607011371837,59.6773548631799,86.7578174378796,2014.10250358502,1888.5,1833.68062407982,1850,1945,1393,1892.5,85.8805400169501
"2008/2009",2009,121,121,100,41.3258980796495,152.982980655888,66.8916035292219,89.4519080269317,1828.54279699176,1636.5,1539.7114102149,1659,1651.5,1290,1579,79.2982141797772
"2009/2010",2010,120,120,100,33.2742727163011,170.152512367367,68.5131388024493,90.4894140456471,1641.60709367319,1446.5,1347.89857548874,1506,1431.5,1165,1369.5,77.7356826069331
"2010/2011",2011,120,120,100,40.1338398290456,173.813755383736,69.8237064385738,90.3888748423312,1657.91803573977,1403.5,1204.28790289402,1484.5,1402,1328,1288.5,73.6949608837538
"2011/2012",2012,120,120,100,44.5770231748209,211.856726992184,63.7291287426391,88.7068080025039,1964.16944139611,1832,1783.77655619682,1809.5,1859.5,1367,1833.5,85.3944748953145
"2012/2013",2013,121,121,100,42.200196697897,180.988649741039,66.4545397203908,89.5450433127454,1822.96785195345,1630.5,1547.20647807787,1646,1646,1288,1577,80.6004935892072
"2013/2014",2014,120,120,100,37.4009297664333,185.058861681847,64.2091731526176,85.2609178580526,1784.3238658304,1630,1577.58589262622,1608.5,1709.5,1161,1636,78.3524671649886
"2014/2015",2015,120,120,100,32.9967712385128,155.15222798677,58.0458157525919,84.1620905601544,1848.85125393539,1775.5,1829.99576569614,1690.5,1864.5,1079,1817.5,85.4750474399564
