"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,40.2442502682174,170.168970640247,68.608835467131,90.2501308917327,1825.95604590305,1683.5,1592.33237211328,1668,1710.5,1271,1667.5,82.7516501725197
"2002/2003",2003,120,120,100,46.0875456674086,207.025599127609,62.8339375751437,87.6067430637413,1972.21958656756,1868.5,1755.36010226762,1863,1880.5,1458,1829.5,83.9884215852316
"2003/2004",2004,120,120,100,32.232788552677,138.963554743568,59.7919965581589,82.0980910904758,1759.36653617302,1623.5,1644.41977779236,1551,1733.5,1022,1631,78.3909288618933
"2004/2005",2005,121,121,100,38.8003966469831,162.395404817205,65.7304856609195,87.837450807697,1877.84285290116,1770.5,1753.31011357196,1760,1799.5,1246,1760.5,83.9366549176603
"2005/2006",2006,120,120,100,34.7460843373133,139.005354224881,72.0620812305008,88.9822809772825,1747.03770278775,1584.5,1555.84816780174,1574.5,1622.5,1179,1573.5,78.7109535998927
"2006/2007",2007,120,120,100,47.3453381886992,157.285850095759,65.2805610047008,86.6373249944972,1943.94311615054,1828.5,1680.96555026466,1792,1857.5,1422,1775,80.3874969094605
"2007/2008",2008,120,120,100,37.8880309573813,167.455664760775,56.0025087722756,81.4185062534759,1899.92473446785,1857,1874.13678315033,1749.5,1941,1150,1868.5,83.6240532943253
"2008/2009",2009,121,121,100,45.3883909350716,151.452852506709,62.3563000933503,85.2795887234878,1888.99604005505,1826,1685.88292145533,1752,1837.5,1338,1743,78.3896106151327
"2009/2010",2010,120,120,100,38.5488621453808,167.831402498553,63.8214442788313,87.3596087498544,1757.94894167035,1582,1504.49330133458,1600.5,1608.5,1159,1532,79.6131505334972
"2010/2011",2011,120,120,100,41.3624788040124,155.336924279307,64.9207434920417,87.4528504919666,1805.2495103153,1655,1493.87498154794,1615,1678,1318,1581,79.9559218931297
"2011/2012",2012,120,120,100,40.4503988636458,188.734861356227,59.398332062395,84.507891685066,1950.32610359257,1928.5,1906.13484970142,1832,1957,1285,1927.5,86.9409206860582
"2012/2013",2013,121,121,100,36.1381285228565,149.885404671886,61.8985012483895,85.9249205875864,1764.31102995017,1642.5,1616.95955597567,1614,1668,1098,1602.5,82.0857548886863
