"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,40.5745369563314,163.355978192831,71.4385021604081,91.0709188439836,1797.51963496389,1643,1522.14291076001,1695,1635,1329,1594,79.079460851673
"2002/2003",2003,120,120,100,46.1084659130823,193.894437791514,65.3625835016167,88.5212576667994,1945.58222465541,1826.5,1700.59068186172,1826.5,1796.5,1434,1753.5,83.0142383124841
"2003/2004",2004,120,120,100,30.8599819066322,119.32438250039,62.6844737575775,82.448990708579,1662.08784362003,1488,1481.99234492389,1435,1596,961,1461.5,75.7028769295195
"2004/2005",2005,121,121,100,41.1023640866398,156.574993725624,68.0871424853906,88.8964103347489,1907.30311261495,1786.5,1725.81651669825,1762.5,1809,1327,1767,83.0652023179092
"2005/2006",2006,120,120,100,33.9688625997251,129.200307202235,75.0327727318557,90.0533415913838,1681.17661657579,1475,1423.29333212671,1524,1520,1191,1469.5,76.3768678264713
"2006/2007",2007,120,120,100,48.0171036967142,146.8920214593,67.6507393590326,87.5785410199108,1949.90992613524,1836.5,1694.13413679348,1810,1843.5,1433,1780,79.654802505362
"2007/2008",2008,120,120,100,42.1080330650093,165.686188725349,58.1562617711124,83.0686307929892,1932.2207035089,1874.5,1855.92009965711,1780.5,1938.5,1226,1879.5,82.2535366697018
"2008/2009",2009,121,121,100,42.0506090619435,133.385896050023,64.6537485998031,86.381370494056,1838.0588290583,1729.5,1623.97867609621,1690,1736.5,1272,1664.5,79.4783010688502
"2009/2010",2010,120,120,100,33.4355164546446,146.880936469491,66.5205200029215,88.200829875039,1671.92119074825,1468.5,1389.14088851189,1536.5,1483.5,1122,1414.5,77.683780951156
"2010/2011",2011,120,120,100,43.1748726820028,157.449178606868,67.4973436200725,88.2954491163684,1762.51204496219,1588,1362.34165247436,1595,1595,1382,1474.5,73.8907985632404
"2011/2012",2012,120,120,100,40.415253856622,170.227570689027,62.0438794433732,85.393573016133,1953.11191108911,1879,1890.59111929135,1797.5,1943,1256,1915.5,87.7089923411229
"2012/2013",2013,121,121,100,39.9236826478574,151.062595140684,64.4970440296062,86.6819094962882,1784.69916408612,1623.5,1563.86134546859,1601,1665.5,1153,1584,78.4955890046535
"2013/2014",2014,120,120,100,33.6636181056665,147.531875415727,62.0969607579997,82.752165969652,1758.76998580858,1636.5,1637.63755246931,1597,1711,1127,1629.5,78.6542552804578
"2014/2015",2015,120,120,100,28.4635319196938,114.180727417023,56.5675962499507,80.5102597757549,1655.95487342964,1663,1709.45487145791,1573.5,1698,885,1644,83.662172244244
"2015/2016",2016,120,120,100,49.1259554076551,190.383611285273,64.4714440387387,89.0169155275972,1990.35095766536,1902.5,1825.38041501414,1861.5,1916,1394,1893.5,85.622852549549
