"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,41.1987275549694,165.946113049053,71.182629118368,90.9562995623184,1802.89255076152,1651.5,1523.41050156392,1687,1642.5,1332,1599.5,81.2856170553529
"2002/2003",2003,120,120,100,45.8186783062918,193.211013159977,65.1356989154462,88.3546526419578,1935.84221116451,1822,1687.8844812824,1819.5,1791,1432,1745,82.6538909472915
"2003/2004",2004,120,120,100,29.621543682614,116.969123478564,62.5057034283433,82.2423853427128,1647.59197407713,1468.5,1484.77563094118,1423,1596,957,1465.5,75.1628856062582
"2004/2005",2005,121,121,100,40.978441852184,157.341326137339,67.8055502099992,88.7487808130304,1908.05045678781,1788.5,1729.94720286968,1753.5,1808.5,1318,1763.5,83.5939016234967
"2005/2006",2006,120,120,100,34.8305279253009,132.776398452714,74.5524107958574,90.4367318764208,1708.43801841589,1503,1436.38296279666,1544,1542,1208,1489.5,77.4237231925069
"2006/2007",2007,120,120,100,48.3847154737542,148.617058266376,67.3258318672921,87.5023049171542,1978.79483661313,1875,1735.0172306565,1836,1882,1437,1822.5,81.1460344538731
"2007/2008",2008,120,120,100,42.1451076669481,167.849521825861,57.9811118369945,82.9210966511723,1909.78202908871,1850.5,1825.82740984064,1762.5,1913.5,1230,1850.5,82.2455336451643
"2008/2009",2009,121,121,100,41.8157893656206,133.719496506653,64.3762471379047,86.2770215577013,1832.57451610165,1727.5,1622.33852726901,1683,1730.5,1265,1654.5,80.5314795093009
"2009/2010",2010,120,120,100,33.3794115706011,150.034043578091,66.1775282663067,88.228079492428,1691.75372009823,1485,1410.27366602874,1544.5,1510,1127,1437.5,78.1915076750201
"2010/2011",2011,120,120,100,44.2267916324867,161.167396196119,67.0640286808584,88.3196052790026,1798.49637522343,1617.5,1407.83141171798,1615.5,1650.5,1407,1533,76.5187422275899
"2011/2012",2012,120,120,100,40.3012739053262,171.663854872379,61.7962550324019,85.2291896712429,1954.36271305731,1884.5,1896.48707926549,1791.5,1946,1244,1918,89.1049521243256
"2012/2013",2013,121,121,100,40.4163622690396,151.13121292453,64.2952159293716,86.522810684162,1779.43348318109,1619.5,1559.89993610117,1595,1660.5,1154,1577.5,79.8123700524154
"2013/2014",2014,120,120,100,34.0963655069875,149.788358306753,61.7228288145169,82.742187103154,1779.51521843101,1655.5,1660.7611475687,1607,1732,1148,1656,78.922232530357
"2014/2015",2015,120,120,100,27.8771991148077,112.961210364263,56.4029468040273,80.3196168788363,1631.68882983605,1653.5,1682.61355036424,1551.5,1672,871,1617.5,83.1323446122185
