"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,47.7976918639442,218.305976928667,74.8969679008388,95.7676165702805,1885.4380339468,1636.5,1557.9389103975,1756,1633.5,1449,1632,84.22987856351
"2002/2003",2003,120,120,100,49.758054131317,226.791722434877,81.6373478426616,95.2416442871444,1932.88812166166,1711.5,1539.06158344327,1807,1668.5,1610,1662.5,79.8739177723119
"2003/2004",2004,120,120,100,51.5964211401641,234.012540150035,83.2747691926457,102.733403582658,1796.54824969693,1488,1264.730306663,1669.5,1417,1615,1414,78.8585500058998
"2004/2005",2005,121,121,100,60.6305925302842,267.699816177926,76.3418374091962,101.938850404641,2055.72363324376,1743,1510.46954522409,1926,1674,1816,1666.5,83.209619157047
"2005/2006",2006,120,120,100,56.8856926379392,250.213820517073,70.6626669019005,97.3618733457563,2053.99216205318,1817,1683.02933417397,1915.5,1792,1626,1786.5,85.4096917899066
"2006/2007",2007,120,120,100,56.2175832947716,255.458373561681,77.8172222851614,96.4747733630016,1948.23904356597,1734.5,1529.27244930727,1839,1687,1646,1677.5,82.3966397860215
"2007/2008",2008,120,120,100,46.3829115427725,199.763025832801,87.7312967288293,102.251311962265,1674.52582134902,1299,1145.269536352,1530,1241,1433,1239.5,75.1747291265335
"2008/2009",2009,121,121,100,56.7402063777158,268.538942196186,79.84118610835,100.564520847869,1866.15545058042,1601,1379.71323334141,1767,1525.5,1628,1525.5,79.4673515931761
"2009/2010",2010,120,120,100,57.1971969067752,240.441574430499,80.1084024021989,98.1985962877798,1989.00426540058,1724.5,1549.73247027264,1851,1678.5,1693,1678,80.0351785663722
"2010/2011",2011,120,120,100,56.4455576090443,248.762626596894,77.4077401177367,101.355862540273,2062.19120929047,1758,1520.92029374631,1940,1676,1753,1676,84.4836712405668
"2011/2012",2012,120,120,100,58.6789295338929,225.976013273601,80.0700102467977,102.088647625558,2016.11756726402,1703.5,1444.54138943941,1902,1590,1802,1590,81.0268373975268
