"location","Month","Tmax","Tmin","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
"Bonn",1,1.82661201334816,1.80345494994438,"ssp126",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Bonn",2,2.76597630700779,2.17960578420467,"ssp126",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Bonn",3,1.48561223581758,1.170670189099,"ssp126",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Bonn",4,1.50157486095662,1.26482736373749,"ssp126",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Bonn",5,1.73338476084538,1.48571657397108,"ssp126",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Bonn",6,1.80877964404894,1.50612491657397,"ssp126",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Bonn",7,2.66861935483871,2.04791034482759,"ssp126",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Bonn",8,2.75448364849833,1.65494371523915,"ssp126",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Bonn",9,3.32339021134594,2.38860044493882,"ssp126",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Bonn",10,2.72224805339266,2.54091590656285,"ssp126",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Bonn",11,2.43494427141268,2.32248331479422,"ssp126",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Bonn",12,2.71317385984427,2.73767908787542,"ssp126",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Bonn",1,2.31882814238042,2.09589688542825,"ssp126",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Bonn",2,3.44657630700779,2.74928642936596,"ssp126",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Bonn",3,2.16911868743048,1.64346051167964,"ssp126",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Bonn",4,1.96006840934371,1.61827252502781,"ssp126",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Bonn",5,2.28583637374861,1.80861334816463,"ssp126",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Bonn",6,2.17494093437152,1.62732491657397,"ssp126",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Bonn",7,3.3574,2.47952324805339,"ssp126",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Bonn",8,3.16065784204672,1.79296952169077,"ssp126",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Bonn",9,4.04013214682981,2.71259721913237,"ssp126",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Bonn",10,3.24581902113459,2.35234171301446,"ssp126",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Bonn",11,3.13824104560623,2.90235428253615,"ssp126",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Bonn",12,2.46005773081201,2.43180812013348,"ssp126",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Bonn",1,2.01576040044494,1.98963882091212,"ssp245",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Bonn",2,2.69520533926585,2.17201546162403,"ssp245",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Bonn",3,3.03676062291435,2.21966051167964,"ssp245",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Bonn",4,1.73810389321468,1.52714349276974,"ssp245",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Bonn",5,2.49370734149055,2.10309399332592,"ssp245",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Bonn",6,2.35440545050056,1.95674427141268,"ssp245",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Bonn",7,3.08069032258064,2.31067486095662,"ssp245",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Bonn",8,3.3449255839822,2.32019855394883,"ssp245",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Bonn",9,3.62533537263626,2.48706496106785,"ssp245",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Bonn",10,2.8538383759733,2.45400300333704,"ssp245",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Bonn",11,2.76953136818688,2.46791879866518,"ssp245",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Bonn",12,2.90000289210234,2.92901134593993,"ssp245",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Bonn",1,1.99922814238042,1.87014204671858,"ssp245",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Bonn",2,2.86132146829811,2.35075417130145,"ssp245",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Bonn",3,2.79559610678532,2.18396696329255,"ssp245",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Bonn",4,2.75317486095662,2.45784994438265,"ssp245",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Bonn",5,2.56133959955506,2.24319721913237,"ssp245",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Bonn",6,3.44067319243604,2.849689432703,"ssp245",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Bonn",7,4.70883225806451,3.70262647385984,"ssp245",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Bonn",8,4.79775461624027,3.75775016685206,"ssp245",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Bonn",9,4.83497408231368,3.71361334816463,"ssp245",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Bonn",10,3.81215127919911,3.03316106785317,"ssp245",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Bonn",11,3.64360878754171,3.24434783092325,"ssp245",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Bonn",12,3.25387385984427,3.30769844271413,"ssp245",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Bonn",1,1.56980233592881,1.64946140155729,"ssp370",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Bonn",2,2.82541501668521,2.37875417130145,"ssp370",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Bonn",3,1.79168320355951,1.55728631813126,"ssp370",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Bonn",4,1.5000361512792,1.39700800889878,"ssp370",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Bonn",5,2.64354927697442,2.23507463848721,"ssp370",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Bonn",6,2.01900222469411,1.6348765294772,"ssp370",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Bonn",7,2.57963548387097,2.09178776418243,"ssp370",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Bonn",8,3.30770622914349,1.96116952169077,"ssp370",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Bonn",9,4.00608375973304,2.55531334816463,"ssp370",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Bonn",10,3.11302224694105,2.13376429365962,"ssp370",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Bonn",11,2.80171846496107,2.44678331479422,"ssp370",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Bonn",12,2.1756383759733,2.30940812013348,"ssp370",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Bonn",1,3.24649265850945,3.22282914349277,"ssp370",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Bonn",2,4.42009243604004,3.82273804226919,"ssp370",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Bonn",3,3.47072836484983,2.89591857619577,"ssp370",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Bonn",4,3.41670389321468,2.93053058954394,"ssp370",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Bonn",5,4.35324927697441,3.44069721913237,"ssp370",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Bonn",6,5.0232893214683,4.05034427141268,"ssp370",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Bonn",7,6.35602580645161,5.07108131256952,"ssp370",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Bonn",8,6.59868042269188,4.602221134594,"ssp370",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Bonn",9,6.49500311457174,4.73793270300334,"ssp370",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Bonn",10,5.26482869855395,4.28229332591769,"ssp370",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Bonn",11,5.05543136818688,4.65786073414905,"ssp370",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Bonn",12,4.41225773081201,4.40512424916574,"ssp370",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Bonn",1,1.59872814238042,1.43029688542825,"ssp585",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Bonn",2,2.90304404894327,2.38979610678532,"ssp585",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Bonn",3,2.99195417130145,2.28205728587319,"ssp585",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Bonn",4,1.68657486095662,1.482559621802,"ssp585",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Bonn",5,2.52801379310345,2.34550689655172,"ssp585",2035,2065,2050,2000,"relative","ACCESS-CM2"
