"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,79.1809765678796,2781.85784766953,646
"2002/2003",2003,120,120,100,82.1938189012524,1429.56365403688,369
"2003/2004",2004,120,120,100,71.3538664471556,536.523176902805,839
"2004/2005",2005,121,121,100,67.6752080373556,1122.52444432622,961
"2005/2006",2006,120,120,100,72.3124915423982,2289.37155225416,604
"2006/2007",2007,120,120,100,59.6798663568434,473.9147061607,1200
"2007/2008",2008,120,120,100,83.5430735766963,1835.38908132379,225
"2008/2009",2009,121,121,100,59.3043958031444,808.269331921947,1388
"2009/2010",2010,120,120,100,82.2889730500906,1695.17002263234,481
"2010/2011",2011,120,120,100,75.8129654735221,2267.83429449939,538
"2011/2012",2012,120,120,100,77.9486961013404,2954.32591005842,561
"2012/2013",2013,121,121,100,66.6703280889878,1507.47713558616,1112
"2013/2014",2014,120,120,100,83.9107321523315,1368.90317389102,518
"2014/2015",2015,120,120,100,72.1420865488622,933.111678368026,843
"2015/2016",2016,120,120,100,81.7595339556606,1272.10618263431,416
"2016/2017",2017,121,121,100,70.3686761315848,589.750916076169,929
"2017/2018",2018,120,120,100,82.8233017527641,1419.15650157396,373
"2018/2019",2019,120,120,100,85.7565696173333,2458.56518153928,276
"2019/2020",2020,120,120,100,75.4326789512452,1024.42563139719,677
"2020/2021",2021,121,121,100,74.7959233328866,1639.56862554641,820
"2021/2022",2022,120,120,100,73.0325893423451,1950.4814925251,727
"2022/2023",2023,120,120,100,72.3194657972399,3886.13622575146,607
"2023/2024",2024,120,120,100,73.011340170613,465.015143437689,723
"2024/2025",2025,121,121,100,85.3339032211416,2481.45808588565,235
"2025/2026",2026,120,120,100,80.3643504754946,1226.99729411759,453
"2026/2027",2027,120,120,100,62.3256489032201,623.797073075038,1234
"2027/2028",2028,120,120,100,87.1608268283935,3260.27474627497,232
"2028/2029",2029,121,121,100,63.9478695267953,454.953112700154,1109
"2029/2030",2030,120,120,100,79.4762422065769,1767.04633317533,620
"2030/2031",2031,120,120,100,61.0783379264049,964.473127451216,1258
"2031/2032",2032,120,120,100,62.3371218046641,526.232757052814,1155
"2032/2033",2033,121,121,100,82.15450393624,2475.26661088115,432
"2033/2034",2034,120,120,100,69.1013831424916,1690.27142855107,1029
"2034/2035",2035,120,120,100,75.0336165744629,2954.18684368808,514
"2035/2036",2036,120,120,100,77.5263802721656,2062.74092360029,485
"2036/2037",2037,121,121,100,80.1871377176722,1197.97872491821,535
"2037/2038",2038,120,120,100,75.9273325300992,2589.87230422668,679
"2038/2039",2039,120,120,100,83.1221562431383,1022.93485907838,282
"2039/2040",2040,120,120,100,77.9010974442317,1985.36998621112,660
"2040/2041",2041,121,121,100,80.2884036338692,1438.11904515629,483
"2041/2042",2042,120,120,100,87.6176006234655,3619.56577779999,250
"2042/2043",2043,120,120,100,80.2863327207888,3745.77357224355,502
"2043/2044",2044,120,120,100,75.207620125906,718.144516423286,628
"2044/2045",2045,121,121,100,85.0736847843509,1999.9531905991,303
"2045/2046",2046,120,120,100,63.269766453006,817.979164028569,1071
"2046/2047",2047,120,120,100,79.9354728370599,2026.36382312668,559
"2047/2048",2048,120,120,100,79.0527796510614,2434.53158882287,487
"2048/2049",2049,121,121,100,71.3429395964431,1430.43458928983,755
"2049/2050",2050,120,120,100,76.1214712017227,498.00084715811,579
"2050/2051",2051,120,120,100,67.448109762814,1119.19733940289,986
"2051/2052",2052,120,120,100,74.7489996006134,1304.46464576444,728
"2052/2053",2053,121,121,100,90.4717052372016,2238.68113765438,328
"2053/2054",2054,120,120,100,81.4264545939805,1973.59428902782,534
"2054/2055",2055,120,120,100,83.2401984491389,1942.55564922662,256
"2055/2056",2056,120,120,100,78.0078239266786,1580.20164269634,451
"2056/2057",2057,121,121,100,82.2275602738027,3121.20067488469,360
"2057/2058",2058,120,120,100,69.7468000758654,2621.58470578206,784
"2058/2059",2059,120,120,100,80.2028171723705,649.411968814267,368
"2059/2060",2060,120,120,100,73.2713196464574,1160.03106571117,756
"2060/2061",2061,121,121,100,74.9820001843236,718.531555547379,674
"2061/2062",2062,120,120,100,87.6155207627507,3275.01872006874,281
"2062/2063",2063,120,120,100,70.8833987498365,1323.07358790832,873
"2063/2064",2064,120,120,100,72.4135280272694,2347.98903092294,720
"2064/2065",2065,121,121,100,78.1973863460607,1136.32564630746,539
"2065/2066",2066,120,120,100,74.9952103551841,436.072748925886,607
"2066/2067",2067,120,120,100,74.5930380733007,1455.37737505822,660
"2067/2068",2068,120,120,100,61.1386093898509,732.111546856264,1052
"2068/2069",2069,121,121,100,80.7527326427844,2643.70630660857,639
"2069/2070",2070,120,120,100,66.3958925640873,2243.26675632768,997
"2070/2071",2071,120,120,100,67.8285033636894,3247.37708206638,891
"2071/2072",2072,120,120,100,82.4492074125155,3662.80782047694,292
"2072/2073",2073,121,121,100,72.65467483063,1076.57705097008,1011
"2073/2074",2074,120,120,100,87.399498069688,1540.19331225281,186
"2074/2075",2075,120,120,100,69.1101190655863,1355.11008952366,835
"2075/2076",2076,120,120,100,70.9015312515548,2167.89246506011,674
"2076/2077",2077,121,121,100,76.1407944352977,3120.14076667576,401
"2077/2078",2078,120,120,100,71.9453657275262,2545.87835462025,730
"2078/2079",2079,120,120,100,81.7218266576238,2613.97851265426,354
"2079/2080",2080,120,120,100,82.6209742821084,2051.1778434398,422
"2080/2081",2081,121,121,100,75.332313041541,4823.60277698521,607
"2081/2082",2082,120,120,100,83.214774875094,959.410155973921,530
"2082/2083",2083,120,120,100,79.416863725437,2440.60709785484,507
"2083/2084",2084,120,120,100,75.1241028394252,772.202221274667,780
"2084/2085",2085,121,121,100,79.9225333108116,1669.53031901264,521
"2085/2086",2086,120,120,100,75.9782548448602,978.894507938647,608
"2086/2087",2087,120,120,100,78.3265855009995,2139.11482845963,645
"2087/2088",2088,120,120,100,79.8930935760254,1291.62239677529,349
"2088/2089",2089,121,121,100,72.264428280203,988.250154556998,786
"2089/2090",2090,120,120,100,70.411052500076,1568.75388242141,885
"2090/2091",2091,120,120,100,74.9692942766633,2180.55379179999,601
"2091/2092",2092,120,120,100,83.0637985013745,1130.06718566292,251
"2092/2093",2093,121,121,100,82.6107324455734,1986.38404136751,568
"2093/2094",2094,120,120,100,76.7900718208402,3399.07007541996,380
"2094/2095",2095,120,120,100,78.2523371848329,1643.15523425397,604
"2095/2096",2096,120,120,100,75.9129293647602,1492.25506968418,801
"2096/2097",2097,121,121,100,76.5498510435827,970.360585148737,712
"2097/2098",2098,120,120,100,75.4618388776398,1732.87837841007,711
"2098/2099",2099,120,120,100,75.7559994350595,590.39879398176,717
"2099/2100",2100,120,120,100,79.1898038591316,2688.42728212342,727
