"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,79.284366386143,2136.90357828859,724
"2002/2003",2003,120,120,100,79.4739384288852,1137.83717513525,467
"2003/2004",2004,120,120,100,66.286538428961,460.698744941323,936
"2004/2005",2005,121,121,100,63.6538602199267,860.8736192531,1059
"2005/2006",2006,120,120,100,70.6125074859106,1712.93597326994,786
"2006/2007",2007,120,120,100,56.8731041670412,450.801840462675,1399
"2007/2008",2008,120,120,100,82.1473544616954,1289.84647099549,299
"2008/2009",2009,121,121,100,56.4958466159753,615.173424789682,1462
"2009/2010",2010,120,120,100,80.2844311027752,1330.8643202694,590
"2010/2011",2011,120,120,100,71.4274334571105,1996.64269166811,737
"2011/2012",2012,120,120,100,78.1653344723522,2192.72856687041,606
"2012/2013",2013,121,121,100,65.0147907375349,1179.56033534685,1233
"2013/2014",2014,120,120,100,80.6059769305593,1032.29754910749,564
"2014/2015",2015,120,120,100,68.99954070596,825.623267189687,990
"2015/2016",2016,120,120,100,78.4963525048888,1024.70688896984,593
"2016/2017",2017,121,121,100,67.3608909367413,483.505943088465,1087
"2017/2018",2018,120,120,100,80.9199002047126,1121.40670384908,558
"2018/2019",2019,120,120,100,84.2759076513621,2010.57304467473,301
"2019/2020",2020,120,120,100,73.6881266394512,692.504180524695,761
"2020/2021",2021,121,121,100,73.9502735431333,1259.07962758043,947
"2021/2022",2022,120,120,100,71.1776046326158,1441.94927933076,873
"2022/2023",2023,120,120,100,73.5861646306239,2990.37325938379,679
"2023/2024",2024,120,120,100,71.0625464450504,213.035378042754,862
"2024/2025",2025,121,121,100,84.1379740721732,1892.28487001288,313
"2025/2026",2026,120,120,100,75.7348412429701,1069.9832724915,696
"2026/2027",2027,120,120,100,60.3330593989949,353.692860951051,1337
"2027/2028",2028,120,120,100,86.6755358081427,2811.52435155131,335
"2028/2029",2029,121,121,100,60.8177793990944,262.355168674578,1260
"2029/2030",2030,120,120,100,77.2075986185464,1420.85453677402,745
"2030/2031",2031,120,120,100,55.1938548010912,947.347341533081,1473
"2031/2032",2032,120,120,100,59.0416363270779,438.79140851651,1349
"2032/2033",2033,121,121,100,80.6749341234909,1900.02252136305,559
"2033/2034",2034,120,120,100,65.7947288651922,1412.05341893536,1118
"2034/2035",2035,120,120,100,74.2469245906377,2263.84509963609,681
"2035/2036",2036,120,120,100,75.4829059556732,1797.404511567,607
"2036/2037",2037,121,121,100,76.6368296431065,905.192168176261,648
"2037/2038",2038,120,120,100,76.1168508237697,1961.12617794159,792
"2038/2039",2039,120,120,100,80.4348979552906,690.557133897644,384
"2039/2040",2040,120,120,100,75.5681010602511,1595.27128950288,728
"2040/2041",2041,121,121,100,78.1382729105771,1032.11305456946,612
"2041/2042",2042,120,120,100,85.1730681003428,3139.54241518595,310
"2042/2043",2043,120,120,100,78.6329222678378,3028.71663041477,524
"2043/2044",2044,120,120,100,68.5550963081623,683.074322324421,903
"2044/2045",2045,121,121,100,81.6258851859911,1730.18170812563,418
"2045/2046",2046,120,120,100,60.13117771209,721.057711315254,1220
"2046/2047",2047,120,120,100,77.6869302416253,1591.39662191842,671
"2047/2048",2048,120,120,100,77.7679495025513,1952.8770116856,568
"2048/2049",2049,121,121,100,68.6026514663954,1017.15625354197,929
"2049/2050",2050,120,120,100,72.9027610626054,356.920260112936,756
"2050/2051",2051,120,120,100,64.2204527893573,787.944363866001,1144
"2051/2052",2052,120,120,100,73.0112872351201,1076.74262226507,841
"2052/2053",2053,121,121,100,89.1730316831745,1702.96851320571,369
"2053/2054",2054,120,120,100,81.0128151163681,1464.53598861245,596
"2054/2055",2055,120,120,100,80.5933275364278,1459.06036568634,403
"2055/2056",2056,120,120,100,75.5048914901599,1214.24300891871,529
"2056/2057",2057,121,121,100,81.1788573317535,2558.05320341373,477
"2057/2058",2058,120,120,100,69.5851362434623,1916.54422793671,849
"2058/2059",2059,120,120,100,75.3171600639325,556.33044409909,600
"2059/2060",2060,120,120,100,71.4662267461026,886.485471767694,882
"2060/2061",2061,121,121,100,70.1793805447505,543.209215139592,808
"2061/2062",2062,120,120,100,87.1874688118114,2574.8654540373,354
"2062/2063",2063,120,120,100,68.8768569094482,831.776374382287,989
"2063/2064",2064,120,120,100,70.5894075151391,1797.04032098575,781
"2064/2065",2065,121,121,100,74.611872988653,785.283249044965,630
