"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,80.8500412115081,2508.33203612224,649
"2002/2003",2003,120,120,100,81.3264557915105,1488.1478755941,449
"2003/2004",2004,120,120,100,70.0245649543266,528.931048757455,815
"2004/2005",2005,121,121,100,67.85050032068,946.611349523448,928
"2005/2006",2006,120,120,100,73.6593814128046,1847.18126561105,580
"2006/2007",2007,120,120,100,60.6217802582771,499.363791595224,1231
"2007/2008",2008,120,120,100,84.2657956375563,1454.16584115539,188
"2008/2009",2009,121,121,100,61.5313320229898,553.051766569151,1308
"2009/2010",2010,120,120,100,82.7219578956581,1448.18007422486,442
"2010/2011",2011,120,120,100,76.4909926269938,1896.42286631204,506
"2011/2012",2012,120,120,100,80.5951291272099,2440.66152715649,574
"2012/2013",2013,121,121,100,66.412781459363,1448.36065640773,1079
"2013/2014",2014,120,120,100,82.7431616952072,1211.81984428269,499
"2014/2015",2015,120,120,100,70.4477398017057,981.147053317698,873
"2015/2016",2016,120,120,100,81.282391676008,1277.80946622584,504
"2016/2017",2017,121,121,100,69.4371750427472,677.285597546237,914
"2017/2018",2018,120,120,100,83.4604867828348,1164.70960714864,426
"2018/2019",2019,120,120,100,85.6442458171059,2379.27538134979,272
"2019/2020",2020,120,120,100,76.8895105637953,738.423154308039,637
"2020/2021",2021,121,121,100,74.0743329758343,1547.31824562726,829
"2021/2022",2022,120,120,100,72.8709817709578,1567.5816956886,791
"2022/2023",2023,120,120,100,74.6924253861534,3376.98763201535,651
"2023/2024",2024,120,120,100,74.0459506192192,337.99773139329,735
"2024/2025",2025,121,121,100,86.9723015860591,2106.04226410441,158
"2025/2026",2026,120,120,100,78.8242191358868,1309.84195486883,566
"2026/2027",2027,120,120,100,64.2893056837993,445.481851460092,1185
"2027/2028",2028,120,120,100,89.1866264427181,2993.67888729852,264
"2028/2029",2029,121,121,100,64.810975889448,372.026417759203,1159
"2029/2030",2030,120,120,100,78.5336816030622,1938.46553085191,586
"2030/2031",2031,120,120,100,58.4509423157533,1054.43253203004,1328
"2031/2032",2032,120,120,100,63.2001660686483,390.702549934285,1046
"2032/2033",2033,121,121,100,84.2505436312522,2072.60043930123,423
"2033/2034",2034,120,120,100,69.2429234731107,1365.9854579774,984
"2034/2035",2035,120,120,100,75.6930491670873,2615.79462612141,524
"2035/2036",2036,120,120,100,76.1476085584873,2188.46315544877,509
"2036/2037",2037,121,121,100,80.3037772003563,1076.12744146827,527
"2037/2038",2038,120,120,100,77.5686795466108,2186.16306053752,702
"2038/2039",2039,120,120,100,82.9676786245382,802.968261980132,330
"2039/2040",2040,120,120,100,78.3039902171204,1596.11114079975,604
"2040/2041",2041,121,121,100,80.5716925851011,1113.0313257877,426
"2041/2042",2042,120,120,100,88.0140419306972,3303.73245080156,252
"2042/2043",2043,120,120,100,80.1877983174109,3497.65636605694,502
"2043/2044",2044,120,120,100,74.3991214234284,665.276708632096,748
"2044/2045",2045,121,121,100,85.1697987911411,1828.51963994754,267
"2045/2046",2046,120,120,100,64.5565261332922,664.077869094443,1036
"2046/2047",2047,120,120,100,79.7589907384154,1741.13366982539,544
"2047/2048",2048,120,120,100,81.0968100006012,2113.28285343968,367
"2048/2049",2049,121,121,100,71.5877128751508,1163.90684604607,808
"2049/2050",2050,120,120,100,74.8619716337798,400.641071261285,620
"2050/2051",2051,120,120,100,68.7922502369311,845.393049108505,931
"2051/2052",2052,120,120,100,75.0731583686375,1282.21492621233,685
"2052/2053",2053,121,121,100,91.0059609742784,2058.48375182651,289
"2053/2054",2054,120,120,100,81.2907726540052,1584.71489346577,552
"2054/2055",2055,120,120,100,83.2198255966832,1620.84051814993,265
"2055/2056",2056,120,120,100,78.2937380056264,1402.03687916606,455
"2056/2057",2057,121,121,100,83.5115171881516,2874.14043063903,381
"2057/2058",2058,120,120,100,71.7552718245352,2095.27580470982,722
"2058/2059",2059,120,120,100,78.9718987875658,572.854812207341,496
"2059/2060",2060,120,120,100,74.1572393794104,830.464849870914,698
"2060/2061",2061,121,121,100,71.6833184227053,785.128112319217,734
"2061/2062",2062,120,120,100,89.7697488487156,2707.77564566088,279
"2062/2063",2063,120,120,100,73.2928125104972,975.029145112145,855
"2063/2064",2064,120,120,100,75.6856876257025,1992.56964996771,643
"2064/2065",2065,121,121,100,78.3771302838068,915.276704099175,590
