"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,76.8005558854948,1646.07978085585,809
"2002/2003",2003,120,120,100,77.6377187441585,871.723898418398,617
"2003/2004",2004,120,120,100,60.889042344814,288.189767209085,1050
"2004/2005",2005,121,121,100,59.4587433301363,601.29180467781,1166
"2005/2006",2006,120,120,100,68.8927272626129,1249.34625736325,905
"2006/2007",2007,120,120,100,55.2080586349489,258.027652198589,1516
"2007/2008",2008,120,120,100,78.4709912353098,916.541791958309,396
"2008/2009",2009,121,121,100,53.5223801067445,354.269008848441,1630
"2009/2010",2010,120,120,100,77.8491456361478,863.254818136811,657
"2010/2011",2011,120,120,100,70.5392819865856,1331.98821268406,867
"2011/2012",2012,120,120,100,76.7564357630831,1632.49667087094,705
"2012/2013",2013,121,121,100,61.2147827601561,906.376038343402,1374
"2013/2014",2014,120,120,100,78.5233357533111,701.14427514124,680
"2014/2015",2015,120,120,100,64.7029269415825,583.348772086887,1115
"2015/2016",2016,120,120,100,75.9760329483888,722.576460963865,661
"2016/2017",2017,121,121,100,62.4024621414655,334.858612883203,1293
"2017/2018",2018,120,120,100,78.4120744746465,694.850705543511,612
"2018/2019",2019,120,120,100,81.4700079658769,1458.81858454936,383
"2019/2020",2020,120,120,100,70.8246994721526,410.757343709425,845
"2020/2021",2021,121,121,100,71.4327205349718,949.908675965511,1020
"2021/2022",2022,120,120,100,69.3401981822626,1004.19333958459,943
"2022/2023",2023,120,120,100,72.0178995146862,2551.89832288707,779
"2023/2024",2024,120,120,100,67.3892227888991,103.897661396775,1044
"2024/2025",2025,121,121,100,81.5803069308486,1436.22139231354,428
"2025/2026",2026,120,120,100,73.5595228701795,753.893755122153,774
"2026/2027",2027,120,120,100,56.7273635903621,254.948727841802,1466
"2027/2028",2028,120,120,100,85.5137751609445,1978.08069735195,433
"2028/2029",2029,121,121,100,56.2059861482221,150.547434397129,1383
"2029/2030",2030,120,120,100,72.9896460555256,1196.23943053834,817
"2030/2031",2031,120,120,100,53.5182144173732,730.645705621078,1597
"2031/2032",2032,120,120,100,55.526081703566,224.121941205827,1566
"2032/2033",2033,121,121,100,78.9677222806922,1312.12479398544,642
"2033/2034",2034,120,120,100,63.7072555248787,973.234601298042,1179
"2034/2035",2035,120,120,100,73.0108263222482,1802.18076389177,756
"2035/2036",2036,120,120,100,71.8500605412255,1459.66283806026,725
"2036/2037",2037,121,121,100,73.090040446471,605.593873978185,806
"2037/2038",2038,120,120,100,73.3454253005184,1501.06897371504,873
"2038/2039",2039,120,120,100,75.8313638106138,413.298716515463,470
"2039/2040",2040,120,120,100,73.8053354398289,1043.4100725194,814
"2040/2041",2041,121,121,100,74.9363604459359,709.272434939907,726
"2041/2042",2042,120,120,100,84.6794723446565,2219.65588418147,338
"2042/2043",2043,120,120,100,76.5033406997209,2448.71739227945,662
"2043/2044",2044,120,120,100,64.8333584773445,408.05713791278,1041
"2044/2045",2045,121,121,100,79.8753290330278,1163.25361559894,493
"2045/2046",2046,120,120,100,56.0272469751199,443.789584018523,1343
"2046/2047",2047,120,120,100,76.0824916836173,1112.78398676406,712
"2047/2048",2048,120,120,100,75.4889529150805,1429.04591889257,685
"2048/2049",2049,121,121,100,67.3771242673829,670.925982353132,947
"2049/2050",2050,120,120,100,69.3870814486963,189.091475465262,895
"2050/2051",2051,120,120,100,61.5825581156787,515.208229268173,1248
"2051/2052",2052,120,120,100,70.6744044552343,794.201546416705,911
"2052/2053",2053,121,121,100,86.0472512001652,1293.11661138968,454
"2053/2054",2054,120,120,100,78.5007455404284,982.913357281097,639
"2054/2055",2055,120,120,100,78.9697580734864,1049.61611065993,463
"2055/2056",2056,120,120,100,72.3480403015765,926.398693805095,602
"2056/2057",2057,121,121,100,79.7178524367428,2031.82459627138,549
"2057/2058",2058,120,120,100,66.4017498093508,1575.03300437841,926
"2058/2059",2059,120,120,100,71.2812015712516,336.279880688875,687
"2059/2060",2060,120,120,100,68.0875705961571,554.297522000736,974
"2060/2061",2061,121,121,100,64.7642132112851,430.212270396471,1012
"2061/2062",2062,120,120,100,85.3703502445442,1753.15761079549,386
"2062/2063",2063,120,120,100,66.8910358787962,537.803479660739,1114
"2063/2064",2064,120,120,100,67.3069896181296,1422.59984810546,865
"2064/2065",2065,121,121,100,72.218350404688,520.009156016196,735
"2065/2066",2066,120,120,100,68.202381733021,141.607245181833,874
"2066/2067",2067,120,120,100,67.5523704434363,809.111500649742,939
"2067/2068",2068,120,120,100,53.7802292330452,359.154738248151,1335
"2068/2069",2069,121,121,100,77.7438590017209,1540.19988297205,756
"2069/2070",2070,120,120,100,61.4270121326863,1193.25828885773,1209
"2070/2071",2071,120,120,100,62.513558865925,2303.73924957681,1117
"2071/2072",2072,120,120,100,83.3828254412947,2097.53159098487,370
"2072/2073",2073,121,121,100,66.8723244930025,557.442150610295,1182
"2073/2074",2074,120,120,100,82.5472877158973,718.831727365672,346
"2074/2075",2075,120,120,100,61.573566869054,725.796638827713,1080
"2075/2076",2076,120,120,100,68.1572276559855,1210.95557952172,981
"2076/2077",2077,121,121,100,74.7557858244127,1946.4845134356,652
"2077/2078",2078,120,120,100,68.301300383293,1536.35448062967,915
"2078/2079",2079,120,120,100,78.8477270640251,1500.37355368151,610
"2079/2080",2080,120,120,100,78.8997693217825,1198.42750443713,609
"2080/2081",2081,121,121,100,76.1062553260017,2979.09446117247,707
"2081/2082",2082,120,120,100,76.6106769922299,458.124876928254,751
"2082/2083",2083,120,120,100,74.7261567805399,1734.88919689335,766
"2083/2084",2084,120,120,100,69.1310619445721,421.684085678542,1012
"2084/2085",2085,121,121,100,73.7631481049139,985.434801439842,742
"2085/2086",2086,120,120,100,69.1885373265359,458.783317208145,798
"2086/2087",2087,120,120,100,74.0813711171468,1133.92645391892,761
"2087/2088",2088,120,120,100,73.9108202751995,674.941228389769,536
"2088/2089",2089,121,121,100,63.9943718325048,634.810173209466,1043
"2089/2090",2090,120,120,100,64.5615734404128,1175.98758538449,1097
"2090/2091",2091,120,120,100,70.4665318040425,1285.46262088322,880
"2091/2092",2092,120,120,100,76.9730356642212,597.817701468972,546
"2092/2093",2093,121,121,100,77.6459899180772,1137.43334745223,641
"2093/2094",2094,120,120,100,75.9078875218111,1956.15328673599,517
"2094/2095",2095,120,120,100,72.7980474481737,1127.8822935771,877
"2095/2096",2096,120,120,100,70.5586630462858,944.389168074005,1006
"2096/2097",2097,121,121,100,70.5978095525024,538.995459976722,994
"2097/2098",2098,120,120,100,70.2205543986602,968.676004121604,829
"2098/2099",2099,120,120,100,69.2269505980366,252.242062212492,966
"2099/2100",2100,120,120,100,76.6021592079924,1595.78689199599,843
