"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,75.1580051264577,1257.96087263772,848
"2002/2003",2003,120,120,100,73.4842069239251,705.987059520528,705
"2003/2004",2004,120,120,100,56.4440110567486,165.383060616907,1150
"2004/2005",2005,121,121,100,55.7886264347075,505.245851767447,1302
"2005/2006",2006,120,120,100,65.5026010118052,931.419427260518,1035
"2006/2007",2007,120,120,100,52.2686758614955,163.224739350439,1621
"2007/2008",2008,120,120,100,74.4933130788356,690.259521449858,588
"2008/2009",2009,121,121,100,51.3507274889962,365.343663603253,1735
"2009/2010",2010,120,120,100,74.9266904878718,627.316696681792,734
"2010/2011",2011,120,120,100,67.0899076215974,1352.89759999986,989
"2011/2012",2012,120,120,100,75.127880506021,1370.62851223184,784
"2012/2013",2013,121,121,100,58.5388971371062,646.02431356084,1423
"2013/2014",2014,120,120,100,76.1234747252283,539.816898810048,818
"2014/2015",2015,120,120,100,61.8385379951173,428.26442326064,1221
"2015/2016",2016,120,120,100,72.5106136052282,536.383929482687,754
"2016/2017",2017,121,121,100,57.8644640316243,195.270443731566,1434
"2017/2018",2018,120,120,100,75.8353348324163,588.68434601467,707
"2018/2019",2019,120,120,100,79.1826352133967,1111.16462042067,423
"2019/2020",2020,120,120,100,65.9278572868775,349.544452430051,1035
"2020/2021",2021,121,121,100,69.4098294972605,674.544107294991,1062
"2021/2022",2022,120,120,100,66.2549052813965,813.261524135385,996
"2022/2023",2023,120,120,100,70.4700153227486,2098.77851685609,855
"2023/2024",2024,120,120,100,64.2868815936718,35.9655006947942,1136
"2024/2025",2025,121,121,100,76.7683060580321,1327.26750953414,509
"2025/2026",2026,120,120,100,70.2136688772243,595.021802195595,859
"2026/2027",2027,120,120,100,53.1355065983398,229.734003261503,1620
"2027/2028",2028,120,120,100,83.3299933841135,1789.62584643754,587
"2028/2029",2029,121,121,100,52.8416522688012,62.5891484796375,1483
"2029/2030",2030,120,120,100,70.9372920180967,860.178791350234,920
"2030/2031",2031,120,120,100,51.2128196303192,594.905968832565,1684
"2031/2032",2032,120,120,100,53.4813977472577,167.219764905152,1654
"2032/2033",2033,121,121,100,75.6735614631016,1105.96525941641,719
"2033/2034",2034,120,120,100,60.7465138265798,899.992288627698,1356
"2034/2035",2035,120,120,100,70.9449988414653,1431.71037406776,894
"2035/2036",2036,120,120,100,68.6027454624573,1139.10535168266,872
"2036/2037",2037,121,121,100,69.858705735217,451.588347744211,932
"2037/2038",2038,120,120,100,71.4062146760261,1213.84299424985,946
"2038/2039",2039,120,120,100,71.7806319350366,303.465040000534,600
"2039/2040",2040,120,120,100,71.1055810909475,1000.71079507204,963
"2040/2041",2041,121,121,100,69.8123331892439,595.80989604014,951
"2041/2042",2042,120,120,100,81.7192647760476,2012.1043888041,389
"2042/2043",2043,120,120,100,74.5323910917305,1844.60254724685,713
"2043/2044",2044,120,120,100,60.1042558338049,384.307331622229,1203
"2044/2045",2045,121,121,100,77.076714261073,940.8580021956,590
"2045/2046",2046,120,120,100,51.2593758548028,404.022883322075,1450
"2046/2047",2047,120,120,100,72.4829629701326,921.93825270547,760
"2047/2048",2048,120,120,100,73.1398316418508,1259.49923088771,820
"2048/2049",2049,121,121,100,64.8619508166885,560.835668396656,1055
"2049/2050",2050,120,120,100,63.8994286422858,136.97304604917,1045
"2050/2051",2051,120,120,100,57.4797770359601,379.589607758302,1390
"2051/2052",2052,120,120,100,67.0308319666638,693.62065587395,1050
"2052/2053",2053,121,121,100,82.9758998455563,1087.27095986046,510
"2053/2054",2054,120,120,100,76.6967807072215,819.65995615779,663
"2054/2055",2055,120,120,100,75.972221420614,866.033338611407,573
"2055/2056",2056,120,120,100,69.5532303182572,704.700843600571,714
"2056/2057",2057,121,121,100,76.5822059469792,1671.05296461866,625
"2057/2058",2058,120,120,100,64.7768848519063,1300.89945158997,981
"2058/2059",2059,120,120,100,68.0179099759698,263.214340467151,835
