"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,76.7480533542661,1298.61860376999,723
"2002/2003",2003,120,120,100,74.3927745675167,1055.93128004333,671
"2003/2004",2004,120,120,100,61.1699210433139,209.775790481515,1055
"2004/2005",2005,121,121,100,60.3075085001933,552.793051003602,1201
"2005/2006",2006,120,120,100,69.843829882212,861.22926911059,850
"2006/2007",2007,120,120,100,54.1938052075166,210.57784993442,1437
"2007/2008",2008,120,120,100,78.1465651342126,717.712814542931,442
"2008/2009",2009,121,121,100,55.4897577649376,359.950957170513,1593
"2009/2010",2010,120,120,100,76.5891503819453,653.01420721156,630
"2010/2011",2011,120,120,100,71.0028024185231,1388.81607653508,850
"2011/2012",2012,120,120,100,76.7380203877228,1409.90148818145,732
"2012/2013",2013,121,121,100,60.2898365759102,814.071864277088,1288
"2013/2014",2014,120,120,100,77.1006848589982,676.476470738708,764
"2014/2015",2015,120,120,100,64.9051086663299,529.31802142824,1110
"2015/2016",2016,120,120,100,75.3731331778572,790.395253665643,642
"2016/2017",2017,121,121,100,60.5824588609394,299.351702601409,1326
"2017/2018",2018,120,120,100,78.8574597032957,624.902615042316,563
"2018/2019",2019,120,120,100,81.9010873861871,1237.93819550857,351
"2019/2020",2020,120,120,100,70.287149106287,371.032130147076,876
"2020/2021",2021,121,121,100,70.1615717189579,850.216316921709,978
"2021/2022",2022,120,120,100,69.761357361378,761.189500928915,894
"2022/2023",2023,120,120,100,73.1390480126493,2256.63841903151,802
"2023/2024",2024,120,120,100,66.6514873237484,100.226189027948,945
"2024/2025",2025,121,121,100,80.3224591550406,1645.90355191269,351
"2025/2026",2026,120,120,100,75.3200257493099,783.110214443164,740
"2026/2027",2027,120,120,100,54.8374264388685,409.356760081224,1496
"2027/2028",2028,120,120,100,85.36191197886,2085.52208224444,515
"2028/2029",2029,121,121,100,57.2600510428265,70.1908507560875,1311
"2029/2030",2030,120,120,100,71.6406397086203,1266.36717903493,862
"2030/2031",2031,120,120,100,51.353372354024,788.732809867666,1592
"2031/2032",2032,120,120,100,56.8367044071747,162.971140216003,1387
"2032/2033",2033,121,121,100,79.735760404722,1109.79118272994,503
"2033/2034",2034,120,120,100,63.6345570880831,861.83364985956,1160
"2034/2035",2035,120,120,100,73.7358635858063,1546.8422513808,733
"2035/2036",2036,120,120,100,70.3269646266936,1452.20105432272,761
"2036/2037",2037,121,121,100,72.0404699399251,639.12247809174,848
"2037/2038",2038,120,120,100,73.6518674788313,1270.32195726842,815
"2038/2039",2039,120,120,100,74.7595416604217,335.110672046809,541
"2039/2040",2040,120,120,100,73.9409551709232,1091.01097752267,818
"2040/2041",2041,121,121,100,73.1415729319742,771.46824416978,818
"2041/2042",2042,120,120,100,84.7385284609518,2206.36669772255,318
"2042/2043",2043,120,120,100,77.6677839279891,1891.86169774525,659
"2043/2044",2044,120,120,100,66.0244052076778,409.818263939553,1137
"2044/2045",2045,121,121,100,79.6221157262153,1000.28220142325,411
"2045/2046",2046,120,120,100,57.2182120752277,380.516068431258,1371
"2046/2047",2047,120,120,100,75.9002535473974,943.722388586757,604
"2047/2048",2048,120,120,100,74.8215557425101,1456.05305952305,678
"2048/2049",2049,121,121,100,67.2788272351554,591.139918076748,895
"2049/2050",2050,120,120,100,66.2998849606065,177.387859172566,961
"2050/2051",2051,120,120,100,62.7399258096757,363.827577852266,1156
"2051/2052",2052,120,120,100,69.1356774608976,1016.98309358087,930
"2052/2053",2053,121,121,100,83.5561747991032,1522.8072848368,422
"2053/2054",2054,120,120,100,77.3548162554562,1053.02072442719,662
"2054/2055",2055,120,120,100,80.3220232989243,883.504789454717,461
"2055/2056",2056,120,120,100,74.3381433250033,728.905343387887,569
"2056/2057",2057,121,121,100,78.1834879412436,1997.63556742182,572
"2057/2058",2058,120,120,100,66.8725549180781,1366.25202179662,895
"2058/2059",2059,120,120,100,72.6351848915765,304.55271376748,649
"2059/2060",2060,120,120,100,67.5135142465824,488.099339582812,932
"2060/2061",2061,121,121,100,62.491804854857,598.634712953994,1041
