"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,80.7148386630833,1899.29106317664,602
"2002/2003",2003,120,120,100,78.9560140870547,1649.31516445505,559
"2003/2004",2004,120,120,100,68.6002565126366,447.330375060043,937
"2004/2005",2005,121,121,100,66.256932958837,857.86696491944,1051
"2005/2006",2006,120,120,100,75.3140240792825,1246.28716346343,621
"2006/2007",2007,120,120,100,60.3617966236654,452.022195886766,1288
"2007/2008",2008,120,120,100,84.0344946015623,1057.8182143322,230
"2008/2009",2009,121,121,100,60.382502473564,548.796532571985,1344
"2009/2010",2010,120,120,100,80.7885441479489,1142.47291140502,489
"2010/2011",2011,120,120,100,74.6155028819921,2001.35943939083,656
"2011/2012",2012,120,120,100,79.7101096396418,1921.41296846146,585
"2012/2013",2013,121,121,100,64.646314080564,1239.17541337159,1045
"2013/2014",2014,120,120,100,80.8133931096986,1133.59591461658,619
"2014/2015",2015,120,120,100,71.2887779595053,914.812686032215,894
"2015/2016",2016,120,120,100,79.554268306631,1284.87409014981,569
"2016/2017",2017,121,121,100,67.2689735895037,615.211184706532,1056
"2017/2018",2018,120,120,100,83.7495134315668,1048.92366889704,424
"2018/2019",2019,120,120,100,86.1415878978232,2019.17257254219,243
"2019/2020",2020,120,120,100,75.372928990113,627.618115565478,653
"2020/2021",2021,121,121,100,74.4972178104545,1323.10133725974,857
"2021/2022",2022,120,120,100,73.067433273508,1145.51926722629,823
"2022/2023",2023,120,120,100,77.8234286551642,2720.71497151584,619
"2023/2024",2024,120,120,100,73.1015723650271,220.406923147908,764
"2024/2025",2025,121,121,100,85.1925186887447,2159.86812321878,181
"2025/2026",2026,120,120,100,78.5100321135369,1347.49974342652,613
"2026/2027",2027,120,120,100,62.9387484794333,534.451084662433,1184
"2027/2028",2028,120,120,100,87.3909849099055,3094.04354904532,426
"2028/2029",2029,121,121,100,64.9171923578351,190.392058774698,1100
"2029/2030",2030,120,120,100,76.3411693399084,1881.96243750534,726
"2030/2031",2031,120,120,100,54.7123541794517,1166.65114265929,1421
"2031/2032",2032,120,120,100,62.3562561375111,335.626290282395,1088
"2032/2033",2033,121,121,100,84.3264020694396,1691.80132025608,411
