"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,75.4121933467573,2397.30388772701,771
"2002/2003",2003,120,120,100,77.2121348680152,1195.395186189,511
"2003/2004",2004,120,120,100,64.9242509789052,465.876188410066,888
"2004/2005",2005,121,121,100,63.1333586706506,852.849449447865,1051
"2005/2006",2006,120,120,100,71.4842949768383,1780.78418852506,688
"2006/2007",2007,120,120,100,55.2898188675449,368.908411298336,1334
"2007/2008",2008,120,120,100,81.7386351896391,1360.47980951106,294
"2008/2009",2009,121,121,100,57.6874484184289,377.896959264352,1436
"2009/2010",2010,120,120,100,79.7133977424987,1217.08845762054,518
"2010/2011",2011,120,120,100,74.313288682949,1403.26479603208,584
"2011/2012",2012,120,120,100,78.192849210267,2212.69187632426,614
"2012/2013",2013,121,121,100,63.3075158586676,1277.99160851145,1188
"2013/2014",2014,120,120,100,79.6583597689282,1007.62343955704,540
"2014/2015",2015,120,120,100,66.9689101928748,789.999761983527,977
"2015/2016",2016,120,120,100,78.257358739329,1002.95834617132,537
"2016/2017",2017,121,121,100,65.8627316765392,557.427171371914,1083
"2017/2018",2018,120,120,100,80.7219310537948,891.248669874498,468
"2018/2019",2019,120,120,100,82.1781855605645,2119.30203455389,362
"2019/2020",2020,120,120,100,73.4156636765347,560.164606170765,737
"2020/2021",2021,121,121,100,70.5261912533424,1475.02917637214,916
"2021/2022",2022,120,120,100,70.4487583539985,1452.41846129809,848
"2022/2023",2023,120,120,100,70.9420123043928,3349.76158747032,686
"2023/2024",2024,120,120,100,70.7137813268828,328.898543271163,837
"2024/2025",2025,121,121,100,84.4867468352195,1775.95584785174,282
"2025/2026",2026,120,120,100,77.3972826935478,992.239255921872,625
"2026/2027",2027,120,120,100,58.6521534279473,341.444698248859,1321
"2027/2028",2028,120,120,100,88.5677763315716,2297.43428405424,282
"2028/2029",2029,121,121,100,60.5119226156967,391.660846284925,1331
"2029/2030",2030,120,120,100,74.819825336428,1677.42723726359,649
"2030/2031",2031,120,120,100,57.2594865918309,807.532968952422,1389
"2031/2032",2032,120,120,100,57.942345766458,255.613812113501,1225
"2032/2033",2033,121,121,100,80.4209178350275,1834.68661899249,546
"2033/2034",2034,120,120,100,67.2333162815703,1141.78517979439,1077
"2034/2035",2035,120,120,100,73.2902750082576,2460.97651733641,666
"2035/2036",2036,120,120,100,73.4056295184764,1896.46803411504,649
"2036/2037",2037,121,121,100,77.7369477267484,849.80430252463,621
"2037/2038",2038,120,120,100,72.8450481355685,2085.81036512334,815
"2038/2039",2039,120,120,100,79.1264072040485,669.583122370241,423
"2039/2040",2040,120,120,100,76.9023262560968,1151.72021430808,703
"2040/2041",2041,121,121,100,79.5291356551807,942.580358617444,569
"2041/2042",2042,120,120,100,87.5807646423727,2551.93142325932,269
"2042/2043",2043,120,120,100,74.3480416451039,3446.96729028737,581
"2043/2044",2044,120,120,100,71.4184653077864,415.296961094893,793
"2044/2045",2045,121,121,100,82.8822441460925,1473.65013865795,321
"2045/2046",2046,120,120,100,60.3080452579725,494.759911919333,1154
"2046/2047",2047,120,120,100,76.8616866557823,1512.11271147427,659
"2047/2048",2048,120,120,100,78.3904247128867,1767.01027912452,481
"2048/2049",2049,121,121,100,70.2894787440728,975.976636075124,831
"2049/2050",2050,120,120,100,71.9354231069156,295.294817917544,701
"2050/2051",2051,120,120,100,65.3281068129927,747.882125594537,1061
"2051/2052",2052,120,120,100,73.3189350475895,896.375506357319,715
"2052/2053",2053,121,121,100,87.9215848662225,1697.28320775821,368
"2053/2054",2054,120,120,100,79.1826486863629,1234.48851021653,577
