"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,75.885341597526,1351.23156070827,849
"2002/2003",2003,120,120,100,72.506305640084,965.613979391262,731
"2003/2004",2004,120,120,100,60.54068835078,215.521715620689,1085
"2004/2005",2005,121,121,100,58.6144983721158,468.184477006866,1258
"2005/2006",2006,120,120,100,68.9238680618539,852.106839747401,805
"2006/2007",2007,120,120,100,53.6142221072478,173.242744045503,1444
"2007/2008",2008,120,120,100,77.8429587619207,687.134926613404,401
"2008/2009",2009,121,121,100,54.6775929992209,233.310157948585,1604
"2009/2010",2010,120,120,100,77.2301216456156,601.232885861253,634
"2010/2011",2011,120,120,100,70.7114056415628,1059.91834786949,820
"2011/2012",2012,120,120,100,76.1485204198689,1262.3760725487,738
"2012/2013",2013,121,121,100,59.7783838401683,837.079745233805,1349
"2013/2014",2014,120,120,100,77.2293935710177,591.789397133027,767
"2014/2015",2015,120,120,100,64.2278143489693,520.370669692642,1213
"2015/2016",2016,120,120,100,73.9212745955074,711.356132316971,694
"2016/2017",2017,121,121,100,60.631936652188,352.290766569891,1395
"2017/2018",2018,120,120,100,77.6955825855284,500.417370461735,551
"2018/2019",2019,120,120,100,80.3294698224654,1253.62745153192,388
"2019/2020",2020,120,120,100,68.5996979911324,285.303125278231,895
"2020/2021",2021,121,121,100,66.9333661777819,814.430527646844,985
"2021/2022",2022,120,120,100,69.0441305076638,731.611638191949,951
"2022/2023",2023,120,120,100,73.234348402475,2167.86673103975,819
"2023/2024",2024,120,120,100,65.9138570013911,76.082007539364,971
"2024/2025",2025,121,121,100,79.7884858074376,1327.30686147807,358
"2025/2026",2026,120,120,100,72.3223378072789,755.060173406411,791
"2026/2027",2027,120,120,100,53.53278049247,281.652732294155,1491
"2027/2028",2028,120,120,100,86.0282592459462,1711.49638175729,476
"2028/2029",2029,121,121,100,55.7717569453253,102.756800145573,1392
"2029/2030",2030,120,120,100,70.2812366387061,1355.20249302965,919
"2030/2031",2031,120,120,100,51.8414624652842,710.764931192105,1604
"2031/2032",2032,120,120,100,53.9215206291165,93.9285523631042,1455
"2032/2033",2033,121,121,100,78.8117295190559,983.006054721409,567
"2033/2034",2034,120,120,100,63.5326782931843,721.15729136279,1154
"2034/2035",2035,120,120,100,71.9658100648039,1569.22920834899,715
"2035/2036",2036,120,120,100,69.7289888530659,1508.31386710399,797
"2036/2037",2037,121,121,100,70.105213328261,554.095853607621,874
"2037/2038",2038,120,120,100,73.9454826217816,1191.48836031313,866
"2038/2039",2039,120,120,100,73.8609097863309,287.499779923237,580
"2039/2040",2040,120,120,100,72.4218454653237,817.068008570917,811
"2040/2041",2041,121,121,100,74.6648554993972,557.066361061807,765
"2041/2042",2042,120,120,100,84.2272538063226,1894.30485114199,315
"2042/2043",2043,120,120,100,76.649633429086,2045.84299891282,743
"2043/2044",2044,120,120,100,64.7103213957635,326.376417002437,1099
"2044/2045",2045,121,121,100,79.7881616547256,921.749484082466,419
"2045/2046",2046,120,120,100,56.7296300682465,287.623892505624,1367
"2046/2047",2047,120,120,100,74.6702573847342,872.746671503803,674
"2047/2048",2048,120,120,100,73.9056237605055,1274.3883421807,662
"2048/2049",2049,121,121,100,67.1463028681737,536.91435237226,904
"2049/2050",2050,120,120,100,65.9344303230228,155.033862928234,960
"2050/2051",2051,120,120,100,61.2947765166591,347.755096239751,1195
"2051/2052",2052,120,120,100,68.8183919647472,870.632899800272,947
"2052/2053",2053,121,121,100,84.5926653120368,1286.44974043396,431
"2053/2054",2054,120,120,100,77.3101263307854,802.497755732082,656
"2054/2055",2055,120,120,100,78.7010330282083,818.420482894726,466
"2055/2056",2056,120,120,100,71.4567114039291,778.4584086166,585
"2056/2057",2057,121,121,100,77.7807191550473,1765.25240350186,560
"2057/2058",2058,120,120,100,66.5579251409308,1291.81633832355,926
"2058/2059",2059,120,120,100,71.3183578240878,217.661250879362,721
"2059/2060",2060,120,120,100,67.0366725229869,355.987234198663,931
"2060/2061",2061,121,121,100,60.3287447328785,534.853962064517,1121
"2061/2062",2062,120,120,100,85.3589646345645,1391.17535332075,416
"2062/2063",2063,120,120,100,67.1313412845284,379.897397368593,1105
"2063/2064",2064,120,120,100,68.4497650203139,1243.71562815801,853
"2064/2065",2065,121,121,100,71.1012112223161,359.294348521536,795
"2065/2066",2066,120,120,100,63.1821076892866,106.91119452304,921
"2066/2067",2067,120,120,100,66.8859726163046,643.844796443882,996
"2067/2068",2068,120,120,100,53.8196901428328,310.444492197945,1280
"2068/2069",2069,121,121,100,76.9366635262359,1313.93080258463,873
"2069/2070",2070,120,120,100,61.6739693699146,880.895531404385,1215
"2070/2071",2071,120,120,100,64.8520781740899,2011.33606474855,1042
"2071/2072",2072,120,120,100,83.4527354307429,1519.87796881254,364
"2072/2073",2073,121,121,100,63.9527057760679,333.612034689577,1285
"2073/2074",2074,120,120,100,82.9391486872773,472.917101684725,335
"2074/2075",2075,120,120,100,61.870248412577,526.462152526685,1183
"2075/2076",2076,120,120,100,67.3448498804682,966.915826555953,912
"2076/2077",2077,121,121,100,74.187664391362,1652.59343230995,586
"2077/2078",2078,120,120,100,69.3194297965601,1126.89493256676,939
"2078/2079",2079,120,120,100,80.0303776637629,1085.63006145929,554
"2079/2080",2080,120,120,100,78.34325181842,1180.84475692187,680
"2080/2081",2081,121,121,100,77.3775318909247,2258.35851578502,629
"2081/2082",2082,120,120,100,74.8100476275067,453.799338888784,880
"2082/2083",2083,120,120,100,71.8078655507961,1819.67720764806,832
"2083/2084",2084,120,120,100,67.3336477113698,448.190863235854,1127
"2084/2085",2085,121,121,100,73.4551900441365,696.267120243545,713
"2085/2086",2086,120,120,100,69.4882517391743,300.02303586973,813
"2086/2087",2087,120,120,100,74.3412303559926,889.909012159711,822
"2087/2088",2088,120,120,100,72.8883636501196,480.322656600503,526
"2088/2089",2089,121,121,100,61.9328034488535,547.805116377713,1136
"2089/2090",2090,120,120,100,63.4122637631663,1070.2011859671,1178
"2090/2091",2091,120,120,100,70.9576034459351,1070.67716364606,744
"2091/2092",2092,120,120,100,73.8414156166546,565.059263338946,606
"2092/2093",2093,121,121,100,76.6365802361361,965.652246638201,709
"2093/2094",2094,120,120,100,75.9826744195561,1461.00710094941,501
"2094/2095",2095,120,120,100,71.8902609817997,1159.97023460519,958
"2095/2096",2096,120,120,100,69.1116849829959,825.910577776493,1003
"2096/2097",2097,121,121,100,68.9963632032195,400.413336662983,990
"2097/2098",2098,120,120,100,69.0084033569874,947.133378698229,882
"2098/2099",2099,120,120,100,66.1031671818237,293.472434683645,1033
"2099/2100",2100,120,120,100,76.636571276249,1358.63156425144,847
