"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,71.8524646257411,1496.01805629194,943
"2002/2003",2003,120,120,100,72.3144819788655,674.76765857283,723
"2003/2004",2004,120,120,100,55.8728177205829,208.25763530388,1112
"2004/2005",2005,121,121,100,55.6837522591605,492.360892164388,1229
"2005/2006",2006,120,120,100,66.9150359127848,1155.63438542445,985
"2006/2007",2007,120,120,100,50.2972548957509,131.488624941219,1594
"2007/2008",2008,120,120,100,74.941532823512,830.481961270843,492
"2008/2009",2009,121,121,100,50.9665525169517,210.800571579341,1727
"2009/2010",2010,120,120,100,74.730940681449,644.122141242817,706
"2010/2011",2011,120,120,100,68.9407589613977,878.23309690856,903
"2011/2012",2012,120,120,100,74.032728765806,1462.23333761269,762
"2012/2013",2013,121,121,100,58.6264236467969,799.537707141782,1438
"2013/2014",2014,120,120,100,75.740726168825,533.860664322907,768
"2014/2015",2015,120,120,100,62.3201973898026,403.434702748407,1212
"2015/2016",2016,120,120,100,72.9722190276952,553.572312188197,736
"2016/2017",2017,121,121,100,59.439387442827,221.547839336308,1406
"2017/2018",2018,120,120,100,75.4640197824078,487.152462729675,645
"2018/2019",2019,120,120,100,79.5848277534496,1143.14681806239,425
"2019/2020",2020,120,120,100,66.8014631581841,308.048667045514,989
"2020/2021",2021,121,121,100,66.5664382673704,835.894632348645,1056
"2021/2022",2022,120,120,100,66.7735076100907,885.312972059757,977
"2022/2023",2023,120,120,100,67.0829965369558,2610.95867219027,894
"2023/2024",2024,120,120,100,63.9889521078258,92.4818093981448,1112
"2024/2025",2025,121,121,100,78.4553313153256,1244.52229071507,494
"2025/2026",2026,120,120,100,72.0716482131893,496.304866328617,780
"2026/2027",2027,120,120,100,50.184910081166,236.787559558259,1600
"2027/2028",2028,120,120,100,84.6186551388801,1413.31490396264,474
"2028/2029",2029,121,121,100,52.5611254473033,116.021399843456,1525
"2029/2030",2030,120,120,100,69.8196859977907,1013.92426706736,915
"2030/2031",2031,120,120,100,50.3561063774669,548.029723010433,1663
"2031/2032",2032,120,120,100,51.7616306494137,108.913054266115,1655
"2032/2033",2033,121,121,100,76.9148679571863,1055.78061383263,699
"2033/2034",2034,120,120,100,61.1822744714464,752.16917153509,1276
"2034/2035",2035,120,120,100,69.3734568508589,1670.81367307955,852
"2035/2036",2036,120,120,100,69.914724922558,1175.66220948871,780
"2036/2037",2037,121,121,100,69.9742101358615,463.759168526405,875
"2037/2038",2038,120,120,100,70.3331332953558,1396.75024267087,959
"2038/2039",2039,120,120,100,72.4919821476533,299.010746631116,572
"2039/2040",2040,120,120,100,72.9258374030233,686.033348745419,873
"2040/2041",2041,121,121,100,70.2246068291515,608.989997935991,876
"2041/2042",2042,120,120,100,83.7500193208198,1583.35061639651,329
"2042/2043",2043,120,120,100,73.7864037590025,2224.36360761427,782
"2043/2044",2044,120,120,100,62.4730066643515,214.706315479722,1107
"2044/2045",2045,121,121,100,78.5909631468294,795.557352395132,525
"2045/2046",2046,120,120,100,52.4876885749381,301.063652999379,1451
"2046/2047",2047,120,120,100,73.3900429758505,878.604026551518,761
"2047/2048",2048,120,120,100,73.2637291599603,1183.62008242162,785
"2048/2049",2049,121,121,100,65.8771921920143,507.275279192661,962
"2049/2050",2050,120,120,100,65.1145910576324,113.38621965643,991
"2050/2051",2051,120,120,100,58.951602279054,435.021633681477,1297
"2051/2052",2052,120,120,100,67.1247783784329,586.747693566023,948
"2052/2053",2053,121,121,100,84.0509598709996,1089.44654880004,509
"2053/2054",2054,120,120,100,76.2600961633634,766.652970707335,647
"2054/2055",2055,120,120,100,76.2430865718197,932.440076811239,535
"2055/2056",2056,120,120,100,67.8505798266397,828.025623783964,632
"2056/2057",2057,121,121,100,75.5994011965613,1819.04892564207,621
"2057/2058",2058,120,120,100,61.4665382988969,1623.84783362423,1019
"2058/2059",2059,120,120,100,68.4782847022543,237.053048323927,775
"2059/2060",2060,120,120,100,65.7955352351928,405.927298017836,980
"2060/2061",2061,121,121,100,60.109308149069,359.27153755282,1118
"2061/2062",2062,120,120,100,83.5603919721889,1367.04306253759,435
"2062/2063",2063,120,120,100,66.4439457317949,473.789545094594,1162
"2063/2064",2064,120,120,100,62.8725288760907,1332.46133857762,979
"2064/2065",2065,121,121,100,68.6183383978532,448.83183363243,822
"2065/2066",2066,120,120,100,65.5918613393551,85.7572062609543,962
"2066/2067",2067,120,120,100,64.1958034334184,584.344126199925,1058
"2067/2068",2068,120,120,100,52.2402196705734,306.205542077951,1387
"2068/2069",2069,121,121,100,74.2439219575863,1480.14703634425,872
"2069/2070",2070,120,120,100,56.2099088380528,1034.15998836205,1258
"2070/2071",2071,120,120,100,60.9354076147156,1952.79322571153,1162
"2071/2072",2072,120,120,100,80.0615459688706,1910.17030011976,439
"2072/2073",2073,121,121,100,62.6992709902443,398.43864443159,1255
"2073/2074",2074,120,120,100,80.0047045010506,505.207811653352,366
"2074/2075",2075,120,120,100,58.727647652051,651.676164814824,1185
"2075/2076",2076,120,120,100,65.2244772291688,1069.19272910978,1031
"2076/2077",2077,121,121,100,70.52289842955,1909.33769493952,728
"2077/2078",2078,120,120,100,65.2014915713171,1408.86264453037,1004
"2078/2079",2079,120,120,100,76.6373190621634,1308.97383983491,659
"2079/2080",2080,120,120,100,77.0625178045411,951.94209407724,685
"2080/2081",2081,121,121,100,73.4948379932539,2558.46832665423,739
"2081/2082",2082,120,120,100,73.3538534299514,361.273293898354,857
"2082/2083",2083,120,120,100,71.1569467757399,1453.67490675594,834
"2083/2084",2084,120,120,100,66.8860849647099,271.483302540961,1082
"2084/2085",2085,121,121,100,72.1152058301595,654.472906975076,806
"2085/2086",2086,120,120,100,64.3231389215653,357.577407734585,864
"2086/2087",2087,120,120,100,71.9436285560114,1008.6651894458,830
"2087/2088",2088,120,120,100,70.4996947777945,619.851685809263,670
"2088/2089",2089,121,121,100,59.0686543851152,531.125119434699,1163
"2089/2090",2090,120,120,100,61.3944134452177,944.72059427292,1148
"2090/2091",2091,120,120,100,68.2974139558537,1056.76486397811,1020
"2091/2092",2092,120,120,100,72.6742041336765,409.209213553491,668
"2092/2093",2093,121,121,100,74.1635181564889,974.922825246205,743
"2093/2094",2094,120,120,100,71.9542303392154,1853.60702012968,636
"2094/2095",2095,120,120,100,71.0744168908277,868.073088200821,994
"2095/2096",2096,120,120,100,66.9833667276143,751.355182615691,1103
"2096/2097",2097,121,121,100,68.6211047726065,332.533363374969,1029
"2097/2098",2098,120,120,100,67.7929331695232,777.135009395046,886
"2098/2099",2099,120,120,100,66.6113236921556,191.013846086105,1039
"2099/2100",2100,120,120,100,75.076284851275,1123.07557382219,861
