"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,79.4454441987191,3316.24557218675,532
"2002/2003",2003,120,120,100,84.8649681267889,2112.05580396339,312
"2003/2004",2004,120,120,100,75.0300846199605,946.095096271009,706
"2004/2005",2005,121,121,100,72.0797595945613,1503.59570387471,742
"2005/2006",2006,120,120,100,76.6616590319563,2584.06895607866,455
"2006/2007",2007,120,120,100,63.8689434963119,886.309391887109,1086
"2007/2008",2008,120,120,100,87.7374401371849,2146.84350909508,114
"2008/2009",2009,121,121,100,64.8400141885622,1017.03258837088,1133
"2009/2010",2010,120,120,100,83.1120832152765,2273.49270023171,388
"2010/2011",2011,120,120,100,78.6969437735061,2986.19080690765,394
"2011/2012",2012,120,120,100,81.773392136306,3354.06897521915,481
"2012/2013",2013,121,121,100,71.1100701983532,1910.31542476668,913
"2013/2014",2014,120,120,100,84.8467609872678,1865.69534780759,412
"2014/2015",2015,120,120,100,75.8258908788639,1420.91283341697,726
"2015/2016",2016,120,120,100,83.6302760111471,1904.38424420478,355
"2016/2017",2017,121,121,100,75.2463288365934,1003.22101507091,751
"2017/2018",2018,120,120,100,86.3326065406009,1939.18575621473,326
"2018/2019",2019,120,120,100,87.1596634177749,3370.20305197239,208
"2019/2020",2020,120,120,100,81.1559324819445,1248.32808407313,525
"2020/2021",2021,121,121,100,78.1500602748947,2262.35541884674,728
"2021/2022",2022,120,120,100,74.5758974268065,2362.13464771566,666
"2022/2023",2023,120,120,100,75.8583720562983,4140.24215878846,523
"2023/2024",2024,120,120,100,77.6702172611331,675.628792832955,583
"2024/2025",2025,121,121,100,88.9947975452833,3082.98432792927,127
"2025/2026",2026,120,120,100,81.6513847823135,1930.83761868798,428
"2026/2027",2027,120,120,100,68.0713499418571,702.21202120703,1041
"2027/2028",2028,120,120,100,88.4867141901577,4415.42466780372,205
"2028/2029",2029,121,121,100,69.4995113529731,689.467344192904,1001
"2029/2030",2030,120,120,100,82.7630852352531,2366.18244107711,464
"2030/2031",2031,120,120,100,64.4096007174285,1455.32716458914,1090
"2031/2032",2032,120,120,100,69.4419361944556,756.92800321008,777
"2032/2033",2033,121,121,100,85.4668829061629,3088.14051217827,328
"2033/2034",2034,120,120,100,70.5955621866469,2082.87097891027,875
"2034/2035",2035,120,120,100,78.9183154635211,3347.25724722279,391
"2035/2036",2036,120,120,100,80.5212937223514,2804.98637033318,385
"2036/2037",2037,121,121,100,84.1594232921052,1650.87312413121,374
"2037/2038",2038,120,120,100,78.142011306707,2987.74147538797,621
"2038/2039",2039,120,120,100,86.8573412498736,1364.5505152581,242
"2039/2040",2040,120,120,100,81.1104408267256,2492.050220242,457
"2040/2041",2041,121,121,100,84.9588126132476,1848.11374814378,357
"2041/2042",2042,120,120,100,86.8128563076407,4735.56737904687,228
"2042/2043",2043,120,120,100,79.2273148974728,4453.82673980074,427
"2043/2044",2044,120,120,100,78.7608717746989,1151.21216281748,585
"2044/2045",2045,121,121,100,86.9997562092885,2807.24978058308,210
"2045/2046",2046,120,120,100,68.2999733062661,1136.91817831266,927
"2046/2047",2047,120,120,100,81.7458125754092,2551.4281282982,446
"2047/2048",2048,120,120,100,83.2772455046761,2985.31585992937,315
"2048/2049",2049,121,121,100,75.1762129924446,1773.10466947919,695
"2049/2050",2050,120,120,100,80.5438519833824,813.885300140304,475
"2050/2051",2051,120,120,100,73.1299726824291,1325.96620273835,714
"2051/2052",2052,120,120,100,78.5633551209303,1777.84239980683,543
"2052/2053",2053,121,121,100,90.6762891030903,3013.08143371885,244
"2053/2054",2054,120,120,100,82.7238499572886,2520.44137971266,500
"2054/2055",2055,120,120,100,84.872708176892,2395.54964721395,159
"2055/2056",2056,120,120,100,82.1616436656695,1988.55694770836,349
"2056/2057",2057,121,121,100,84.5452729469871,3883.11934097559,280
"2057/2058",2058,120,120,100,74.9351659719396,2724.22204578755,589
"2058/2059",2059,120,120,100,83.2230615957214,1102.45236552978,354
"2059/2060",2060,120,120,100,77.7024491715638,1381.22375285276,618
"2060/2061",2061,121,121,100,79.3000801866729,1097.4750282428,571
"2061/2062",2062,120,120,100,89.3170582579096,3969.12386457605,245
"2062/2063",2063,120,120,100,75.1230721295524,1509.11947816244,777
"2063/2064",2064,120,120,100,77.9253826780241,2858.9352461035,589
"2064/2065",2065,121,121,100,82.3951603645146,1439.04438945121,448
"2065/2066",2066,120,120,100,79.5822491815306,754.80388351687,480
"2066/2067",2067,120,120,100,79.0090845385985,1880.51082002831,438
"2067/2068",2068,120,120,100,66.8426210519901,1035.32963329041,939
"2068/2069",2069,121,121,100,82.0155993247245,2984.23107971018,547
"2069/2070",2070,120,120,100,69.7096244976674,2386.71533195634,902
"2070/2071",2071,120,120,100,68.7205051172532,4134.66322854126,809
"2071/2072",2072,120,120,100,86.6020382886309,4076.63607264298,196
"2072/2073",2073,121,121,100,75.5439448511861,1417.33769719931,860
"2073/2074",2074,120,120,100,90.9370163458734,2096.65050654975,110
"2074/2075",2075,120,120,100,74.3334676796003,1450.22005997843,651
"2075/2076",2076,120,120,100,75.8238080704868,2459.72216920252,537
"2076/2077",2077,121,121,100,80.9536113357426,3435.04702135012,274
"2077/2078",2078,120,120,100,76.3605705941372,2877.82167150208,629
"2078/2079",2079,120,120,100,82.9792598603381,3147.33168621524,276
"2079/2080",2080,120,120,100,85.63311787766,2696.33516365627,371
"2080/2081",2081,121,121,100,76.8025810725958,5338.28571811994,505
"2081/2082",2082,120,120,100,85.0179285990307,1407.87124235672,455
"2082/2083",2083,120,120,100,80.2430841929017,3187.44435548433,386
"2083/2084",2084,120,120,100,78.667022434187,1130.01970299019,628
"2084/2085",2085,121,121,100,82.6250070017304,2293.49876027228,440
"2085/2086",2086,120,120,100,78.14120160526,1335.46965251723,555
"2086/2087",2087,120,120,100,80.9882233973985,2412.92512081657,494
"2087/2088",2088,120,120,100,84.1581126183701,1660.62651932426,170
"2088/2089",2089,121,121,100,76.2796218515978,1419.96744546434,613
"2089/2090",2090,120,120,100,70.974302423976,2398.1209027092,847
"2090/2091",2091,120,120,100,76.8097583656127,2746.53211169911,369
"2091/2092",2092,120,120,100,86.2220408198555,1651.48461244372,229
"2092/2093",2093,121,121,100,84.3058919300202,2492.00616528327,505
"2093/2094",2094,120,120,100,82.058265318552,3580.26131084212,178
"2094/2095",2095,120,120,100,79.6421637722051,2361.49856989458,476
"2095/2096",2096,120,120,100,77.5353497683827,2086.11379477149,649
"2096/2097",2097,121,121,100,79.1021162848847,1506.5913243714,599
"2097/2098",2098,120,120,100,80.1046077178034,2195.94544751302,568
"2098/2099",2099,120,120,100,79.0310395126471,896.945701098186,564
"2099/2100",2100,120,120,100,79.2196109294309,3559.77008208749,687
