"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,79.9025802939026,3709.97497053531,450
"2002/2003",2003,120,120,100,85.5590959553771,2723.04595884513,284
"2003/2004",2004,120,120,100,75.5732779667504,1410.03226890765,720
"2004/2005",2005,121,121,100,71.8479696418099,2145.78698924636,654
"2005/2006",2006,120,120,100,78.8183444847828,3093.22536048422,340
"2006/2007",2007,120,120,100,65.8827330786996,1100.97836859776,942
"2007/2008",2008,120,120,100,88.4080839183023,2840.39514392093,131
"2008/2009",2009,121,121,100,63.7942218150106,1865.88959967528,1180
"2009/2010",2010,120,120,100,82.0659574995207,3127.44226828722,430
"2010/2011",2011,120,120,100,74.3191260050817,4417.97386842711,440
"2011/2012",2012,120,120,100,81.4642019680132,4140.94878692643,456
"2012/2013",2013,121,121,100,71.3993874767007,2216.35786209736,890
"2013/2014",2014,120,120,100,86.0200276428577,2504.9411504092,334
"2014/2015",2015,120,120,100,75.5069422100132,1725.41368016918,625
"2015/2016",2016,120,120,100,85.119413601501,2447.33700746096,278
"2016/2017",2017,121,121,100,76.793843404253,1235.93466621012,651
"2017/2018",2018,120,120,100,85.4434079936555,2924.20289791278,308
"2018/2019",2019,120,120,100,86.5568069352375,4065.79104414563,211
"2019/2020",2020,120,120,100,81.441657795941,1947.09109181158,499
"2020/2021",2021,121,121,100,78.5538414709008,2610.21254257267,700
"2021/2022",2022,120,120,100,74.776309157528,3239.66588253972,664
"2022/2023",2023,120,120,100,77.3366171786483,4516.71039224374,483
"2023/2024",2024,120,120,100,79.9699075624194,885.583199575645,545
"2024/2025",2025,121,121,100,86.925209389974,4046.50780490978,150
"2025/2026",2026,120,120,100,81.6404917635846,2549.13549170078,340
"2026/2027",2027,120,120,100,69.465825787961,1039.06881396091,996
"2027/2028",2028,120,120,100,84.71459111072,5864.94830187035,216
"2028/2029",2029,121,121,100,71.8390625023994,844.398492896027,846
"2029/2030",2030,120,120,100,84.4446640327114,2508.49751318604,375
"2030/2031",2031,120,120,100,65.2560953439433,1755.8529944398,1025
"2031/2032",2032,120,120,100,69.3325145718272,1118.1380197671,784
"2032/2033",2033,121,121,100,83.2226823672327,4085.96490448655,352
"2033/2034",2034,120,120,100,68.1420179170609,3030.10611910207,861
"2034/2035",2035,120,120,100,78.3258385072613,3899.43589181165,385
"2035/2036",2036,120,120,100,80.9380586190882,3258.95314013114,269
"2036/2037",2037,121,121,100,84.0635044287374,2296.17134067681,416
"2037/2038",2038,120,120,100,77.6044198558975,3515.908296882,580
"2038/2039",2039,120,120,100,86.9891516645985,1994.10061383626,174
"2039/2040",2040,120,120,100,76.5102819027143,3777.52175689605,502
"2040/2041",2041,121,121,100,84.1767960516554,2542.72663158487,308
"2041/2042",2042,120,120,100,81.9310255328674,6297.54783407992,231
"2042/2043",2043,120,120,100,80.3448399013832,4875.87904594664,394
"2043/2044",2044,120,120,100,77.5284094913677,1960.48663449718,582
"2044/2045",2045,121,121,100,83.8182944678847,3870.25491879706,227
"2045/2046",2046,120,120,100,66.3800099056425,1728.71366817062,891
"2046/2047",2047,120,120,100,80.9816093814989,3369.10525962309,452
"2047/2048",2048,120,120,100,80.76617474062,3919.92495363695,299
"2048/2049",2049,121,121,100,75.8227118896848,2499.12012637994,701
"2049/2050",2050,120,120,100,80.9134826962072,1449.03094252944,486
"2050/2051",2051,120,120,100,73.0315683972058,1860.57263583416,770
"2051/2052",2052,120,120,100,77.6292999076104,2370.10172661016,489
"2052/2053",2053,121,121,100,90.5844688081943,3833.72840476152,245
"2053/2054",2054,120,120,100,81.7767540272362,3607.23290565063,518
"2054/2055",2055,120,120,100,84.4660377418968,3189.40546723543,157
"2055/2056",2056,120,120,100,82.9288222584164,2618.93820539361,296
"2056/2057",2057,121,121,100,84.0007501223135,4378.04106394952,264
"2057/2058",2058,120,120,100,75.8411516411543,3318.52666363941,614
"2058/2059",2059,120,120,100,82.9746438820657,1615.27324120939,309
"2059/2060",2060,120,120,100,75.0751715908791,2285.13870738429,647
"2060/2061",2061,121,121,100,80.3785314113302,1288.82276095724,534
"2061/2062",2062,120,120,100,85.228935856283,5492.84904913174,260
"2062/2063",2063,120,120,100,75.6689815067239,1987.26067404816,728
"2063/2064",2064,120,120,100,77.2007334493592,3591.11757598387,606
"2064/2065",2065,121,121,100,82.972662020089,1763.75250147789,307
"2065/2066",2066,120,120,100,78.9229772432136,1501.4299409262,480
"2066/2067",2067,120,120,100,76.4791492351196,2818.82101044082,457
"2067/2068",2068,120,120,100,69.0308938978069,1052.89599687996,892
"2068/2069",2069,121,121,100,84.0053404812006,3449.12080382695,476
"2069/2070",2070,120,120,100,67.669570480386,3419.26598841924,861
"2070/2071",2071,120,120,100,67.9095448364897,4776.2222685843,812
"2071/2072",2072,120,120,100,83.9156325674558,5170.84362854785,221
"2072/2073",2073,121,121,100,75.9904468059394,2040.34926023544,797
"2073/2074",2074,120,120,100,89.9357165179681,2976.2019700401,92
"2074/2075",2075,120,120,100,75.1511368956453,1866.44053888967,557
"2075/2076",2076,120,120,100,74.4934940328931,3353.31158844329,558
"2076/2077",2077,121,121,100,80.1761599617166,3956.9070714321,240
"2077/2078",2078,120,120,100,76.6713391245721,3414.95122867479,633
"2078/2079",2079,120,120,100,83.8320850878044,3851.19074016239,215
"2079/2080",2080,120,120,100,84.6564672832028,3285.31607713707,335
"2080/2081",2081,121,121,100,70.2273489530744,6923.5077125972,496
"2081/2082",2082,120,120,100,86.509680350835,1868.44747344789,422
"2082/2083",2083,120,120,100,80.8505025019767,3654.53897530201,359
"2083/2084",2084,120,120,100,78.2125472361076,1723.45985340379,604
"2084/2085",2085,121,121,100,80.085852626933,3202.19480244938,415
"2085/2086",2086,120,120,100,78.6611480182073,1923.00539710879,557
"2086/2087",2087,120,120,100,79.3624241888283,3245.29564533225,425
"2087/2088",2088,120,120,100,85.2174588016533,2156.48878291075,172
"2088/2089",2089,121,121,100,78.3251896966067,1569.7379661898,528
"2089/2090",2090,120,120,100,72.7878604928446,2699.70948868105,735
"2090/2091",2091,120,120,100,77.1644058176134,3504.80231882422,374
"2091/2092",2092,120,120,100,85.4243853083026,2386.20146598085,205
"2092/2093",2093,121,121,100,86.1734370308404,2953.70907299744,457
"2093/2094",2094,120,120,100,80.7988208053139,4550.83970980032,182
"2094/2095",2095,120,120,100,82.8878333487592,2646.27894648421,407
"2095/2096",2096,120,120,100,79.1670671905849,2505.66096644173,629
"2096/2097",2097,121,121,100,79.5448472803873,2088.02450380509,539
"2097/2098",2098,120,120,100,79.5474425065513,2927.942506755,502
"2098/2099",2099,120,120,100,79.7645344340126,1379.95078315609,594
"2099/2100",2100,120,120,100,76.0052925335694,4777.34448193258,696
