"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,79.1701712907144,1270.56968820844,709
"2002/2003",2003,120,120,100,74.2425913096986,1096.62827669135,664
"2003/2004",2004,120,120,100,61.9909573325273,222.240404186839,1051
"2004/2005",2005,121,121,100,60.4218182764798,558.19042822661,1195
"2005/2006",2006,120,120,100,69.9076590886266,849.163690740703,822
"2006/2007",2007,120,120,100,55.1953438904998,246.482300424641,1433
"2007/2008",2008,120,120,100,78.4018818661718,703.678469567825,438
"2008/2009",2009,121,121,100,56.8386198632352,437.045417794983,1573
"2009/2010",2010,120,120,100,77.4968966328404,729.952487750932,635
"2010/2011",2011,120,120,100,70.1948872269427,1609.2104656904,827
"2011/2012",2012,120,120,100,76.5563527104246,1419.42503078634,749
"2012/2013",2013,121,121,100,61.4255977435309,857.301445883117,1285
"2013/2014",2014,120,120,100,77.9037543100517,681.760856934387,759
"2014/2015",2015,120,120,100,65.7522711824008,587.99846851777,1071
"2015/2016",2016,120,120,100,75.1404187267972,857.36951784262,654
"2016/2017",2017,121,121,100,61.6425273182549,322.165609933247,1302
"2017/2018",2018,120,120,100,79.3676940229702,720.833313366202,580
"2018/2019",2019,120,120,100,82.8167367322067,1291.6811534569,331
"2019/2020",2020,120,120,100,69.5989931680533,424.482017911687,889
"2020/2021",2021,121,121,100,70.6584521820578,785.543669061473,975
"2021/2022",2022,120,120,100,70.1383895689087,780.328402416257,893
"2022/2023",2023,120,120,100,73.938803397742,2137.01309347572,790
"2023/2024",2024,120,120,100,67.0267996974853,80.5350338282369,912
"2024/2025",2025,121,121,100,79.4988323338939,1671.88544317523,363
"2025/2026",2026,120,120,100,73.9481265037957,886.299569451308,734
"2026/2027",2027,120,120,100,56.1741076776179,392.652568663689,1452
"2027/2028",2028,120,120,100,85.1468241920002,2297.50849041076,521
"2028/2029",2029,121,121,100,57.3788587692461,61.4918331072695,1278
"2029/2030",2030,120,120,100,73.2200198339042,1306.42485110133,861
"2030/2031",2031,120,120,100,52.4763258834892,843.911925936816,1564
"2031/2032",2032,120,120,100,57.4097318642262,234.09931099572,1408
"2032/2033",2033,121,121,100,79.8455380721607,1153.16556290179,476
"2033/2034",2034,120,120,100,63.8741002527768,972.549644159546,1173
"2034/2035",2035,120,120,100,74.24710186435,1559.69479040365,723
"2035/2036",2036,120,120,100,70.3656216312556,1487.51925073942,721
"2036/2037",2037,121,121,100,71.9234341185256,701.010894756357,865
"2037/2038",2038,120,120,100,75.5950607787772,1236.59432502618,791
"2038/2039",2039,120,120,100,76.5327728924112,360.86959314438,531
"2039/2040",2040,120,120,100,72.8302718582654,1278.58070790117,794
"2040/2041",2041,121,121,100,73.4817420390191,760.408266998362,823
"2041/2042",2042,120,120,100,84.1211217152977,2485.22551042923,340
"2042/2043",2043,120,120,100,80.8498139272997,1824.15151818046,640
"2043/2044",2044,120,120,100,64.6883667997736,532.457862035284,1128
"2044/2045",2045,121,121,100,79.8627617388538,1149.05886501781,453
"2045/2046",2046,120,120,100,56.6140956971285,462.570403777092,1352
"2046/2047",2047,120,120,100,76.7510854589073,1002.82017300662,578
"2047/2048",2048,120,120,100,74.213673365939,1575.11062583092,680
"2048/2049",2049,121,121,100,67.1050729937597,628.242351765803,914
"2049/2050",2050,120,120,100,65.7426385321323,201.85053339263,947
"2050/2051",2051,120,120,100,62.4984317627805,384.730986700626,1143
"2051/2052",2052,120,120,100,68.1637462979161,1152.45230509652,941
"2052/2053",2053,121,121,100,84.4481129700453,1541.26992139444,428
"2053/2054",2054,120,120,100,77.8037327663733,1146.05629548331,660
"2054/2055",2055,120,120,100,80.2646145035596,890.074559732806,433
"2055/2056",2056,120,120,100,74.0578878059096,727.750336039142,597
"2056/2057",2057,121,121,100,78.500210395554,1992.45613931518,560
"2057/2058",2058,120,120,100,67.1901389839095,1288.99987223011,890
"2058/2059",2059,120,120,100,72.4832569919108,339.522159439133,652
"2059/2060",2060,120,120,100,67.4208997363912,572.455861033435,950
"2060/2061",2061,121,121,100,62.3678284149737,620.487486790487,1040
"2061/2062",2062,120,120,100,84.4153249477986,1829.59064006247,443
"2062/2063",2063,120,120,100,67.1286310342366,432.663044145767,1143
"2063/2064",2064,120,120,100,69.115094330482,1384.93004384407,872
"2064/2065",2065,121,121,100,72.6498337155772,323.27012086389,710
"2065/2066",2066,120,120,100,63.6496624055908,237.497752861236,1017
"2066/2067",2067,120,120,100,67.1747972840458,911.657283688779,982
"2067/2068",2068,120,120,100,54.6629155071842,266.00970666908,1246
"2068/2069",2069,121,121,100,78.0786514713654,1331.2359661136,843
"2069/2070",2070,120,120,100,62.9132240886593,1129.75480277691,1210
"2070/2071",2071,120,120,100,67.4576322210942,1869.183165097,996
"2071/2072",2072,120,120,100,84.5100183379527,1695.84183941269,346
"2072/2073",2073,121,121,100,64.8880827647554,509.675062776747,1242
"2073/2074",2074,120,120,100,82.9519002324614,713.996218078479,291
"2074/2075",2075,120,120,100,62.3873974845519,618.507901581703,1131
"2075/2076",2076,120,120,100,67.9896787924663,1139.01404081934,849
"2076/2077",2077,121,121,100,77.624472106294,1626.85556433757,567
"2077/2078",2078,120,120,100,70.3119880408703,1221.95292453805,959
"2078/2079",2079,120,120,100,81.6030506780917,1170.60811757008,560
"2079/2080",2080,120,120,100,78.3681968091732,1274.00311828239,620
"2080/2081",2081,121,121,100,76.3856334253142,2815.34153795271,649
"2081/2082",2082,120,120,100,76.4175856598122,487.794988868904,781
"2082/2083",2083,120,120,100,75.3393519330602,1799.79448892747,787
"2083/2084",2084,120,120,100,65.9307822806695,634.453684539738,1111
"2084/2085",2085,121,121,100,73.2795741391383,1038.67304784464,737
"2085/2086",2086,120,120,100,70.3200898500363,437.195925597596,791
"2086/2087",2087,120,120,100,74.2273207410217,1079.36753390561,799
"2087/2088",2088,120,120,100,75.8758589698627,434.054167233582,442
"2088/2089",2089,121,121,100,65.1305294207668,414.164633316803,1157
"2089/2090",2090,120,120,100,65.8053814445229,957.00700212596,1170
"2090/2091",2091,120,120,100,71.6127520059272,1184.91325012065,686
"2091/2092",2092,120,120,100,76.818426817812,779.984822965402,549
"2092/2093",2093,121,121,100,78.4583401406926,922.689191243437,654
"2093/2094",2094,120,120,100,76.8886370718028,1651.43559050263,498
"2094/2095",2095,120,120,100,73.4758882288515,1094.82439126843,870
"2095/2096",2096,120,120,100,72.1453304347815,740.701993615308,934
"2096/2097",2097,121,121,100,69.7266097162792,566.139674432343,996
"2097/2098",2098,120,120,100,70.575741520046,1130.30416990293,877
"2098/2099",2099,120,120,100,66.5120518145304,352.420240900537,1005
"2099/2100",2100,120,120,100,75.9586329832018,1762.11166685174,833
