"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,82.7824669600691,2640.46947215918,526
"2002/2003",2003,120,120,100,83.6677437772779,1849.22514445182,412
"2003/2004",2004,120,120,100,72.0718301590225,697.254500275369,783
"2004/2005",2005,121,121,100,70.3595419821416,1136.28290787215,819
"2005/2006",2006,120,120,100,77.4463926865728,1985.69234992491,512
"2006/2007",2007,120,120,100,62.5783337788134,688.293197983367,1179
"2007/2008",2008,120,120,100,87.2202406917759,1620.10747818028,144
"2008/2009",2009,121,121,100,64.7884763042875,782.649186120216,1241
"2009/2010",2010,120,120,100,83.4760271446523,1759.70965070007,407
"2010/2011",2011,120,120,100,77.2514400034852,2503.95397184716,456
"2011/2012",2012,120,120,100,82.4336377989966,2687.6879680659,497
"2012/2013",2013,121,121,100,68.7634981024689,1646.47465297378,971
"2013/2014",2014,120,120,100,84.1909145347058,1493.37726424982,464
"2014/2015",2015,120,120,100,74.2921282886387,1207.00554845376,779
"2015/2016",2016,120,120,100,82.079736658081,1645.24597536714,453
"2016/2017",2017,121,121,100,73.4748632647079,819.824713514165,820
"2017/2018",2018,120,120,100,85.6375678343416,1534.03474336027,404
"2018/2019",2019,120,120,100,88.1364383360201,2708.61332941064,189
"2019/2020",2020,120,120,100,79.2365803835955,964.602213011298,596
"2020/2021",2021,121,121,100,77.7998506309923,1724.95080525803,771
"2021/2022",2022,120,120,100,74.6866650296743,1738.63972074699,743
"2022/2023",2023,120,120,100,76.0375100433521,3501.96392908886,572
"2023/2024",2024,120,120,100,76.5370818839074,389.798045331729,610
"2024/2025",2025,121,121,100,88.4382318833068,2560.00354063399,137
"2025/2026",2026,120,120,100,81.0286953203376,1692.10212292739,483
"2026/2027",2027,120,120,100,67.3652757515028,582.615787856295,1060
"2027/2028",2028,120,120,100,88.8869404197567,3805.16373463866,252
"2028/2029",2029,121,121,100,68.2886729964148,384.848203313246,1037
"2029/2030",2030,120,120,100,80.1250145115055,2166.54948458663,551
"2030/2031",2031,120,120,100,58.5386095560698,1371.61199820602,1257
"2031/2032",2032,120,120,100,66.2837329062486,587.855629816375,919
"2032/2033",2033,121,121,100,85.8250320303041,2367.85929030317,367
"2033/2034",2034,120,120,100,70.9448495935085,1663.48738431095,937
"2034/2035",2035,120,120,100,78.6429815308256,2777.88618219388,454
"2035/2036",2036,120,120,100,79.0577157089383,2509.10204981398,435
"2036/2037",2037,121,121,100,81.9902096132464,1389.8674368209,490
"2037/2038",2038,120,120,100,80.6033819576951,2354.46510277045,629
"2038/2039",2039,120,120,100,84.3530444822736,982.509910017747,300
"2039/2040",2040,120,120,100,79.7029842782413,2107.7524875096,544
"2040/2041",2041,121,121,100,83.9671251631407,1423.76667385048,349
"2041/2042",2042,120,120,100,88.4980924196989,4109.33008454298,220
"2042/2043",2043,120,120,100,81.2699415167535,3600.94776627253,438
"2043/2044",2044,120,120,100,76.4259239857583,984.422099348943,702
"2044/2045",2045,121,121,100,86.4441547948354,2282.0290661894,235
"2045/2046",2046,120,120,100,67.2405229430005,905.01865134979,1000
"2046/2047",2047,120,120,100,81.8508394565324,2024.20265275941,464
"2047/2048",2048,120,120,100,83.0185682791398,2538.30256250134,334
"2048/2049",2049,121,121,100,73.8993418860791,1359.14013985326,743
"2049/2050",2050,120,120,100,77.7726074096809,588.298894263542,588
"2050/2051",2051,120,120,100,72.5593775132074,984.028753663733,780
"2051/2052",2052,120,120,100,76.370362573065,1713.4841453745,637
"2052/2053",2053,121,121,100,91.7930954039166,2537.48966188557,261
"2053/2054",2054,120,120,100,81.5645641278261,2072.6915238873,551
"2054/2055",2055,120,120,100,85.5218492579297,1837.95436976198,233
"2055/2056",2056,120,120,100,81.9355950009885,1534.56857450973,363
"2056/2057",2057,121,121,100,85.3311051547644,3329.40884676613,373
"2057/2058",2058,120,120,100,74.5680850031313,2194.49621537139,643
"2058/2059",2059,120,120,100,81.4668164565446,807.764608890633,434
"2059/2060",2060,120,120,100,76.8730841861197,1103.19280428492,675
"2060/2061",2061,121,121,100,75.2380004203933,1033.71106958028,681
"2061/2062",2062,120,120,100,90.34590538878,3298.35619315837,286
"2062/2063",2063,120,120,100,74.1730504508287,1095.57012777089,809
"2063/2064",2064,120,120,100,78.088180562565,2260.20844812563,572
"2064/2065",2065,121,121,100,81.2297432450232,1030.6762828342,505
"2065/2066",2066,120,120,100,78.2629739413496,541.759605879837,543
"2066/2067",2067,120,120,100,76.7728085922045,1572.05774154444,465
"2067/2068",2068,120,120,100,64.9743367061128,722.372029747232,974
"2068/2069",2069,121,121,100,83.3166868135359,2453.86703352211,588
"2069/2070",2070,120,120,100,70.4623754669901,1904.07864037273,935
"2070/2071",2071,120,120,100,70.481908779404,3404.34833606979,794
"2071/2072",2072,120,120,100,87.2676319385864,3250.87384555792,240
"2072/2073",2073,121,121,100,73.8757313639544,1098.46036157606,904
"2073/2074",2074,120,120,100,90.5047968275976,1612.17663419794,123
"2074/2075",2075,120,120,100,71.5995452662501,1131.3313675932,715
"2075/2076",2076,120,120,100,75.3804582524426,1994.75982731051,614
"2076/2077",2077,121,121,100,81.2776527836759,2847.5407021771,327
"2077/2078",2078,120,120,100,74.625530068548,2383.7594491262,668
"2078/2079",2079,120,120,100,83.0447281376219,2470.30902172124,352
"2079/2080",2080,120,120,100,84.1850941868288,2316.31932017859,454
"2080/2081",2081,121,121,100,78.8136691816762,4450.79917756631,497
"2081/2082",2082,120,120,100,84.0089104133258,1142.59679705615,520
"2082/2083",2083,120,120,100,79.9676401020006,2904.66909243754,448
"2083/2084",2084,120,120,100,77.5188178290737,1033.05453177611,707
"2084/2085",2085,121,121,100,82.5323572258385,1942.69909985154,473
"2085/2086",2086,120,120,100,77.8229118179552,1004.73322400061,608
"2086/2087",2087,120,120,100,80.4130025218983,1895.99164788029,545
"2087/2088",2088,120,120,100,84.0412887279199,1214.10189844109,230
"2088/2089",2089,121,121,100,74.8379088547263,1077.18943486077,672
"2089/2090",2090,120,120,100,69.1736309868138,2023.80689663137,931
"2090/2091",2091,120,120,100,80.9104696380127,2174.72357787233,411
"2091/2092",2092,120,120,100,84.7204247651607,1367.00769154087,292
"2092/2093",2093,121,121,100,84.1321211031172,1940.45791170269,516
"2093/2094",2094,120,120,100,82.2830041349262,2863.19421608147,214
"2094/2095",2095,120,120,100,78.6832567925449,2093.64953855192,536
"2095/2096",2096,120,120,100,77.98637901029,1673.26565909956,655
"2096/2097",2097,121,121,100,76.7193153794869,1235.04828209156,714
"2097/2098",2098,120,120,100,78.4237381082094,1858.62153061869,655
"2098/2099",2099,120,120,100,77.2613964737538,732.647159296204,631
"2099/2100",2100,120,120,100,78.6041378049631,3094.60485217255,728
