"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,76.4274894560928,1855.84775151388,711
"2002/2003",2003,120,120,100,77.3156003761528,1059.69353103777,562
"2003/2004",2004,120,120,100,63.3190443306331,264.030547902528,932
"2004/2005",2005,121,121,100,63.2728094540746,737.704010933425,1096
"2005/2006",2006,120,120,100,70.0209945137578,1425.97561385797,828
"2006/2007",2007,120,120,100,54.0115736140451,210.628547035842,1403
"2007/2008",2008,120,120,100,79.121831353335,1132.9984820245,370
"2008/2009",2009,121,121,100,55.4548429562453,473.797955608279,1552
"2009/2010",2010,120,120,100,79.1766747706506,921.921674275221,569
"2010/2011",2011,120,120,100,73.2810583920791,1510.68786318022,772
"2011/2012",2012,120,120,100,77.2508184841827,2022.5657895607,665
"2012/2013",2013,121,121,100,61.4316347873987,988.438460515179,1219
"2013/2014",2014,120,120,100,79.5067209735075,870.833976277252,618
"2014/2015",2015,120,120,100,67.400290565025,550.494270307347,994
"2015/2016",2016,120,120,100,77.4550466126861,846.761918236502,574
"2016/2017",2017,121,121,100,64.2017929215535,301.936961426327,1190
"2017/2018",2018,120,120,100,79.2929436239638,801.36022970546,522
"2018/2019",2019,120,120,100,83.4674379831677,1511.08279245157,305
"2019/2020",2020,120,120,100,71.4719622828579,572.441508102755,819
"2020/2021",2021,121,121,100,70.9393682452046,1090.09775791905,926
"2021/2022",2022,120,120,100,71.1001349414992,1197.20137447293,824
"2022/2023",2023,120,120,100,70.3209332327233,3047.53370537025,763
"2023/2024",2024,120,120,100,67.5255787985534,185.890003933033,869
"2024/2025",2025,121,121,100,80.8494812956151,1897.89176611106,325
"2025/2026",2026,120,120,100,76.0638000330637,766.585889732392,609
"2026/2027",2027,120,120,100,55.6263700657391,483.269639288075,1439
"2027/2028",2028,120,120,100,86.8417716425902,2249.25471371388,406
"2028/2029",2029,121,121,100,58.8149025629609,147.555579774111,1306
"2029/2030",2030,120,120,100,73.8849222120989,1280.66576225204,738
"2030/2031",2031,120,120,100,53.2702712803584,717.718737526986,1520
"2031/2032",2032,120,120,100,58.4489063345045,200.294864740208,1334
"2032/2033",2033,121,121,100,80.4071723640172,1572.43488733725,505
"2033/2034",2034,120,120,100,64.745023427512,1099.81455216532,1095
