"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,79.7397969707087,1926.9965770516,693
"2002/2003",2003,120,120,100,77.8574758585387,1380.7962615486,584
"2003/2004",2004,120,120,100,65.7332884094732,439.208971031081,978
"2004/2005",2005,121,121,100,63.2151774442757,767.582510499109,1078
"2005/2006",2006,120,120,100,73.119550201856,1259.97199958335,696
"2006/2007",2007,120,120,100,59.4762260582106,470.24538086236,1340
"2007/2008",2008,120,120,100,82.7965800860372,1006.35140895986,280
"2008/2009",2009,121,121,100,59.6638695617828,494.342254817719,1382
"2009/2010",2010,120,120,100,81.0582952428435,1151.24148181879,569
"2010/2011",2011,120,120,100,71.8246035232246,1910.35170127143,738
"2011/2012",2012,120,120,100,79.0890443601334,1783.08314043255,620
"2012/2013",2013,121,121,100,64.6446441820513,1110.04595879263,1170
"2013/2014",2014,120,120,100,80.689832667369,988.67092264365,609
"2014/2015",2015,120,120,100,66.6640176024011,917.500669247522,1029
"2015/2016",2016,120,120,100,78.7419545332632,1065.34180197237,605
"2016/2017",2017,121,121,100,65.0137119142205,652.789741371591,1139
"2017/2018",2018,120,120,100,81.5309778853766,985.338418773979,522
"2018/2019",2019,120,120,100,83.0974147258125,2112.37165808429,341
"2019/2020",2020,120,120,100,74.3354155192428,522.394199000752,747
"2020/2021",2021,121,121,100,72.3834033183957,1223.48275337451,914
"2021/2022",2022,120,120,100,71.7673925757508,1191.89495449979,923
"2022/2023",2023,120,120,100,78.0478102361894,2342.93314031565,692
"2023/2024",2024,120,120,100,70.9384324009243,162.512751560222,872
"2024/2025",2025,121,121,100,85.5485714227198,1714.9074974183,246
"2025/2026",2026,120,120,100,74.951443693546,1291.36013375166,768
"2026/2027",2027,120,120,100,63.0583296046107,268.26079083536,1266
"2027/2028",2028,120,120,100,86.1179697766147,2822.89587878474,385
"2028/2029",2029,121,121,100,62.5797253367109,258.26788384057,1229
"2029/2030",2030,120,120,100,75.9017453011538,1694.40131071354,732
"2030/2031",2031,120,120,100,55.7610904139792,1044.54063493945,1489
"2031/2032",2032,120,120,100,60.3234386971944,323.788937721489,1234
"2032/2033",2033,121,121,100,81.3360851327716,1695.29529486278,525
"2033/2034",2034,120,120,100,67.9673651032463,1190.75325410075,1053
"2034/2035",2035,120,120,100,75.7288958149129,2002.93298245178,617
"2035/2036",2036,120,120,100,72.6196378858012,2080.5375635888,652
"2036/2037",2037,121,121,100,76.3950718398082,857.829840501319,680
"2037/2038",2038,120,120,100,77.2322483188373,1607.22988484507,774
"2038/2039",2039,120,120,100,79.6365930493539,592.353358759239,470
"2039/2040",2040,120,120,100,76.2196127896532,1424.74851974261,701
"2040/2041",2041,121,121,100,79.2329029053217,788.841222921546,568
"2041/2042",2042,120,120,100,85.2438042144677,3121.46737006355,356
"2042/2043",2043,120,120,100,80.2300767970137,2796.93216866869,577
"2043/2044",2044,120,120,100,69.2336119163156,716.825490297808,1022
"2044/2045",2045,121,121,100,82.4399910635093,1703.18417035545,353
"2045/2046",2046,120,120,100,60.124233344839,600.503325074678,1178
"2046/2047",2047,120,120,100,78.6809689267266,1459.04013636993,615
"2047/2048",2048,120,120,100,78.8784729289109,1754.56478971575,527
"2048/2049",2049,121,121,100,69.3097238276296,929.94153877988,910
"2049/2050",2050,120,120,100,71.9087670573444,376.039183668705,799
"2050/2051",2051,120,120,100,65.3247809052136,585.565134825069,1102
"2051/2052",2052,120,120,100,72.8796835549874,1180.82249501182,799
"2052/2053",2053,121,121,100,88.7964970505873,1703.41076457262,334
"2053/2054",2054,120,120,100,79.2951682478779,1194.27559197618,620
"2054/2055",2055,120,120,100,81.6742235447873,1241.17311969551,407
"2055/2056",2056,120,120,100,76.3432245780368,1161.44197081402,537
"2056/2057",2057,121,121,100,82.0942114731406,2289.6851340383,457
"2057/2058",2058,120,120,100,73.1360151286699,1387.10970252199,756
"2058/2059",2059,120,120,100,75.1095356129208,507.658698072773,641
"2059/2060",2060,120,120,100,70.640340809774,643.104760163551,880
"2060/2061",2061,121,121,100,68.2858498951409,652.896091498871,923
"2061/2062",2062,120,120,100,88.4148545473272,2226.56904499518,364
"2062/2063",2063,120,120,100,70.3594950287807,582.374049331673,992
"2063/2064",2064,120,120,100,73.4692375851555,1580.21699435959,733
"2064/2065",2065,121,121,100,74.629984132589,629.670201670757,664
"2065/2066",2066,120,120,100,70.7291552267143,247.462855604157,799
"2066/2067",2067,120,120,100,71.7341309661533,1095.66111235812,777
"2067/2068",2068,120,120,100,57.7150977572273,499.660586135607,1231
"2068/2069",2069,121,121,100,80.6901927900253,1623.84273121957,704
"2069/2070",2070,120,120,100,65.8770042911801,1271.9951024942,1102
"2070/2071",2071,120,120,100,64.1164182963676,2942.77870752313,1042
"2071/2072",2072,120,120,100,86.3606299289168,2097.60596634645,278
"2072/2073",2073,121,121,100,68.6207079999367,689.731764097494,1148
"2073/2074",2074,120,120,100,85.7358065092722,957.625837673433,267
"2074/2075",2075,120,120,100,66.8671215149516,710.947957297816,929
"2075/2076",2076,120,120,100,70.8147364764063,1309.0744048552,800
"2076/2077",2077,121,121,100,78.6217576799863,1938.83020071447,472
"2077/2078",2078,120,120,100,73.1494182981023,1538.45440863521,766
"2078/2079",2079,120,120,100,81.9052919656933,1681.70111810125,497
"2079/2080",2080,120,120,100,80.5931875296192,1702.21665432409,547
"2080/2081",2081,121,121,100,79.3201614133905,3186.96782598284,586
"2081/2082",2082,120,120,100,78.8551862044151,733.378882574616,663
"2082/2083",2083,120,120,100,74.9834081170047,2405.32854919063,669
"2083/2084",2084,120,120,100,71.2130666907797,688.898073478369,926
"2084/2085",2085,121,121,100,75.8553955364114,1367.51160040303,643
"2085/2086",2086,120,120,100,72.5894748224891,527.20457905985,779
"2086/2087",2087,120,120,100,78.0275706491302,1223.96604823903,714
