"Season","End_year","Season_days","Data_days","Perc_complete","GDH","Frost_H"
"2000/2001",2001,46,46,100,311.319853669454,179
"2001/2002",2002,46,46,100,56.2825205163936,399
"2002/2003",2003,46,46,100,100.632004669595,326
"2003/2004",2004,46,46,100,153.569111375884,250
"2004/2005",2005,46,46,100,46.3669356397113,397
"2005/2006",2006,46,46,100,142.413116211166,334
"2006/2007",2007,46,46,100,152.522021647641,428
"2007/2008",2008,46,46,100,648.82623582123,286
"2008/2009",2009,46,46,100,247.127221710129,439
"2009/2010",2010,46,46,100,257.035088637233,190
"2010/2011",2011,46,46,100,623.729457334797,176
"2011/2012",2012,46,46,100,4.0796583409101,644
"2012/2013",2013,46,46,100,1153.81071489739,225
"2013/2014",2014,46,46,100,223.418395785411,511
"2014/2015",2015,46,46,100,24.1672218868189,537
"2015/2016",2016,46,46,100,41.1295467742602,427
"2016/2017",2017,46,46,100,235.781717906168,230
"2017/2018",2018,46,46,100,114.888350673078,317
"2018/2019",2019,46,46,100,1081.80697083203,449
"2019/2020",2020,46,46,100,750.369165071621,220
"2020/2021",2021,46,46,100,900.19858780205,392
"2021/2022",2022,46,46,100,484.277967962858,51
"2022/2023",2023,46,46,100,51.6420817091566,281
"2023/2024",2024,46,46,100,318.636834969133,462
"2024/2025",2025,46,46,100,27.9199198882852,196
"2025/2026",2026,46,46,100,475.893923576266,276
"2026/2027",2027,46,46,100,568.325501740066,244
"2027/2028",2028,46,46,100,809.698403972026,217
"2028/2029",2029,46,46,100,124.749162002641,237
"2029/2030",2030,46,46,100,407.498935573793,288
"2030/2031",2031,46,46,100,838.727157895366,149
"2031/2032",2032,46,46,100,796.815131399431,65
"2032/2033",2033,46,46,100,275.610412274982,184
"2033/2034",2034,46,46,100,137.372615043918,298
"2034/2035",2035,46,46,100,26.6236427612312,460
"2035/2036",2036,46,46,100,505.893548813183,144
"2036/2037",2037,46,46,100,236.953145439242,227
"2037/2038",2038,46,46,100,394.672653599817,455
"2038/2039",2039,46,46,100,492.145788250811,275
"2039/2040",2040,46,46,100,2107.29457291382,21
"2040/2041",2041,46,46,100,478.023424490559,460
"2041/2042",2042,46,46,100,165.549116149108,342
"2042/2043",2043,46,46,100,57.7899908389372,304
"2043/2044",2044,46,46,100,746.315602608898,100
"2044/2045",2045,46,46,100,173.007087179256,373
"2045/2046",2046,46,46,100,430.319264940423,71
"2046/2047",2047,46,46,100,315.819740671432,197
"2047/2048",2048,46,46,100,251.882222212123,423
"2048/2049",2049,46,46,100,24.7099736477539,260
"2049/2050",2050,46,46,100,62.4870293467538,451
"2050/2051",2051,46,46,100,1768.33412711744,70
"2051/2052",2052,46,46,100,534.945490429789,272
"2052/2053",2053,46,46,100,888.350509297365,40
"2053/2054",2054,46,46,100,831.244758554414,91
"2054/2055",2055,46,46,100,1264.95876434678,95
"2055/2056",2056,46,46,100,882.115657778864,380
"2056/2057",2057,46,46,100,228.048255776812,330
"2057/2058",2058,46,46,100,125.012258485483,528
"2058/2059",2059,46,46,100,86.5095225488185,462
"2059/2060",2060,46,46,100,286.452199128922,72
"2060/2061",2061,46,46,100,926.582111317723,171
"2061/2062",2062,46,46,100,626.705416151555,134
"2062/2063",2063,46,46,100,17.0287232438568,478
"2063/2064",2064,46,46,100,140.466933591815,314
"2064/2065",2065,46,46,100,35.5820944746956,397
"2065/2066",2066,46,46,100,375.475900861551,232
"2066/2067",2067,46,46,100,408.281389562471,212
"2067/2068",2068,46,46,100,565.338285623875,284
"2068/2069",2069,46,46,100,187.672768494405,351
"2069/2070",2070,46,46,100,241.151009475812,373
"2070/2071",2071,46,46,100,375.348166393291,269
"2071/2072",2072,46,46,100,260.529087991745,268
"2072/2073",2073,46,46,100,112.744610823458,393
"2073/2074",2074,46,46,100,709.605108208489,239
"2074/2075",2075,46,46,100,420.207908802258,303
"2075/2076",2076,46,46,100,94.0136913591996,364
"2076/2077",2077,46,46,100,24.7937912729685,153
"2077/2078",2078,46,46,100,101.577545465378,316
"2078/2079",2079,46,46,100,327.608653906442,427
"2079/2080",2080,46,46,100,379.656190521782,378
"2080/2081",2081,46,46,100,75.0150821027346,377
"2081/2082",2082,46,46,100,44.56713995873,677
"2082/2083",2083,46,46,100,992.047043971368,466
"2083/2084",2084,46,46,100,521.463637306995,128
"2084/2085",2085,46,46,100,286.888981895812,203
"2085/2086",2086,46,46,100,300.525712236471,277
"2086/2087",2087,46,46,100,714.262445150234,501
"2087/2088",2088,46,46,100,969.228344721894,97
"2088/2089",2089,46,46,100,204.984000223631,513
"2089/2090",2090,46,46,100,200.40565798583,148
"2090/2091",2091,46,46,100,353.752873054764,217
"2091/2092",2092,46,46,100,450.032854161109,189
"2092/2093",2093,46,46,100,88.0596908144071,288
"2093/2094",2094,46,46,100,236.994910711946,349
"2094/2095",2095,46,46,100,29.2293854453601,552
"2095/2096",2096,46,46,100,1090.25923803204,329
"2096/2097",2097,46,46,100,461.433747025148,288
"2097/2098",2098,46,46,100,426.899934557616,99
"2098/2099",2099,46,46,100,105.894701256708,318
"2099/2100",2100,46,46,100,220.545992505504,606
