"Season","End_year","Season_days","Data_days","Perc_complete","GDH","Frost_H"
"2000/2001",2001,46,46,100,178.446741680537,305
"2001/2002",2002,46,46,100,51.2025691977942,560
"2002/2003",2003,46,46,100,59.9706972479298,385
"2003/2004",2004,46,46,100,166.090215634362,413
"2004/2005",2005,46,46,100,25.5419110675539,463
"2005/2006",2006,46,46,100,61.4250475657991,406
"2006/2007",2007,46,46,100,56.1910867787592,497
"2007/2008",2008,46,46,100,450.961541288423,351
"2008/2009",2009,46,46,100,194.029524203623,624
"2009/2010",2010,46,46,100,203.173820081909,290
"2010/2011",2011,46,46,100,545.244410851457,210
"2011/2012",2012,46,46,100,0.00318160820825142,758
"2012/2013",2013,46,46,100,915.726570469807,334
"2013/2014",2014,46,46,100,237.442522847181,573
"2014/2015",2015,46,46,100,6.97900675253186,632
"2015/2016",2016,46,46,100,6.65332676821708,524
"2016/2017",2017,46,46,100,161.763471260718,312
"2017/2018",2018,46,46,100,102.075461052256,492
"2018/2019",2019,46,46,100,1006.32062818837,511
"2019/2020",2020,46,46,100,532.653756909545,311
"2020/2021",2021,46,46,100,488.263370934583,435
"2021/2022",2022,46,46,100,257.947813989987,162
"2022/2023",2023,46,46,100,17.7660337175621,436
"2023/2024",2024,46,46,100,229.119808919495,591
"2024/2025",2025,46,46,100,6.31454784034577,322
"2025/2026",2026,46,46,100,292.224672673336,316
"2026/2027",2027,46,46,100,503.926994964466,350
"2027/2028",2028,46,46,100,530.669663884997,309
"2028/2029",2029,46,46,100,118.462652130504,430
"2029/2030",2030,46,46,100,321.806432833167,388
"2030/2031",2031,46,46,100,566.182465443868,191
"2031/2032",2032,46,46,100,700.348551572941,116
"2032/2033",2033,46,46,100,185.439167403267,271
"2033/2034",2034,46,46,100,80.6920503793517,407
"2034/2035",2035,46,46,100,1.11841885566537,601
"2035/2036",2036,46,46,100,367.13573902694,308
"2036/2037",2037,46,46,100,160.534196036824,412
"2037/2038",2038,46,46,100,290.974922716356,486
"2038/2039",2039,46,46,100,432.162696183354,432
"2039/2040",2040,46,46,100,1890.24679993084,84
"2040/2041",2041,46,46,100,352.867247025599,489
"2041/2042",2042,46,46,100,53.6024789990624,376
"2042/2043",2043,46,46,100,5.71003132421174,355
"2043/2044",2044,46,46,100,372.293237555219,181
"2044/2045",2045,46,46,100,70.6727191784157,426
"2045/2046",2046,46,46,100,216.306477346792,146
"2046/2047",2047,46,46,100,189.152251685882,288
"2047/2048",2048,46,46,100,241.840039104209,581
"2048/2049",2049,46,46,100,14.3218981509854,452
"2049/2050",2050,46,46,100,33.2361438415828,515
"2050/2051",2051,46,46,100,1429.42029039202,160
"2051/2052",2052,46,46,100,394.677879048118,415
"2052/2053",2053,46,46,100,605.269675092888,82
"2053/2054",2054,46,46,100,659.596948984981,129
"2054/2055",2055,46,46,100,979.284202165465,133
"2055/2056",2056,46,46,100,829.940150928393,536
"2056/2057",2057,46,46,100,173.470502651588,409
"2057/2058",2058,46,46,100,83.6806447797862,617
"2058/2059",2059,46,46,100,23.9531628911209,515
"2059/2060",2060,46,46,100,219.047269991919,144
"2060/2061",2061,46,46,100,882.959135093814,283
"2061/2062",2062,46,46,100,545.552543798403,300
"2062/2063",2063,46,46,100,3.83339274083846,546
"2063/2064",2064,46,46,100,51.3287060378061,409
"2064/2065",2065,46,46,100,9.25563602970215,461
"2065/2066",2066,46,46,100,121.165403384482,282
"2066/2067",2067,46,46,100,232.468787919555,349
"2067/2068",2068,46,46,100,477.59230362979,379
"2068/2069",2069,46,46,100,149.933923389995,406
"2069/2070",2070,46,46,100,209.714984159014,518
"2070/2071",2071,46,46,100,205.631979011931,410
"2071/2072",2072,46,46,100,213.545359642245,315
"2072/2073",2073,46,46,100,90.9578706110769,523
"2073/2074",2074,46,46,100,372.31092085797,248
"2074/2075",2075,46,46,100,234.081797114399,416
"2075/2076",2076,46,46,100,19.5829635625123,417
"2076/2077",2077,46,46,100,11.0377318371611,308
"2077/2078",2078,46,46,100,90.0924842079694,496
"2078/2079",2079,46,46,100,295.649814872304,496
"2079/2080",2080,46,46,100,294.910753687029,419
"2080/2081",2081,46,46,100,33.4466884368449,412
"2081/2082",2082,46,46,100,8.46382527952665,722
"2082/2083",2083,46,46,100,994.03477631713,614
"2083/2084",2084,46,46,100,359.687713021733,179
"2084/2085",2085,46,46,100,178.351495228388,285
"2085/2086",2086,46,46,100,140.058134478284,343
"2086/2087",2087,46,46,100,640.894500623195,591
"2087/2088",2088,46,46,100,598.66641388819,184
"2088/2089",2089,46,46,100,210.690790079971,636
"2089/2090",2090,46,46,100,146.116310412181,262
"2090/2091",2091,46,46,100,284.827332295041,311
"2091/2092",2092,46,46,100,331.535735893005,249
"2092/2093",2093,46,46,100,54.6770032538916,401
"2093/2094",2094,46,46,100,199.883649534313,545
"2094/2095",2095,46,46,100,1.66076830908423,626
"2095/2096",2096,46,46,100,802.562640447693,386
"2096/2097",2097,46,46,100,387.547950136359,479
"2097/2098",2098,46,46,100,395.500860353437,236
"2098/2099",2099,46,46,100,105.812920914585,545
"2099/2100",2100,46,46,100,226.911929360242,648
