"Season","End_year","Season_days","Data_days","Perc_complete","GDH","Frost_H"
"2000/2001",2001,46,46,100,691.777836131256,148
"2001/2002",2002,46,46,100,111.398149548986,311
"2002/2003",2003,46,46,100,193.020743801204,205
"2003/2004",2004,46,46,100,175.661058991042,192
"2004/2005",2005,46,46,100,80.2466149780157,279
"2005/2006",2006,46,46,100,229.164821420636,282
"2006/2007",2007,46,46,100,391.660032793792,366
"2007/2008",2008,46,46,100,854.672714281434,231
"2008/2009",2009,46,46,100,473.143826347732,338
"2009/2010",2010,46,46,100,345.830935808553,121
"2010/2011",2011,46,46,100,806.383864871954,86
"2011/2012",2012,46,46,100,43.3780476352404,609
"2012/2013",2013,46,46,100,1351.75719745969,170
"2013/2014",2014,46,46,100,227.236151020392,388
"2014/2015",2015,46,46,100,54.5913199562056,455
"2015/2016",2016,46,46,100,102.280333564006,294
"2016/2017",2017,46,46,100,378.953222743119,117
"2017/2018",2018,46,46,100,134.003594902199,275
"2018/2019",2019,46,46,100,1110.40409330552,333
"2019/2020",2020,46,46,100,912.689226213406,83
"2020/2021",2021,46,46,100,1217.54355507559,326
"2021/2022",2022,46,46,100,709.792259051726,34
"2022/2023",2023,46,46,100,145.695701515418,189
"2023/2024",2024,46,46,100,441.028310897789,426
"2024/2025",2025,46,46,100,106.102458154608,133
"2025/2026",2026,46,46,100,710.594415539294,235
"2026/2027",2027,46,46,100,625.115921629942,190
"2027/2028",2028,46,46,100,1043.01163254387,145
"2028/2029",2029,46,46,100,171.269321156142,147
"2029/2030",2030,46,46,100,518.394406214531,149
"2030/2031",2031,46,46,100,1166.15643641428,69
"2031/2032",2032,46,46,100,995.634946001286,18
"2032/2033",2033,46,46,100,394.511484088842,138
"2033/2034",2034,46,46,100,231.853990118776,238
"2034/2035",2035,46,46,100,80.4916987847537,382
"2035/2036",2036,46,46,100,667.73424892372,91
"2036/2037",2037,46,46,100,298.281315844681,109
"2037/2038",2038,46,46,100,659.649486436974,352
"2038/2039",2039,46,46,100,542.980472800322,164
"2039/2040",2040,46,46,100,2395.2647345346,0
"2040/2041",2041,46,46,100,547.088253111695,375
"2041/2042",2042,46,46,100,339.130775232916,295
"2042/2043",2043,46,46,100,145.844843647967,256
"2043/2044",2044,46,46,100,1166.25394171034,57
"2044/2045",2045,46,46,100,303.30897360784,254
"2045/2046",2046,46,46,100,795.893820958445,38
"2046/2047",2047,46,46,100,439.865020096186,99
"2047/2048",2048,46,46,100,259.996822639834,380
"2048/2049",2049,46,46,100,97.8671609065495,204
"2049/2050",2050,46,46,100,168.402581171831,371
"2050/2051",2051,46,46,100,2021.10516345326,0
"2051/2052",2052,46,46,100,622.739813126158,95
"2052/2053",2053,46,46,100,1294.49850915943,19
"2053/2054",2054,46,46,100,1067.59423177503,0
"2054/2055",2055,46,46,100,1699.77291610313,35
"2055/2056",2056,46,46,100,900.17825907201,311
"2056/2057",2057,46,46,100,322.324986234074,278
"2057/2058",2058,46,46,100,165.312636348535,444
"2058/2059",2059,46,46,100,182.640524768736,234
"2059/2060",2060,46,46,100,392.367896870011,25
"2060/2061",2061,46,46,100,1005.91332914482,163
"2061/2062",2062,46,46,100,792.738563367398,51
"2062/2063",2063,46,46,100,94.0524114135187,390
"2063/2064",2064,46,46,100,392.689029880567,275
"2064/2065",2065,46,46,100,92.6432656431571,274
"2065/2066",2066,46,46,100,776.983443774399,207
"2066/2067",2067,46,46,100,556.170832700678,120
"2067/2068",2068,46,46,100,738.886725026765,233
"2068/2069",2069,46,46,100,384.332987014088,280
"2069/2070",2070,46,46,100,279.439136284636,325
"2070/2071",2071,46,46,100,680.207159091602,234
"2071/2072",2072,46,46,100,407.407391894725,229
"2072/2073",2073,46,46,100,137.50700746337,359
"2073/2074",2074,46,46,100,1035.97833635251,237
"2074/2075",2075,46,46,100,547.643416243838,189
"2075/2076",2076,46,46,100,235.149513676995,355
"2076/2077",2077,46,46,100,69.0548517967109,133
"2077/2078",2078,46,46,100,144.582871635444,161
"2078/2079",2079,46,46,100,340.51907908963,297
"2079/2080",2080,46,46,100,598.218129824148,345
"2080/2081",2081,46,46,100,284.174181657145,336
"2081/2082",2082,46,46,100,171.681105051655,593
"2082/2083",2083,46,46,100,980.131910412689,262
"2083/2084",2084,46,46,100,780.322296435595,70
"2084/2085",2085,46,46,100,509.3676869052,122
"2085/2086",2086,46,46,100,556.490782279405,235
"2086/2087",2087,46,46,100,943.525415368378,480
"2087/2088",2088,46,46,100,1301.19059286849,4
"2088/2089",2089,46,46,100,208.238521746942,279
"2089/2090",2090,46,46,100,328.522518252721,25
"2090/2091",2091,46,46,100,570.890978982556,99
"2091/2092",2092,46,46,100,642.815894722124,155
"2092/2093",2093,46,46,100,155.308629954117,172
"2093/2094",2094,46,46,100,291.777413556469,206
"2094/2095",2095,46,46,100,124.971624115366,440
"2095/2096",2096,46,46,100,1271.40333392215,221
"2096/2097",2097,46,46,100,494.27111518872,169
"2097/2098",2098,46,46,100,552.228325606557,39
"2098/2099",2099,46,46,100,131.868898298591,142
"2099/2100",2100,46,46,100,222.884271756979,548
