"Season","End_year","Season_days","Data_days","Perc_complete","GDH","Frost_H"
"2000/2001",2001,46,46,100,782.435976529424,188
"2001/2002",2002,46,46,100,91.0752778897149,382
"2002/2003",2003,46,46,100,185.800038194398,218
"2003/2004",2004,46,46,100,92.6522609673702,269
"2004/2005",2005,46,46,100,70.3373682347337,281
"2005/2006",2006,46,46,100,235.740975296281,372
"2006/2007",2007,46,46,100,451.609571283025,429
"2007/2008",2008,46,46,100,711.935168127435,263
"2008/2009",2009,46,46,100,453.212559911874,362
"2009/2010",2010,46,46,100,260.63434120336,149
"2010/2011",2011,46,46,100,588.778048857261,97
"2011/2012",2012,46,46,100,59.311935758662,668
"2012/2013",2013,46,46,100,1116.01203325692,172
"2013/2014",2014,46,46,100,99.6694855843234,418
"2014/2015",2015,46,46,100,59.2073333577573,478
"2015/2016",2016,46,46,100,105.756906799506,357
"2016/2017",2017,46,46,100,331.598440211295,122
"2017/2018",2018,46,46,100,64.0750338188955,309
"2018/2019",2019,46,46,100,670.047733109779,335
"2019/2020",2020,46,46,100,656.63118616266,77
"2020/2021",2021,46,46,100,1228.67467011116,426
"2021/2022",2022,46,46,100,651.874023463868,70
"2022/2023",2023,46,46,100,170.723205753296,292
"2023/2024",2024,46,46,100,366.389159817802,444
"2024/2025",2025,46,46,100,129.616765548926,232
"2025/2026",2026,46,46,100,628.285642622199,237
"2026/2027",2027,46,46,100,398.280199824861,174
"2027/2028",2028,46,46,100,869.944289451698,125
"2028/2029",2029,46,46,100,116.284770592232,196
"2029/2030",2030,46,46,100,400.59723504135,174
"2030/2031",2031,46,46,100,982.241348033218,48
"2031/2032",2032,46,46,100,675.166949280043,16
"2032/2033",2033,46,46,100,291.890642907878,121
"2033/2034",2034,46,46,100,199.515208012628,273
"2034/2035",2035,46,46,100,93.7247937927605,512
"2035/2036",2036,46,46,100,493.973556870042,94
"2036/2037",2037,46,46,100,214.266099477303,121
"2037/2038",2038,46,46,100,613.320644522057,393
"2038/2039",2039,46,46,100,316.492095859081,148
"2039/2040",2040,46,46,100,1901.47495690169,0
"2040/2041",2041,46,46,100,419.99933889191,393
"2041/2042",2042,46,46,100,377.585830375901,352
"2042/2043",2043,46,46,100,157.546299512498,296
"2043/2044",2044,46,46,100,1155.03350482305,116
"2044/2045",2045,46,46,100,282.786406250932,255
"2045/2046",2046,46,46,100,755.069299592637,63
"2046/2047",2047,46,46,100,339.236378956644,142
"2047/2048",2048,46,46,100,102.842695165746,377
"2048/2049",2049,46,46,100,114.767575441074,286
"2049/2050",2050,46,46,100,164.29847352003,357
"2050/2051",2051,46,46,100,1583.80709220594,0
"2051/2052",2052,46,46,100,408.778386074235,109
"2052/2053",2053,46,46,100,1122.21674935409,22
"2053/2054",2054,46,46,100,812.678422041179,19
"2054/2055",2055,46,46,100,1399.33165726601,18
"2055/2056",2056,46,46,100,474.296863552765,277
"2056/2057",2057,46,46,100,222.025333419617,295
"2057/2058",2058,46,46,100,109.308271877409,483
"2058/2059",2059,46,46,100,182.235738829011,281
"2059/2060",2060,46,46,100,271.068384465878,42
"2060/2061",2061,46,46,100,632.934666370682,172
"2061/2062",2062,46,46,100,609.665496798465,61
"2062/2063",2063,46,46,100,116.658107996569,466
"2063/2064",2064,46,46,100,453.073165088077,393
"2064/2065",2065,46,46,100,104.905309641967,328
"2065/2066",2066,46,46,100,840.614717958262,320
"2066/2067",2067,46,46,100,404.933332697779,127
"2067/2068",2068,46,46,100,545.763088993437,245
"2068/2069",2069,46,46,100,352.152372496377,312
"2069/2070",2070,46,46,100,162.140256211685,335
"2070/2071",2071,46,46,100,696.043625071528,238
"2071/2072",2072,46,46,100,330.526133504813,264
"2072/2073",2073,46,46,100,66.5004038421903,394
"2073/2074",2074,46,46,100,992.230403480295,262
"2074/2075",2075,46,46,100,445.042288632598,188
"2075/2076",2076,46,46,100,271.499637641304,403
"2076/2077",2077,46,46,100,68.4430723080295,241
"2077/2078",2078,46,46,100,101.040937202575,210
"2078/2079",2079,46,46,100,141.196523469349,284
"2079/2080",2080,46,46,100,537.913349440496,372
"2080/2081",2081,46,46,100,323.865055144939,338
"2081/2082",2082,46,46,100,216.013532371377,633
"2082/2083",2083,46,46,100,581.63099674444,257
"2083/2084",2084,46,46,100,657.480471141287,89
"2084/2085",2085,46,46,100,474.27642992168,162
"2085/2086",2086,46,46,100,569.775461890269,305
"2086/2087",2087,46,46,100,782.063125027053,484
"2087/2088",2088,46,46,100,1147.01646316488,4
"2088/2089",2089,46,46,100,71.3540506052668,256
"2089/2090",2090,46,46,100,274.373196392844,23
"2090/2091",2091,46,46,100,451.977306931512,129
"2091/2092",2092,46,46,100,526.547557387559,173
"2092/2093",2093,46,46,100,135.483061557345,189
"2093/2094",2094,46,46,100,171.032984140853,221
"2094/2095",2095,46,46,100,161.816104735946,517
"2095/2096",2096,46,46,100,1001.89482707769,218
"2096/2097",2097,46,46,100,272.385647965537,129
"2097/2098",2098,46,46,100,353.646805552766,23
"2098/2099",2099,46,46,100,71.1043695018743,168
"2099/2100",2100,46,46,100,103.896044660069,573
