"Season","End_year","Season_days","Data_days","Perc_complete","GDH","Frost_H"
"2000/2001",2001,46,46,100,710.895702110958,204
"2001/2002",2002,46,46,100,65.9483776460656,397
"2002/2003",2003,46,46,100,157.514578045317,247
"2003/2004",2004,46,46,100,74.7895843698516,275
"2004/2005",2005,46,46,100,52.7108951760401,329
"2005/2006",2006,46,46,100,202.926521860514,391
"2006/2007",2007,46,46,100,391.633438359924,449
"2007/2008",2008,46,46,100,623.996741268962,267
"2008/2009",2009,46,46,100,411.630248209869,367
"2009/2010",2010,46,46,100,220.922440889928,175
"2010/2011",2011,46,46,100,524.876235297554,113
"2011/2012",2012,46,46,100,44.8012582967785,676
"2012/2013",2013,46,46,100,1025.39218190548,186
"2013/2014",2014,46,46,100,90.244369142376,436
"2014/2015",2015,46,46,100,45.794190672983,495
"2015/2016",2016,46,46,100,77.8672866117777,386
"2016/2017",2017,46,46,100,284.298764530948,138
"2017/2018",2018,46,46,100,51.039255898686,310
"2018/2019",2019,46,46,100,630.866295896507,356
"2019/2020",2020,46,46,100,576.699877884123,84
"2020/2021",2021,46,46,100,1115.61720646572,434
"2021/2022",2022,46,46,100,561.431499569429,56
"2022/2023",2023,46,46,100,141.763638345001,308
"2023/2024",2024,46,46,100,326.143288033869,451
"2024/2025",2025,46,46,100,103.364706178865,252
"2025/2026",2026,46,46,100,546.620435863777,242
"2026/2027",2027,46,46,100,360.306272562826,194
"2027/2028",2028,46,46,100,782.988773437057,136
"2028/2029",2029,46,46,100,96.5655716678302,215
"2029/2030",2030,46,46,100,349.34903062036,219
"2030/2031",2031,46,46,100,867.791202790395,82
"2031/2032",2032,46,46,100,594.141186353299,18
"2032/2033",2033,46,46,100,241.339977074633,132
"2033/2034",2034,46,46,100,163.698150294425,314
"2034/2035",2035,46,46,100,69.978976108061,530
"2035/2036",2036,46,46,100,431.501438383115,108
"2036/2037",2037,46,46,100,181.379489355284,142
"2037/2038",2038,46,46,100,555.795925817045,436
"2038/2039",2039,46,46,100,281.577767067778,159
"2039/2040",2040,46,46,100,1772.96307699385,6
"2040/2041",2041,46,46,100,382.398233933927,426
"2041/2042",2042,46,46,100,316.602902857237,356
"2042/2043",2043,46,46,100,122.415633679455,306
"2043/2044",2044,46,46,100,1032.03514037895,137
"2044/2045",2045,46,46,100,236.597353250167,288
"2045/2046",2046,46,46,100,644.115319558827,71
"2046/2047",2047,46,46,100,284.633862991381,152
"2047/2048",2048,46,46,100,90.9881286207237,410
"2048/2049",2049,46,46,100,93.641960782581,303
"2049/2050",2050,46,46,100,142.652908948687,415
"2050/2051",2051,46,46,100,1459.56912025312,0
"2051/2052",2052,46,46,100,358.008480940247,171
"2052/2053",2053,46,46,100,986.318928631983,23
"2053/2054",2054,46,46,100,720.289435723564,21
"2054/2055",2055,46,46,100,1272.66971101449,38
"2055/2056",2056,46,46,100,442.105761347804,306
"2056/2057",2057,46,46,100,182.395057151822,295
"2057/2058",2058,46,46,100,90.8310890593857,525
"2058/2059",2059,46,46,100,145.499138442654,313
"2059/2060",2060,46,46,100,220.36859425818,44
"2060/2061",2061,46,46,100,576.10472329185,167
"2061/2062",2062,46,46,100,549.868329760502,77
"2062/2063",2063,46,46,100,84.9694757970283,483
"2063/2064",2064,46,46,100,393.167366324895,412
"2064/2065",2065,46,46,100,82.7726052607759,358
"2065/2066",2066,46,46,100,728.62767503169,314
"2066/2067",2067,46,46,100,341.437505935639,134
"2067/2068",2068,46,46,100,487.527151763701,250
"2068/2069",2069,46,46,100,303.942428290495,358
"2069/2070",2070,46,46,100,140.6303124025,349
"2070/2071",2071,46,46,100,620.412233036623,248
"2071/2072",2072,46,46,100,281.782752237137,269
"2072/2073",2073,46,46,100,53.1687563500891,400
"2073/2074",2074,46,46,100,884.215207511297,271
"2074/2075",2075,46,46,100,390.654442055529,222
"2075/2076",2076,46,46,100,226.117825769383,410
"2076/2077",2077,46,46,100,46.4103428051458,277
"2077/2078",2078,46,46,100,90.545227655035,221
"2078/2079",2079,46,46,100,126.114612715843,292
"2079/2080",2080,46,46,100,470.848704800417,393
"2080/2081",2081,46,46,100,269.464769657003,342
"2081/2082",2082,46,46,100,180.187049974455,666
"2082/2083",2083,46,46,100,558.755431151716,284
"2083/2084",2084,46,46,100,574.548336198786,95
"2084/2085",2085,46,46,100,409.174465755059,161
"2085/2086",2086,46,46,100,488.961955792096,321
"2086/2087",2087,46,46,100,713.131206380203,486
"2087/2088",2088,46,46,100,1027.707485925,12
"2088/2089",2089,46,46,100,62.3641082712566,303
"2089/2090",2090,46,46,100,231.726702304324,26
"2090/2091",2091,46,46,100,388.407668058644,140
"2091/2092",2092,46,46,100,467.740249103983,198
"2092/2093",2093,46,46,100,107.090182279237,196
"2093/2094",2094,46,46,100,143.318270279095,238
"2094/2095",2095,46,46,100,129.830255648529,537
"2095/2096",2096,46,46,100,908.850057663629,228
"2096/2097",2097,46,46,100,243.999573636102,152
"2097/2098",2098,46,46,100,310.144971414935,27
"2098/2099",2099,46,46,100,61.9614322190755,207
"2099/2100",2100,46,46,100,95.915545746102,587
