"Season","End_year","Season_days","Data_days","Perc_complete","GDH","Frost_H"
"2000/2001",2001,46,46,100,664.700101564883,195
"2001/2002",2002,46,46,100,52.0670979116403,396
"2002/2003",2003,46,46,100,145.052944560768,288
"2003/2004",2004,46,46,100,79.5956383330431,282
"2004/2005",2005,46,46,100,45.7233937018609,355
"2005/2006",2006,46,46,100,178.698094107587,385
"2006/2007",2007,46,46,100,347.703953844,456
"2007/2008",2008,46,46,100,597.146714729835,283
"2008/2009",2009,46,46,100,400.198066873254,371
"2009/2010",2010,46,46,100,208.598361625875,178
"2010/2011",2011,46,46,100,525.470411865477,130
"2011/2012",2012,46,46,100,33.9593728219916,665
"2012/2013",2013,46,46,100,1027.19935225885,194
"2013/2014",2014,46,46,100,108.867196565232,440
"2014/2015",2015,46,46,100,36.1257385130812,490
"2015/2016",2016,46,46,100,58.2927272805464,380
"2016/2017",2017,46,46,100,261.328291016362,147
"2017/2018",2018,46,46,100,56.848436002052,303
"2018/2019",2019,46,46,100,696.883669238086,357
"2019/2020",2020,46,46,100,563.242547041889,92
"2020/2021",2021,46,46,100,1022.10653197843,432
"2021/2022",2022,46,46,100,508.095950002011,48
"2022/2023",2023,46,46,100,120.648389910202,269
"2023/2024",2024,46,46,100,326.623181392133,456
"2024/2025",2025,46,46,100,87.0488053249137,246
"2025/2026",2026,46,46,100,497.632986382683,256
"2026/2027",2027,46,46,100,385.235582746172,216
"2027/2028",2028,46,46,100,746.197819032473,141
"2028/2029",2029,46,46,100,92.3343362290325,233
"2029/2030",2030,46,46,100,339.124647249046,227
"2030/2031",2031,46,46,100,824.330721439852,99
"2031/2032",2032,46,46,100,607.337330019494,20
"2032/2033",2033,46,46,100,223.198002540943,147
"2033/2034",2034,46,46,100,152.074836368061,308
"2034/2035",2035,46,46,100,51.8627656204771,530
"2035/2036",2036,46,46,100,430.871469639576,112
"2036/2037",2037,46,46,100,178.977583150554,152
"2037/2038",2038,46,46,100,540.125265071052,436
"2038/2039",2039,46,46,100,304.57324995345,172
"2039/2040",2040,46,46,100,1803.24137176451,0
"2040/2041",2041,46,46,100,382.251214082236,432
"2041/2042",2042,46,46,100,267.891820882767,355
"2042/2043",2043,46,46,100,96.9494270989089,301
"2043/2044",2044,46,46,100,942.879612328514,114
"2044/2045",2045,46,46,100,208.219331234257,313
"2045/2046",2046,46,46,100,577.461301761796,64
"2046/2047",2047,46,46,100,259.880223661312,138
"2047/2048",2048,46,46,100,109.32494831548,412
"2048/2049",2049,46,46,100,79.1686094748147,295
"2049/2050",2050,46,46,100,133.821277507435,420
"2050/2051",2051,46,46,100,1475.66875460435,0
"2051/2052",2052,46,46,100,368.455810089479,185
"2052/2053",2053,46,46,100,930.869528378476,25
"2053/2054",2054,46,46,100,712.790203444631,0
"2054/2055",2055,46,46,100,1252.24884170524,40
"2055/2056",2056,46,46,100,508.044836993882,311
"2056/2057",2057,46,46,100,166.788177715323,299
"2057/2058",2058,46,46,100,86.666671470739,526
"2058/2059",2059,46,46,100,117.674269144802,340
"2059/2060",2060,46,46,100,208.467591277527,44
"2060/2061",2061,46,46,100,633.305801780691,177
"2061/2062",2062,46,46,100,554.579221311578,80
"2062/2063",2063,46,46,100,61.2549398895935,484
"2063/2064",2064,46,46,100,349.923729560192,402
"2064/2065",2065,46,46,100,66.6483315188088,360
"2065/2066",2066,46,46,100,645.765805781208,310
"2066/2067",2067,46,46,100,316.632841520797,121
"2067/2068",2068,46,46,100,490.620746917033,262
"2068/2069",2069,46,46,100,284.984672167222,363
"2069/2070",2070,46,46,100,144.809025113325,360
"2070/2071",2071,46,46,100,569.654712269577,249
"2071/2072",2072,46,46,100,268.416371297149,280
"2072/2073",2073,46,46,100,59.2614981940715,398
"2073/2074",2074,46,46,100,818.713724847243,264
"2074/2075",2075,46,46,100,365.945692379028,235
"2075/2076",2076,46,46,100,187.489588456694,407
"2076/2077",2077,46,46,100,31.9587108060077,256
"2077/2078",2078,46,46,100,90.9883086888003,231
"2078/2079",2079,46,46,100,149.742356172297,303
"2079/2080",2080,46,46,100,445.874584761506,402
"2080/2081",2081,46,46,100,242.02772909269,349
"2081/2082",2082,46,46,100,152.116195915965,662
"2082/2083",2083,46,46,100,631.669938908541,350
"2083/2084",2084,46,46,100,547.001796287193,93
"2084/2085",2085,46,46,100,382.981380450772,163
"2085/2086",2086,46,46,100,441.793389606057,317
"2086/2087",2087,46,46,100,709.559935735189,486
"2087/2088",2088,46,46,100,969.7097936637,8
"2088/2089",2089,46,46,100,80.1650928388117,335
"2089/2090",2090,46,46,100,214.708205708535,28
"2090/2091",2091,46,46,100,377.19922138931,156
"2091/2092",2092,46,46,100,459.665618133789,191
"2092/2093",2093,46,46,100,90.8776201138389,194
"2093/2094",2094,46,46,100,139.432993048278,246
"2094/2095",2095,46,46,100,105.033213081537,521
"2095/2096",2096,46,46,100,900.381550427119,227
"2096/2097",2097,46,46,100,268.313604464696,178
"2097/2098",2098,46,46,100,330.714459185605,40
"2098/2099",2099,46,46,100,65.9181493934011,220
"2099/2100",2100,46,46,100,112.298499789613,603
