"Season","End_year","Season_days","Data_days","Perc_complete","GDH","Frost_H"
"2000/2001",2001,46,46,100,118.339364297274,421
"2001/2002",2002,46,46,100,11.3979430298523,652
"2002/2003",2003,46,46,100,20.991779449032,462
"2003/2004",2004,46,46,100,72.9259269040631,551
"2004/2005",2005,46,46,100,8.53178020251289,524
"2005/2006",2006,46,46,100,42.0104425894906,599
"2006/2007",2007,46,46,100,32.172778480387,584
"2007/2008",2008,46,46,100,271.797705205956,412
"2008/2009",2009,46,46,100,98.6014851107957,667
"2009/2010",2010,46,46,100,93.4856114411814,416
"2010/2011",2011,46,46,100,305.547671446166,244
"2011/2012",2012,46,46,100,0,891
"2012/2013",2013,46,46,100,631.179818841927,406
"2013/2014",2014,46,46,100,129.260190913825,688
"2014/2015",2015,46,46,100,1.01091913049822,704
"2015/2016",2016,46,46,100,0.749782122558827,627
"2016/2017",2017,46,46,100,63.3302478160767,383
"2017/2018",2018,46,46,100,33.203173773989,523
"2018/2019",2019,46,46,100,620.575632545424,542
"2019/2020",2020,46,46,100,273.159415979946,337
"2020/2021",2021,46,46,100,389.880519398983,498
"2021/2022",2022,46,46,100,140.773905136426,209
"2022/2023",2023,46,46,100,8.27153588649526,615
"2023/2024",2024,46,46,100,122.328321405032,671
"2024/2025",2025,46,46,100,2.14455196773633,486
"2025/2026",2026,46,46,100,154.318899278049,357
"2026/2027",2027,46,46,100,279.220509510968,418
"2027/2028",2028,46,46,100,305.709491464855,345
"2028/2029",2029,46,46,100,43.2022242608218,486
"2029/2030",2030,46,46,100,187.194813925438,419
"2030/2031",2031,46,46,100,301.782196989399,213
"2031/2032",2032,46,46,100,384.037002642959,188
"2032/2033",2033,46,46,100,72.8277646824135,306
"2033/2034",2034,46,46,100,31.5186122792948,490
"2034/2035",2035,46,46,100,0.0471019412798341,737
"2035/2036",2036,46,46,100,170.450510629234,329
"2036/2037",2037,46,46,100,75.6476366938587,449
"2037/2038",2038,46,46,100,152.408524537372,548
"2038/2039",2039,46,46,100,207.892366047541,462
"2039/2040",2040,46,46,100,1401.04180233016,121
"2040/2041",2041,46,46,100,219.034396797091,543
"2041/2042",2042,46,46,100,38.8663993484515,444
"2042/2043",2043,46,46,100,1.2899347320199,466
"2043/2044",2044,46,46,100,232.6492836131,307
"2044/2045",2045,46,46,100,30.4774980260481,495
"2045/2046",2046,46,46,100,92.0524629520442,195
"2046/2047",2047,46,46,100,80.2647437120468,360
"2047/2048",2048,46,46,100,99.2628059310518,662
"2048/2049",2049,46,46,100,3.35407692011358,569
"2049/2050",2050,46,46,100,6.63295154400839,592
"2050/2051",2051,46,46,100,940.811305492185,191
"2051/2052",2052,46,46,100,194.55290752271,496
"2052/2053",2053,46,46,100,325.392250421108,121
"2053/2054",2054,46,46,100,383.711312271858,157
"2054/2055",2055,46,46,100,593.588336277913,148
"2055/2056",2056,46,46,100,471.479921455946,581
"2056/2057",2057,46,46,100,65.6094653031178,441
"2057/2058",2058,46,46,100,27.747675121238,718
"2058/2059",2059,46,46,100,4.17224282815005,575
"2059/2060",2060,46,46,100,83.3683643315162,190
"2060/2061",2061,46,46,100,514.553699449913,341
"2061/2062",2062,46,46,100,314.961234916351,361
"2062/2063",2063,46,46,100,0.00241962019936182,633
"2063/2064",2064,46,46,100,19.9111758616054,565
"2064/2065",2065,46,46,100,1.1884290134185,561
"2065/2066",2066,46,46,100,65.6083189045603,406
"2066/2067",2067,46,46,100,80.7669046564406,364
"2067/2068",2068,46,46,100,246.994414984321,429
"2068/2069",2069,46,46,100,53.0571390173427,512
"2069/2070",2070,46,46,100,91.8503159334796,561
"2070/2071",2071,46,46,100,115.986453119898,499
"2071/2072",2072,46,46,100,107.858845349692,384
"2072/2073",2073,46,46,100,26.5569214062562,550
"2073/2074",2074,46,46,100,241.105171642921,359
"2074/2075",2075,46,46,100,126.181517712699,545
"2075/2076",2076,46,46,100,8.52071053418331,527
"2076/2077",2077,46,46,100,3.16364364298352,482
"2077/2078",2078,46,46,100,36.4214699465665,607
"2078/2079",2079,46,46,100,129.504820327566,592
"2079/2080",2080,46,46,100,172.4402171111,470
"2080/2081",2081,46,46,100,4.67400958389044,443
"2081/2082",2082,46,46,100,2.72105128044495,789
"2082/2083",2083,46,46,100,646.968278023458,680
"2083/2084",2084,46,46,100,168.053324148306,234
"2084/2085",2085,46,46,100,77.9511777769076,337
"2085/2086",2086,46,46,100,76.2914709025499,442
"2086/2087",2087,46,46,100,433.428603235589,626
"2087/2088",2088,46,46,100,358.908249991844,194
"2088/2089",2089,46,46,100,82.2891898527887,668
"2089/2090",2090,46,46,100,57.178572746925,309
"2090/2091",2091,46,46,100,112.191191795384,410
"2091/2092",2092,46,46,100,174.421382353888,276
"2092/2093",2093,46,46,100,13.6854063183273,437
"2093/2094",2094,46,46,100,85.1935729632823,579
"2094/2095",2095,46,46,100,0.0388374544563703,714
"2095/2096",2096,46,46,100,509.947075761767,394
"2096/2097",2097,46,46,100,174.699782720476,522
"2097/2098",2098,46,46,100,196.099499197429,290
"2098/2099",2099,46,46,100,39.0433087788406,601
"2099/2100",2100,46,46,100,114.801888259011,674
