"Season","End_year","Season_days","Data_days","Perc_complete","GDH","Frost_H"
"2000/2001",2001,46,46,100,181.980061658151,270
"2001/2002",2002,46,46,100,39.2405109291794,559
"2002/2003",2003,46,46,100,56.7519418716347,379
"2003/2004",2004,46,46,100,139.750393397522,359
"2004/2005",2005,46,46,100,25.1957533748191,438
"2005/2006",2006,46,46,100,81.3885724614156,404
"2006/2007",2007,46,46,100,71.6596684662454,498
"2007/2008",2008,46,46,100,462.103714719378,357
"2008/2009",2009,46,46,100,172.85991688901,615
"2009/2010",2010,46,46,100,187.821443958863,216
"2010/2011",2011,46,46,100,509.031964440303,187
"2011/2012",2012,46,46,100,0.0778748148004524,718
"2012/2013",2013,46,46,100,933.042900478205,274
"2013/2014",2014,46,46,100,209.398451285546,531
"2014/2015",2015,46,46,100,8.13809218870301,618
"2015/2016",2016,46,46,100,11.7868763609804,503
"2016/2017",2017,46,46,100,153.495098815038,295
"2017/2018",2018,46,46,100,86.4624675020023,450
"2018/2019",2019,46,46,100,947.522549599416,498
"2019/2020",2020,46,46,100,542.364971637791,291
"2020/2021",2021,46,46,100,616.580064305941,444
"2021/2022",2022,46,46,100,303.625481459829,128
"2022/2023",2023,46,46,100,21.535137194267,392
"2023/2024",2024,46,46,100,228.342104823132,553
"2024/2025",2025,46,46,100,9.83727498450753,288
"2025/2026",2026,46,46,100,309.362884558577,309
"2026/2027",2027,46,46,100,465.902459523684,333
"2027/2028",2028,46,46,100,571.590925596392,282
"2028/2029",2029,46,46,100,96.8762288901926,408
"2029/2030",2030,46,46,100,314.504167914376,368
"2030/2031",2031,46,46,100,586.460349936169,175
"2031/2032",2032,46,46,100,647.059074601071,90
"2032/2033",2033,46,46,100,173.763113008827,254
"2033/2034",2034,46,46,100,83.8960427225538,384
"2034/2035",2035,46,46,100,4.38395749162009,581
"2035/2036",2036,46,46,100,355.735314001126,278
"2036/2037",2037,46,46,100,161.391346182441,352
"2037/2038",2038,46,46,100,277.489634938043,481
"2038/2039",2039,46,46,100,395.345090451141,367
"2039/2040",2040,46,46,100,1853.5177828251,44
"2040/2041",2041,46,46,100,366.119406740137,483
"2041/2042",2042,46,46,100,79.0219876560295,388
"2042/2043",2043,46,46,100,14.9684271286678,356
"2043/2044",2044,46,46,100,455.47430677565,131
"2044/2045",2045,46,46,100,86.1872958180902,419
"2045/2046",2046,46,46,100,235.920235739744,121
"2046/2047",2047,46,46,100,195.87475784788,263
"2047/2048",2048,46,46,100,209.034223318289,553
"2048/2049",2049,46,46,100,11.5872694379359,412
"2049/2050",2050,46,46,100,25.290164998878,505
"2050/2051",2051,46,46,100,1444.79057471076,141
"2051/2052",2052,46,46,100,390.719876780262,421
"2052/2053",2053,46,46,100,618.258007691533,68
"2053/2054",2054,46,46,100,645.95982581802,116
"2054/2055",2055,46,46,100,969.336309807783,116
"2055/2056",2056,46,46,100,763.897886778112,474
"2056/2057",2057,46,46,100,155.226197880838,395
"2057/2058",2058,46,46,100,78.0860340892978,591
"2058/2059",2059,46,46,100,30.7721278056561,514
"2059/2060",2060,46,46,100,197.163683268969,111
"2060/2061",2061,46,46,100,816.014221100224,257
"2061/2062",2062,46,46,100,510.756777675939,224
"2062/2063",2063,46,46,100,1.77778043839498,532
"2063/2064",2064,46,46,100,56.5335455298191,394
"2064/2065",2065,46,46,100,11.8754241865827,460
"2065/2066",2066,46,46,100,173.644042373315,307
"2066/2067",2067,46,46,100,243.956026377622,307
"2067/2068",2068,46,46,100,438.97281765996,359
"2068/2069",2069,46,46,100,127.036205626529,373
"2069/2070",2070,46,46,100,187.135105041583,480
"2070/2071",2071,46,46,100,227.689092966117,338
"2071/2072",2072,46,46,100,195.195949120884,296
"2072/2073",2073,46,46,100,77.623611051531,496
"2073/2074",2074,46,46,100,453.355962709174,248
"2074/2075",2075,46,46,100,264.713727289432,378
"2075/2076",2076,46,46,100,32.9234115285799,388
"2076/2077",2077,46,46,100,8.78981952893082,269
"2077/2078",2078,46,46,100,76.1279866670084,414
"2078/2079",2079,46,46,100,260.585481379239,458
"2079/2080",2080,46,46,100,288.525233143329,399
"2080/2081",2081,46,46,100,26.7276539435552,394
"2081/2082",2082,46,46,100,13.2560461236571,707
"2082/2083",2083,46,46,100,920.978610146849,547
"2083/2084",2084,46,46,100,350.217006858322,149
"2084/2085",2085,46,46,100,177.062791263394,257
"2085/2086",2086,46,46,100,165.516297433642,326
"2086/2087",2087,46,46,100,611.200211504649,535
"2087/2088",2088,46,46,100,663.239218226925,172
"2088/2089",2089,46,46,100,176.661738375115,627
"2089/2090",2090,46,46,100,135.501728870935,226
"2090/2091",2091,46,46,100,250.556389895472,283
"2091/2092",2092,46,46,100,320.585854131379,234
"2092/2093",2093,46,46,100,50.7646825761185,349
"2093/2094",2094,46,46,100,176.013760305126,507
"2094/2095",2095,46,46,100,4.67055331019219,631
"2095/2096",2096,46,46,100,827.734508822847,383
"2096/2097",2097,46,46,100,357.666055317328,430
"2097/2098",2098,46,46,100,350.814968851802,189
"2098/2099",2099,46,46,100,85.0087626695749,515
"2099/2100",2100,46,46,100,195.834207055916,638
