"Season","End_year","Season_days","Data_days","Perc_complete","GDH","Frost_H"
"2000/2001",2001,46,46,100,1110.60855934045,142
"2001/2002",2002,46,46,100,218.523209412428,323
"2002/2003",2003,46,46,100,340.712971646799,153
"2003/2004",2004,46,46,100,199.348106238687,169
"2004/2005",2005,46,46,100,165.402052600637,198
"2005/2006",2006,46,46,100,384.931613370572,267
"2006/2007",2007,46,46,100,726.193611480932,402
"2007/2008",2008,46,46,100,1070.93291434263,257
"2008/2009",2009,46,46,100,656.729673981998,287
"2009/2010",2010,46,46,100,457.804177842794,72
"2010/2011",2011,46,46,100,899.777841320836,65
"2011/2012",2012,46,46,100,136.500977670978,532
"2012/2013",2013,46,46,100,1494.7998404275,166
"2013/2014",2014,46,46,100,158.311773088186,285
"2014/2015",2015,46,46,100,123.947515937631,407
"2015/2016",2016,46,46,100,247.433867016072,283
"2016/2017",2017,46,46,100,553.731645486332,109
"2017/2018",2018,46,46,100,146.378935621397,173
"2018/2019",2019,46,46,100,853.96638284807,260
"2019/2020",2020,46,46,100,976.459116742612,37
"2020/2021",2021,46,46,100,1635.75437800557,341
"2021/2022",2022,46,46,100,1028.43099456649,48
"2022/2023",2023,46,46,100,325.083811648088,210
"2023/2024",2024,46,46,100,552.014455524535,360
"2024/2025",2025,46,46,100,279.209533236237,152
"2025/2026",2026,46,46,100,958.260442202431,228
"2026/2027",2027,46,46,100,594.869756182947,116
"2027/2028",2028,46,46,100,1212.80083706178,97
"2028/2029",2029,46,46,100,238.177203199215,162
"2029/2030",2030,46,46,100,640.332739415535,106
"2030/2031",2031,46,46,100,1445.25126732378,1
"2031/2032",2032,46,46,100,1053.22984066128,0
"2032/2033",2033,46,46,100,528.684513727203,115
"2033/2034",2034,46,46,100,393.074574362661,189
"2034/2035",2035,46,46,100,203.332685315108,291
"2035/2036",2036,46,46,100,778.892575872684,86
"2036/2037",2037,46,46,100,368.795823159482,60
"2037/2038",2038,46,46,100,875.56708163736,290
"2038/2039",2039,46,46,100,475.66003052413,119
"2039/2040",2040,46,46,100,2451.32670733935,0
"2040/2041",2041,46,46,100,595.133838809561,362
"2041/2042",2042,46,46,100,652.02498775709,264
"2042/2043",2043,46,46,100,336.870687024348,198
"2043/2044",2044,46,46,100,1641.31771415551,86
"2044/2045",2045,46,46,100,489.080124565342,183
"2045/2046",2046,46,46,100,1234.74984639432,44
"2046/2047",2047,46,46,100,589.481531315047,106
"2047/2048",2048,46,46,100,165.245924457966,262
"2048/2049",2049,46,46,100,232.780393965048,176
"2049/2050",2050,46,46,100,283.022779441962,282
"2050/2051",2051,46,46,100,2088.85064839319,0
"2051/2052",2052,46,46,100,618.092516997887,105
"2052/2053",2053,46,46,100,1682.51026093011,9
"2053/2054",2054,46,46,100,1227.5202166361,0
"2054/2055",2055,46,46,100,1943.77259215066,0
"2055/2056",2056,46,46,100,624.600772825273,256
"2056/2057",2057,46,46,100,406.000026145572,239
"2057/2058",2058,46,46,100,194.393921606039,395
"2058/2059",2059,46,46,100,348.837595190969,221
"2059/2060",2060,46,46,100,527.177664176299,19
"2060/2061",2061,46,46,100,921.393481582985,142
"2061/2062",2062,46,46,100,893.980196901655,22
"2062/2063",2063,46,46,100,277.169764635531,396
"2063/2064",2064,46,46,100,722.87266282487,344
"2064/2065",2065,46,46,100,234.366851633153,227
"2065/2066",2066,46,46,100,1317.10206916515,307
"2066/2067",2067,46,46,100,667.783122470719,92
"2067/2068",2068,46,46,100,823.178600614774,177
"2068/2069",2069,46,46,100,598.199254813371,278
"2069/2070",2070,46,46,100,273.103350480029,170
"2070/2071",2071,46,46,100,1020.06844853493,182
"2071/2072",2072,46,46,100,565.238690777856,204
"2072/2073",2073,46,46,100,150.911847821495,311
"2073/2074",2074,46,46,100,1421.09233039053,195
"2074/2075",2075,46,46,100,659.788575590588,149
"2075/2076",2076,46,46,100,477.264716541045,347
"2076/2077",2077,46,46,100,201.195783464063,199
"2077/2078",2078,46,46,100,165.55547850969,125
"2078/2079",2079,46,46,100,231.58653867559,189
"2079/2080",2080,46,46,100,864.79115682398,354
"2080/2081",2081,46,46,100,610.278966866666,333
"2081/2082",2082,46,46,100,384.819029419508,557
"2082/2083",2083,46,46,100,703.878239543235,213
"2083/2084",2084,46,46,100,1037.11468061892,59
"2084/2085",2085,46,46,100,772.343980901933,137
"2085/2086",2086,46,46,100,927.558562928287,280
"2086/2087",2087,46,46,100,1096.97242695495,462
"2087/2088",2088,46,46,100,1634.49077980017,3
"2088/2089",2089,46,46,100,122.407562348875,180
"2089/2090",2090,46,46,100,482.14787890506,20
"2090/2091",2091,46,46,100,744.872663862072,61
"2091/2092",2092,46,46,100,812.255133121507,115
"2092/2093",2093,46,46,100,278.281240206736,140
"2093/2094",2094,46,46,100,301.743134716002,173
"2094/2095",2095,46,46,100,325.49167775095,434
"2095/2096",2096,46,46,100,1361.34385086928,198
"2096/2097",2097,46,46,100,403.191204417089,93
"2097/2098",2098,46,46,100,585.464876686048,19
"2098/2099",2099,46,46,100,131.933620647935,128
"2099/2100",2100,46,46,100,149.753102412215,420
