"Season","End_year","Season_days","Data_days","Perc_complete","GDH","Frost_H"
"2000/2001",2001,46,46,100,638.797655757935,405
"2001/2002",2002,46,46,100,34.3935135085176,536
"2002/2003",2003,46,46,100,121.045808400144,364
"2003/2004",2004,46,46,100,35.251466671949,365
"2004/2005",2005,46,46,100,23.8941176358721,483
"2005/2006",2006,46,46,100,149.979513435526,500
"2006/2007",2007,46,46,100,325.088840724389,501
"2007/2008",2008,46,46,100,388.532511026409,283
"2008/2009",2009,46,46,100,349.95345485197,473
"2009/2010",2010,46,46,100,130.955798454015,282
"2010/2011",2011,46,46,100,338.829516484278,170
"2011/2012",2012,46,46,100,31.0803225413038,734
"2012/2013",2013,46,46,100,706.143335034918,218
"2013/2014",2014,46,46,100,32.9492325170431,543
"2014/2015",2015,46,46,100,29.5921933690843,596
"2015/2016",2016,46,46,100,38.0766827589323,442
"2016/2017",2017,46,46,100,203.572341637173,232
"2017/2018",2018,46,46,100,19.9575379482776,400
"2018/2019",2019,46,46,100,359.28821229918,360
"2019/2020",2020,46,46,100,335.358965541331,109
"2020/2021",2021,46,46,100,895.243554324486,495
"2021/2022",2022,46,46,100,389.50957565962,99
"2022/2023",2023,46,46,100,111.927921781185,477
"2023/2024",2024,46,46,100,221.592443973641,494
"2024/2025",2025,46,46,100,74.8899578455312,402
"2025/2026",2026,46,46,100,376.029289287231,299
"2026/2027",2027,46,46,100,187.607519297446,234
"2027/2028",2028,46,46,100,561.043514858015,146
"2028/2029",2029,46,46,100,61.1335970162982,279
"2029/2030",2030,46,46,100,207.291619036361,312
"2030/2031",2031,46,46,100,595.10905983852,129
"2031/2032",2032,46,46,100,328.121909796289,28
"2032/2033",2033,46,46,100,133.250175103836,179
"2033/2034",2034,46,46,100,93.5763683918631,364
"2034/2035",2035,46,46,100,38.5507551214978,696
"2035/2036",2036,46,46,100,261.370424542067,117
"2036/2037",2037,46,46,100,90.8195474512613,220
"2037/2038",2038,46,46,100,450.764002652097,532
"2038/2039",2039,46,46,100,141.596798363462,200
"2039/2040",2040,46,46,100,1254.76300409558,58
"2040/2041",2041,46,46,100,245.05670785741,510
"2041/2042",2042,46,46,100,239.295111508967,427
"2042/2043",2043,46,46,100,74.617043764767,453
"2043/2044",2044,46,46,100,824.586307180856,200
"2044/2045",2045,46,46,100,148.829528562841,378
"2045/2046",2046,46,46,100,456.53523159372,130
"2046/2047",2047,46,46,100,158.138878763217,236
"2047/2048",2048,46,46,100,25.608537083157,487
"2048/2049",2049,46,46,100,71.9638508630596,541
"2049/2050",2050,46,46,100,119.130751000484,468
"2050/2051",2051,46,46,100,988.71423873234,0
"2051/2052",2052,46,46,100,169.886388226965,229
"2052/2053",2053,46,46,100,694.846401487128,52
"2053/2054",2054,46,46,100,442.526629169137,88
"2054/2055",2055,46,46,100,924.463987270326,40
"2055/2056",2056,46,46,100,203.764437384962,332
"2056/2057",2057,46,46,100,98.5840242031263,348
"2057/2058",2058,46,46,100,47.4980039566144,628
"2058/2059",2059,46,46,100,88.6024297941476,435
"2059/2060",2060,46,46,100,113.717923282922,46
"2060/2061",2061,46,46,100,307.846394664841,214
"2061/2062",2062,46,46,100,367.672195902589,154
"2062/2063",2063,46,46,100,50.6126651994127,539
"2063/2064",2064,46,46,100,326.659510925179,526
"2064/2065",2065,46,46,100,56.7803740176605,427
"2065/2066",2066,46,46,100,566.099430239614,370
"2066/2067",2067,46,46,100,187.939078002906,203
"2067/2068",2068,46,46,100,311.796186197549,286
"2068/2069",2069,46,46,100,235.641561895754,438
"2069/2070",2070,46,46,100,69.9624508825073,469
"2070/2071",2071,46,46,100,517.660409422708,299
"2071/2072",2072,46,46,100,184.84489264962,356
"2072/2073",2073,46,46,100,23.1866526663653,461
"2073/2074",2074,46,46,100,663.732546013023,358
"2074/2075",2075,46,46,100,243.288789562852,305
"2075/2076",2076,46,46,100,169.90008868408,459
"2076/2077",2077,46,46,100,20.8848685394914,412
"2077/2078",2078,46,46,100,67.6111101832357,320
"2078/2079",2079,46,46,100,32.6246614349075,335
"2079/2080",2080,46,46,100,345.736075001449,408
"2080/2081",2081,46,46,100,214.644294561935,391
"2081/2082",2082,46,46,100,144.846165152034,739
"2082/2083",2083,46,46,100,319.390058218065,381
"2083/2084",2084,46,46,100,399.697093272116,131
"2084/2085",2085,46,46,100,298.215375002677,259
"2085/2086",2086,46,46,100,357.964288874238,396
"2086/2087",2087,46,46,100,514.993452163733,498
"2087/2088",2088,46,46,100,741.809588247153,37
"2088/2089",2089,46,46,100,19.0112195184629,382
"2089/2090",2090,46,46,100,157.958391254477,115
"2090/2091",2091,46,46,100,271.515186961653,195
"2091/2092",2092,46,46,100,329.557921098545,220
"2092/2093",2093,46,46,100,66.6342350127234,285
"2093/2094",2094,46,46,100,68.0761094973132,289
"2094/2095",2095,46,46,100,97.4997729551978,665
"2095/2096",2096,46,46,100,573.761878687015,289
"2096/2097",2097,46,46,100,120.451867680647,214
"2097/2098",2098,46,46,100,175.337346509477,56
"2098/2099",2099,46,46,100,38.3035930683836,315
"2099/2100",2100,46,46,100,46.8895019752963,649
