"Season","End_year","Season_days","Data_days","Perc_complete","GDH","Frost_H"
"2000/2001",2001,46,46,100,644.38285030161,94
"2001/2002",2002,46,46,100,234.878220422554,271
"2002/2003",2003,46,46,100,343.992428340207,174
"2003/2004",2004,46,46,100,395.866158321383,177
"2004/2005",2005,46,46,100,177.178943692837,226
"2005/2006",2006,46,46,100,309.788225435259,230
"2006/2007",2007,46,46,100,402.428614910903,258
"2007/2008",2008,46,46,100,1260.49029023328,183
"2008/2009",2009,46,46,100,574.42214931846,277
"2009/2010",2010,46,46,100,623.569497556833,91
"2010/2011",2011,46,46,100,1247.98591335519,93
"2011/2012",2012,46,46,100,37.1888541049266,396
"2012/2013",2013,46,46,100,1866.30627722759,156
"2013/2014",2014,46,46,100,443.393060628106,341
"2014/2015",2015,46,46,100,119.211223240418,442
"2015/2016",2016,46,46,100,169.140989904612,233
"2016/2017",2017,46,46,100,615.024590235145,121
"2017/2018",2018,46,46,100,369.987989657908,252
"2018/2019",2019,46,46,100,1855.49057490169,307
"2019/2020",2020,46,46,100,1546.81392328045,107
"2020/2021",2021,46,46,100,1403.31183852139,258
"2021/2022",2022,46,46,100,1024.65969858703,12
"2022/2023",2023,46,46,100,159.907714819739,102
"2023/2024",2024,46,46,100,647.124146253424,383
"2024/2025",2025,46,46,100,121.47829345538,95
"2025/2026",2026,46,46,100,1017.38507771253,210
"2026/2027",2027,46,46,100,1123.33194063522,178
"2027/2028",2028,46,46,100,1530.56755987904,146
"2028/2029",2029,46,46,100,383.256396733806,123
"2029/2030",2030,46,46,100,806.142446809274,143
"2030/2031",2031,46,46,100,1703.36294457735,49
"2031/2032",2032,46,46,100,1640.84924014058,18
"2032/2033",2033,46,46,100,755.767732392473,136
"2033/2034",2034,46,46,100,373.509792599652,152
"2034/2035",2035,46,46,100,109.595926975366,353
"2035/2036",2036,46,46,100,1146.80378991936,86
"2036/2037",2037,46,46,100,573.685241319414,134
"2037/2038",2038,46,46,100,840.202233232267,328
"2038/2039",2039,46,46,100,1081.09091379395,169
"2039/2040",2040,46,46,100,3174.46920898411,0
"2040/2041",2041,46,46,100,844.260281185503,328
"2041/2042",2042,46,46,100,385.892595868092,186
"2042/2043",2043,46,46,100,206.923486881831,163
"2043/2044",2044,46,46,100,1427.16201879166,39
"2044/2045",2045,46,46,100,451.537180395215,198
"2045/2046",2046,46,46,100,1097.38654632162,13
"2046/2047",2047,46,46,100,738.403922939673,91
"2047/2048",2048,46,46,100,608.283074372273,374
"2048/2049",2049,46,46,100,122.821121633635,165
"2049/2050",2050,46,46,100,242.985892486642,279
"2050/2051",2051,46,46,100,2889.82883497933,0
"2051/2052",2052,46,46,100,1117.64445431606,101
"2052/2053",2053,46,46,100,1809.51176253008,0
"2053/2054",2054,46,46,100,1600.72312229569,0
"2054/2055",2055,46,46,100,2323.32712949358,37
"2055/2056",2056,46,46,100,1634.00489007193,325
"2056/2057",2057,46,46,100,648.85325837112,232
"2057/2058",2058,46,46,100,341.432324081659,366
"2058/2059",2059,46,46,100,294.658335705404,170
"2059/2060",2060,46,46,100,796.284027925576,34
"2060/2061",2061,46,46,100,1655.73873288743,145
"2061/2062",2062,46,46,100,1200.06605044554,45
"2062/2063",2063,46,46,100,131.682988096378,273
"2063/2064",2064,46,46,100,387.994226510054,245
"2064/2065",2065,46,46,100,150.696653195424,212
"2065/2066",2066,46,46,100,823.323955564061,133
"2066/2067",2067,46,46,100,1017.65430111997,133
"2067/2068",2068,46,46,100,1170.13406712655,182
"2068/2069",2069,46,46,100,553.308951602201,241
"2069/2070",2070,46,46,100,578.565918549313,304
"2070/2071",2071,46,46,100,794.006220617564,185
"2071/2072",2072,46,46,100,659.936732617789,200
"2072/2073",2073,46,46,100,382.240443410818,357
"2073/2074",2074,46,46,100,1319.83769484644,174
"2074/2075",2075,46,46,100,897.779507205589,165
"2075/2076",2076,46,46,100,304.375025265152,297
"2076/2077",2077,46,46,100,147.529613843421,103
"2077/2078",2078,46,46,100,315.19992375595,147
"2078/2079",2079,46,46,100,761.988758967142,283
"2079/2080",2080,46,46,100,757.842935370398,244
"2080/2081",2081,46,46,100,321.835076036747,273
"2081/2082",2082,46,46,100,143.241603113245,478
"2082/2083",2083,46,46,100,1579.22102620383,255
"2083/2084",2084,46,46,100,1200.16460457735,79
"2084/2085",2085,46,46,100,726.947329965536,118
"2085/2086",2086,46,46,100,665.479892357835,126
"2086/2087",2087,46,46,100,1200.02769092715,409
"2087/2088",2088,46,46,100,1811.56916647835,17
"2088/2089",2089,46,46,100,537.388383045793,250
"2089/2090",2090,46,46,100,557.805951252696,29
"2090/2091",2091,46,46,100,938.051460269722,63
"2091/2092",2092,46,46,100,1006.23990232951,162
"2092/2093",2093,46,46,100,306.010221855831,170
"2093/2094",2094,46,46,100,625.849936209735,195
"2094/2095",2095,46,46,100,113.913437378244,333
"2095/2096",2096,46,46,100,1892.41783404618,233
"2096/2097",2097,46,46,100,1033.06159837323,187
"2097/2098",2098,46,46,100,987.251844714512,47
"2098/2099",2099,46,46,100,332.266995746293,124
"2099/2100",2100,46,46,100,500.442001951509,495
