"Season","End_year","Season_days","Data_days","Perc_complete","GDH","Frost_H"
"2000/2001",2001,46,46,100,393.389612283278,165
"2001/2002",2002,46,46,100,144.006828679574,347
"2002/2003",2003,46,46,100,192.410879723961,285
"2003/2004",2004,46,46,100,315.800512009471,224
"2004/2005",2005,46,46,100,87.5670707086974,369
"2005/2006",2006,46,46,100,173.688929865028,302
"2006/2007",2007,46,46,100,203.709802149162,357
"2007/2008",2008,46,46,100,863.318901086728,224
"2008/2009",2009,46,46,100,394.893185861292,380
"2009/2010",2010,46,46,100,435.881659956678,154
"2010/2011",2011,46,46,100,961.146894934573,146
"2011/2012",2012,46,46,100,5.51958652888425,511
"2012/2013",2013,46,46,100,1455.53046549021,211
"2013/2014",2014,46,46,100,382.627622271626,432
"2014/2015",2015,46,46,100,54.3408664991875,514
"2015/2016",2016,46,46,100,62.3657511111087,357
"2016/2017",2017,46,46,100,404.396899276704,194
"2017/2018",2018,46,46,100,246.07407960498,292
"2018/2019",2019,46,46,100,1580.73035066998,414
"2019/2020",2020,46,46,100,1118.16901387763,209
"2020/2021",2021,46,46,100,970.062825308152,268
"2021/2022",2022,46,46,100,647.522783845547,37
"2022/2023",2023,46,46,100,70.5226924390008,195
"2023/2024",2024,46,46,100,451.560095585766,421
"2024/2025",2025,46,46,100,40.1142043039727,141
"2025/2026",2026,46,46,100,677.693366191088,245
"2026/2027",2027,46,46,100,880.660837264266,241
"2027/2028",2028,46,46,100,1109.41021750591,188
"2028/2029",2029,46,46,100,272.664443957503,209
"2029/2030",2030,46,46,100,586.454710324935,220
"2030/2031",2031,46,46,100,1192.74117737444,138
"2031/2032",2032,46,46,100,1243.98888919022,45
"2032/2033",2033,46,46,100,473.91294408284,171
"2033/2034",2034,46,46,100,218.879546220531,252
"2034/2035",2035,46,46,100,34.7585005578294,420
"2035/2036",2036,46,46,100,797.004664108739,117
"2036/2037",2037,46,46,100,367.096202011686,187
"2037/2038",2038,46,46,100,587.448398443405,415
"2038/2039",2039,46,46,100,829.718010031211,266
"2039/2040",2040,46,46,100,2667.47462962056,3
"2040/2041",2041,46,46,100,637.351799120777,427
"2041/2042",2042,46,46,100,181.897038785275,239
"2042/2043",2043,46,46,100,74.4747677145642,213
"2043/2044",2044,46,46,100,922.172767275886,71
"2044/2045",2045,46,46,100,236.414181040484,298
"2045/2046",2046,46,46,100,647.015964506543,42
"2046/2047",2047,46,46,100,480.653939414362,128
"2047/2048",2048,46,46,100,481.510073141661,414
"2048/2049",2049,46,46,100,54.9406964417431,230
"2049/2050",2050,46,46,100,123.887554063287,377
"2050/2051",2051,46,46,100,2328.75506835367,64
"2051/2052",2052,46,46,100,798.75176699023,228
"2052/2053",2053,46,46,100,1263.34556181548,20
"2053/2054",2054,46,46,100,1197.63704943837,64
"2054/2055",2055,46,46,100,1759.86089370766,72
"2055/2056",2056,46,46,100,1368.53782156168,361
"2056/2057",2057,46,46,100,426.476824454207,284
"2057/2058",2058,46,46,100,215.819891444,472
"2058/2059",2059,46,46,100,143.645202342013,306
"2059/2060",2060,46,46,100,530.072260700399,71
"2060/2061",2061,46,46,100,1389.19516211009,165
"2061/2062",2062,46,46,100,935.795882179402,111
"2062/2063",2063,46,46,100,40.626708507596,353
"2063/2064",2064,46,46,100,195.799714496883,283
"2064/2065",2065,46,46,100,66.1094194981852,288
"2065/2066",2066,46,46,100,436.156128394767,167
"2066/2067",2067,46,46,100,655.764749473892,191
"2067/2068",2068,46,46,100,878.075361457188,236
"2068/2069",2069,46,46,100,370.327102087263,315
"2069/2070",2070,46,46,100,427.881950384122,359
"2070/2071",2071,46,46,100,505.930137333344,229
"2071/2072",2072,46,46,100,434.521178129828,220
"2072/2073",2073,46,46,100,244.018753703684,366
"2073/2074",2074,46,46,100,862.869404612225,190
"2074/2075",2075,46,46,100,594.324184923898,250
"2075/2076",2076,46,46,100,131.37528583617,325
"2076/2077",2077,46,46,100,51.4204527528491,120
"2077/2078",2078,46,46,100,210.996526359464,295
"2078/2079",2079,46,46,100,581.321332072257,389
"2079/2080",2080,46,46,100,549.361939106719,310
"2080/2081",2081,46,46,100,148.587377426331,362
"2081/2082",2082,46,46,100,53.0965132646961,628
"2082/2083",2083,46,46,100,1422.17370532278,429
"2083/2084",2084,46,46,100,819.708457738627,116
"2084/2085",2085,46,46,100,450.893487303169,178
"2085/2086",2086,46,46,100,378.840387147153,173
"2086/2087",2087,46,46,100,971.990660367534,479
"2087/2088",2088,46,46,100,1270.43908591336,94
"2088/2089",2089,46,46,100,423.025397586054,408
"2089/2090",2090,46,46,100,353.53841650812,124
"2090/2091",2091,46,46,100,642.093411433976,192
"2091/2092",2092,46,46,100,689.954753594822,185
"2092/2093",2093,46,46,100,173.989034539787,246
"2093/2094",2094,46,46,100,443.879881311907,308
"2094/2095",2095,46,46,100,35.4570630007656,445
"2095/2096",2096,46,46,100,1425.83892921766,301
"2096/2097",2097,46,46,100,784.260216604103,252
"2097/2098",2098,46,46,100,735.694623799995,97
"2098/2099",2099,46,46,100,238.638832608471,242
"2099/2100",2100,46,46,100,409.941452491796,580
