"Season","End_year","Season_days","Data_days","Perc_complete","GDH","Frost_H"
"2000/2001",2001,46,46,100,79.4522165252376,455
"2001/2002",2002,46,46,100,7.40694907642774,660
"2002/2003",2003,46,46,100,13.9797343136643,487
"2003/2004",2004,46,46,100,62.240051096448,591
"2004/2005",2005,46,46,100,6.30316177304667,549
"2005/2006",2006,46,46,100,38.1584436440171,677
"2006/2007",2007,46,46,100,22.8063864049764,594
"2007/2008",2008,46,46,100,238.915513742673,426
"2008/2009",2009,46,46,100,69.7441852347438,670
"2009/2010",2010,46,46,100,75.398612795525,455
"2010/2011",2011,46,46,100,266.664834093252,271
"2011/2012",2012,46,46,100,0,904
"2012/2013",2013,46,46,100,575.498375301395,440
"2013/2014",2014,46,46,100,115.990563058924,713
"2014/2015",2015,46,46,100,0.59991694036944,722
"2015/2016",2016,46,46,100,0.169843139556178,656
"2016/2017",2017,46,46,100,46.8352413020293,403
"2017/2018",2018,46,46,100,24.672971380016,532
"2018/2019",2019,46,46,100,561.184265592427,565
"2019/2020",2020,46,46,100,233.737034406717,337
"2020/2021",2021,46,46,100,364.472504411395,521
"2021/2022",2022,46,46,100,121.838843155987,252
"2022/2023",2023,46,46,100,4.42015762274241,661
"2023/2024",2024,46,46,100,98.7121603548876,675
"2024/2025",2025,46,46,100,1.750928862617,535
"2025/2026",2026,46,46,100,131.06886230519,376
"2026/2027",2027,46,46,100,236.442604690747,470
"2027/2028",2028,46,46,100,260.779662374742,350
"2028/2029",2029,46,46,100,33.4227421607065,525
"2029/2030",2030,46,46,100,166.281154776327,453
"2030/2031",2031,46,46,100,252.341099575831,232
"2031/2032",2032,46,46,100,336.035854879374,215
"2032/2033",2033,46,46,100,53.068893281983,316
"2033/2034",2034,46,46,100,22.4120649558172,520
"2034/2035",2035,46,46,100,0.00333988071361091,757
"2035/2036",2036,46,46,100,136.699399793899,356
"2036/2037",2037,46,46,100,62.2922860432882,490
"2037/2038",2038,46,46,100,117.947652218601,568
"2038/2039",2039,46,46,100,173.450253428295,473
"2039/2040",2040,46,46,100,1323.77668057002,145
"2040/2041",2041,46,46,100,191.441645089784,581
"2041/2042",2042,46,46,100,32.6127995291317,450
"2042/2043",2043,46,46,100,0.755585808830801,490
"2043/2044",2044,46,46,100,194.58837420585,331
"2044/2045",2045,46,46,100,22.1671997274825,508
"2045/2046",2046,46,46,100,69.2481343422696,194
"2046/2047",2047,46,46,100,59.3331912577705,398
"2047/2048",2048,46,46,100,79.9231464403565,677
"2048/2049",2049,46,46,100,2.11463206868211,635
"2049/2050",2050,46,46,100,1.60495419689687,634
"2050/2051",2051,46,46,100,855.874391321937,200
"2051/2052",2052,46,46,100,160.781410052557,531
"2052/2053",2053,46,46,100,274.60858824024,130
"2053/2054",2054,46,46,100,340.838195632561,190
"2054/2055",2055,46,46,100,510.370287400001,150
"2055/2056",2056,46,46,100,415.279315224616,584
"2056/2057",2057,46,46,100,52.1226840540039,454
"2057/2058",2058,46,46,100,18.8775155243638,751
"2058/2059",2059,46,46,100,2.51455249491846,584
"2059/2060",2060,46,46,100,66.0271189876512,195
"2060/2061",2061,46,46,100,458.748661312158,371
"2061/2062",2062,46,46,100,274.349018859415,373
"2062/2063",2063,46,46,100,0,649
"2063/2064",2064,46,46,100,8.0596394900349,611
"2064/2065",2065,46,46,100,0.528927135921549,585
"2065/2066",2066,46,46,100,44.3475117889175,420
"2066/2067",2067,46,46,100,57.8217668666912,391
"2067/2068",2068,46,46,100,204.233797580586,446
"2068/2069",2069,46,46,100,39.9818138498813,558
"2069/2070",2070,46,46,100,72.5372526645369,573
"2070/2071",2071,46,46,100,88.3858169711311,511
"2071/2072",2072,46,46,100,90.6822529763158,413
"2072/2073",2073,46,46,100,17.7251660068287,561
"2073/2074",2074,46,46,100,215.161465444893,393
"2074/2075",2075,46,46,100,105.648283560731,556
"2075/2076",2076,46,46,100,5.62897091501509,553
"2076/2077",2077,46,46,100,1.3809350146621,544
"2077/2078",2078,46,46,100,28.4833416891634,635
"2078/2079",2079,46,46,100,100.686030515004,603
"2079/2080",2080,46,46,100,151.271232317056,493
"2080/2081",2081,46,46,100,0.851529141160427,461
"2081/2082",2082,46,46,100,0.785876235546311,792
"2082/2083",2083,46,46,100,596.19538457389,686
"2083/2084",2084,46,46,100,133.553830097982,263
"2084/2085",2085,46,46,100,60.7163071844261,366
"2085/2086",2086,46,46,100,60.2461430898984,478
"2086/2087",2087,46,46,100,399.187004691048,668
"2087/2088",2088,46,46,100,308.690493075992,198
"2088/2089",2089,46,46,100,66.8286842094967,678
"2089/2090",2090,46,46,100,43.7519652588526,322
"2090/2091",2091,46,46,100,87.1125388265355,421
"2091/2092",2092,46,46,100,141.35994382482,323
"2092/2093",2093,46,46,100,9.34730018055416,447
"2093/2094",2094,46,46,100,69.4298468453344,601
"2094/2095",2095,46,46,100,0,788
"2095/2096",2096,46,46,100,450.998361646925,396
"2096/2097",2097,46,46,100,142.512065276736,553
"2097/2098",2098,46,46,100,168.962067911896,310
"2098/2099",2099,46,46,100,30.3985746690596,617
"2099/2100",2100,46,46,100,98.424603925203,684
