"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,37.1616196650567,184.549635952519,69.0925786628593,88.1501516715068,1749.40225763379,1631.5,1564.52261338981,1660,1646,1211,1608,78.9562198703498
"2002/2003",2003,120,120,100,37.6629680429952,171.465711952737,73.4354518835865,90.2935749586982,1835.02212261029,1698.5,1619.42959998754,1690.5,1740.5,1353,1705.5,82.0928153327312
"2003/2004",2004,120,120,100,46.2877791934303,208.177917964162,74.4951876158603,96.9843635167179,1873.90129134487,1618,1495.03650742106,1720,1609.5,1458,1591.5,84.0216304857047
"2004/2005",2005,121,121,100,51.574210487634,245.547315695385,67.9011395649165,95.2352988028069,2112.31916047903,1947.5,1754.09735772314,1965.5,1914,1680,1892.5,86.9724063068135
"2005/2006",2006,120,120,100,45.2442415101513,226.389531730649,62.9126316089897,89.786793311026,2073.76083990592,1972,1891.34039460137,1960.5,1979,1471,1968,86.0150502767178
"2006/2007",2007,120,120,100,48.7995469772148,242.449873350536,66.6480200459005,90.800578997495,1944.92132711551,1785,1677.31296784039,1811.5,1810,1485,1769.5,82.5293382953021
"2007/2008",2008,120,120,100,43.4867129480761,192.961049872279,82.7037670485548,94.3039781938281,1708.70359166941,1509,1372.55839228202,1603,1469.5,1368,1456,76.5528608534072
"2008/2009",2009,121,121,100,42.5156173919092,244.0259345474,69.787987827842,92.919525234675,1921.02183703655,1720.5,1615.71884291574,1788.5,1723.5,1471,1696,83.4000458924447
"2009/2010",2010,120,120,100,45.2427046215806,200.151424486275,71.2925168166698,93.1158695776768,1993.60779392322,1808.5,1703.73168831722,1852,1833.5,1523,1818.5,84.2323660648763
"2010/2011",2011,120,120,100,59.5371111918453,246.661702787722,68.8516457583585,94.3701290080701,2246.45823628853,2101,1916.43962232125,2119.5,2066.5,1808,2066,89.2090658069149
"2011/2012",2012,120,120,100,52.1695700363409,204.375713920555,74.0907310664769,95.9392177593572,1978.73132591867,1769.5,1584.94182411911,1878,1692.5,1642,1681,83.6188052561065
"2012/2013",2013,121,121,100,43.91496958978,207.327195824729,72.5531124659714,94.1316875088992,1887.91350968603,1709,1625.32242606704,1730.5,1724.5,1383,1698.5,84.3642731785944
"2013/2014",2014,120,120,100,47.7784564197077,205.943458866107,76.4689383287298,96.9999543256844,1923.57968411341,1636.5,1488.94836667523,1790,1614,1535,1597.5,82.0822484664291
"2014/2015",2015,120,120,100,23.3796765121463,114.997423663672,84.0904643801596,93.9994424587904,1309.87438828531,1049.5,917.287283228827,1175,1029.5,963,968,67.8440847646077
"2015/2016",2016,120,120,100,44.1052508166479,181.270964832719,70.696845025913,93.4919746873141,1955.51560613907,1750.5,1656.47255770823,1774.5,1756.5,1403,1735,84.6987825193598
"2016/2017",2017,121,121,100,40.77217582589,198.232710446577,71.5151464369142,91.9544085109468,1743.30211882274,1533.5,1382.4258386201,1601,1527,1367,1451.5,77.8398793923652
"2017/2018",2018,120,120,100,33.9032267278322,160.827660808817,77.7958761184766,90.643476777279,1624.13262090666,1451,1378.94354691111,1484,1471,1150,1432,75.0107967110216
"2018/2019",2019,120,120,100,37.8679180812638,157.647673948803,87.47112033805,95.904206628573,1678.41507801741,1392,1268.06112822218,1546.5,1379.5,1333,1350,74.538824246978
"2019/2020",2020,120,120,100,37.9891943367265,198.095449618538,68.964660246429,90.8611619344242,1774.9828906291,1584.5,1467.2342180191,1653.5,1570.5,1324,1526,78.616304367868
"2020/2021",2021,121,121,100,45.8730905607736,216.930241672581,64.8370018062251,90.736082039469,1928.49141708711,1740,1657.90809484064,1761,1790,1391,1726,84.4053078343659
"2021/2022",2022,120,120,100,40.8715616930605,189.998322029479,81.9647004523305,95.9046978900107,1627.99022211056,1379,1224.62128830988,1510.5,1322.5,1258,1302.5,76.2091638801685
"2022/2023",2023,120,120,100,44.2702195152411,180.05420550888,76.1442395108564,95.1133528592081,1736.01751641695,1466.5,1341.50366101063,1619,1404,1323,1377,76.868833176914
"2023/2024",2024,120,120,100,44.2985617010781,245.413089194554,63.7755118427826,91.3257366503957,2024.57558934654,1852,1732.62863371978,1897,1852.5,1488,1818.5,85.4247521202064
"2024/2025",2025,121,121,100,47.6353584092105,204.38244887681,69.3831555179875,94.1163445913526,2054.68964329199,1825.5,1778.64052269562,1889,1866.5,1497,1851,88.6632705479219
"2025/2026",2026,120,120,100,42.9812663210032,200.066325916679,71.2174360101615,93.0018588419588,1881.04209860245,1652.5,1529.84474635358,1758,1647,1473,1614,81.2370427229484
"2026/2027",2027,120,120,100,40.9545920668334,202.665816770162,83.9264386533195,96.7987139914872,1640.92571437712,1337.5,1241.32768847285,1494,1320.5,1302,1306.5,75.6817149518524
"2027/2028",2028,120,120,100,46.1880138126326,154.844284065776,77.1808234899742,95.3995469914297,1910.14707945715,1712.5,1572.03531170982,1781.5,1678,1469,1663.5,81.5076688773502
"2028/2029",2029,121,121,100,50.6881932490397,261.577908297356,72.0595335303024,96.7698148667377,1914.30058678855,1704.5,1556.51284739186,1813,1658.5,1541,1652.5,84.8424362985456
"2029/2030",2030,120,120,100,49.7601528758933,220.71073128103,73.9880066643891,95.245632226356,1894.11753862117,1690.5,1553.85732052851,1781.5,1654,1473,1639.5,84.2015243751011
"2030/2031",2031,120,120,100,43.3213505693295,236.986499397472,64.7111584150732,90.3482478612044,1860.85863549818,1707.5,1596.96668739844,1741.5,1693,1353,1651.5,83.8301491616735
"2031/2032",2032,120,120,100,42.8979597160793,214.918780141203,71.4706123031063,93.6246512339689,1794.72191057789,1556,1421.02937259251,1628,1565,1384,1504.5,79.499750821316
"2032/2033",2033,121,121,100,53.6516076857741,216.306132404625,75.7077291061786,95.0591579108252,2023.48636802436,1818,1669.84347663895,1870.5,1837.5,1625,1803.5,83.232102912034
"2033/2034",2034,120,120,100,46.9223750017556,225.015766114029,75.9762608457229,96.5374380866632,1811.73488858173,1585,1440.19541103925,1700.5,1543.5,1444,1530.5,81.1242637993346
"2034/2035",2035,120,120,100,37.4092976621907,165.198384806269,84.4574422914308,96.0132479865422,1649.38666351922,1375,1274.75600992769,1513,1350,1309,1332,73.9364248176589
"2035/2036",2036,120,120,100,45.691404555097,196.163693388477,73.2034570463178,94.5092478710333,1838.42837141095,1602,1422.90252944322,1725.5,1537.5,1484,1505.5,80.4271446248722
"2036/2037",2037,121,121,100,44.7896509472347,203.723996445792,71.4518004505567,92.8598592725527,1934.57862450088,1780.5,1694.87586823018,1801.5,1777,1403,1762.5,84.5280081334704
"2037/2038",2038,120,120,100,53.4654312992068,210.749452088664,83.0227511362225,100.067269307435,1869.24728030847,1601,1330.85345134311,1746.5,1493.5,1649,1478.5,79.2462851013779
"2038/2039",2039,120,120,100,43.9098312704328,200.916650747051,69.9992308406862,90.8270683751625,1896.37508846215,1755.5,1642.67990362723,1766.5,1745.5,1420,1719,81.1265643516381
"2039/2040",2040,120,120,100,38.4486162169752,183.755957859551,62.9586922412777,88.5513333689288,1933.42910298666,1822,1759.4557508278,1795,1841.5,1356,1805,85.1232677975122
"2040/2041",2041,121,121,100,42.2042121482404,202.512857897147,70.5015794184213,93.953278898456,1943.61012386729,1717.5,1657.92441008708,1786,1755.5,1396,1736.5,84.1884936271817
"2041/2042",2042,120,120,100,54.0321617165522,182.594525051762,77.7814331884127,98.5797809477385,2131.92991159363,1898,1703.99568262877,1980.5,1857,1794,1855.5,85.0353515262132
"2042/2043",2043,120,120,100,25.9718665400925,135.999324732244,66.4727005891621,83.853558156974,1633.17475006642,1512,1470.90001581129,1480,1553.5,1072,1472.5,77.412401367902
"2043/2044",2044,120,120,100,55.4951261602506,238.424131782628,76.8384354458514,99.6150161345171,2017.39227913067,1754,1532.85394680385,1906.5,1693.5,1739,1682,82.2905712061984
"2044/2045",2045,121,121,100,54.3346093075956,218.626936135735,71.8673279748038,95.3461476523612,2146.60736056964,1963.5,1794.72083994956,2007,1948.5,1693,1930,85.630451571461
"2045/2046",2046,120,120,100,37.9857772737825,194.0391021907,76.3022381534364,94.5586361992455,1714.42284032278,1500.5,1383.31169620621,1573.5,1486,1328,1461.5,80.039177777353
"2046/2047",2047,120,120,100,49.0354166788083,190.722429072856,79.0834300331949,97.0592558968367,1862.54514537865,1617,1432.77706428834,1737,1574,1531,1543,81.4706950951231
"2047/2048",2048,120,120,100,44.742744420142,165.660328793444,81.2846611565002,92.416471303663,1820.07601870171,1636,1568.10466702533,1687,1673,1353,1651.5,80.03078352987
"2048/2049",2049,121,121,100,56.266837951337,251.496345584643,69.8279672500972,97.2635659153759,2106.51706347687,1880.5,1698.31670617598,1948,1836.5,1687,1824.5,87.8247113734851
