"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,43.120686079241,-23.0406364093713,103.509373309669,99.2555391262667,1973.84562845903,1599,1538.2801238337,1810.5,1604.5,1547,1604.5,78.2401300859381
"2002/2003",2003,120,120,100,53.1977711995463,-22.561586494531,101.268770304827,101.097515307761,2140.23539493174,1841,1662.31470074117,1996.5,1809.5,1824,1809.5,78.5499512373668
"2003/2004",2004,120,120,100,48.3964607743954,-25.5975141089185,117.160896315017,103.595727139844,1922.03448411957,1583.5,1232.15460835563,1843,1459,1839,1459,66.4448817086144
"2004/2005",2005,121,121,100,41.7613426978286,-24.5772468729467,115.859856473033,103.861102645192,1815.89278766413,1380.5,1207.82139855013,1667,1315.5,1653,1315.5,64.2935789021689
"2005/2006",2006,120,120,100,49.9435973280064,-18.4718652005188,104.650578872874,103.211643730803,2090.55179810757,1748,1482.50205771658,1926,1667,1846,1667,75.2561431240445
"2006/2007",2007,120,120,100,35.7176918661098,-12.4539329162963,126.861092442882,101.748347337299,1602.69265994423,1220.5,1005.45730848675,1481,1107.5,1520,1107.5,58.7088882404537
"2007/2008",2008,120,120,100,66.1362594782972,-31.8434329638335,97.8236470946868,104.607822617081,2489.70818657426,2256,1785.75047224562,2409.5,2097,2435,2097,83.6117425247792
"2008/2009",2009,121,121,100,33.9507496125323,-25.5939762639972,129.249556297375,103.254245913727,1544.10788552586,1133.5,897.575899655189,1460.5,1020.5,1482,1020.5,61.6143999195037
"2009/2010",2010,120,120,100,57.647460244959,-26.3780876047819,101.943710545518,102.31809470472,2271.78739581843,2011,1708.94962561007,2115,1905.5,2031,1905.5,80.3312878767738
"2010/2011",2011,120,120,100,50.0875379382097,-20.7020140346064,101.943863305957,103.191204855624,2127.81870226804,1693,1515.33938487968,1967,1639.5,1858,1639.5,76.1487838349713
"2011/2012",2012,120,120,100,50.4519672286729,-22.315951450729,100.973733439022,98.9432835863242,2107.74625250068,1805,1746.22473528269,1897,1828.5,1690,1828.5,80.5540239209222
"2012/2013",2013,121,121,100,35.8731346355905,-21.5876131861028,118.821271755805,101.234834468753,1678.76463454447,1303,1160.1169471532,1514.5,1246,1369,1246,64.5386136812681
"2013/2014",2014,120,120,100,57.2525390586883,-26.9939914626007,104.744963740411,101.523530604872,2178.10658736732,1931.5,1668.29382953871,2039.5,1850.5,1977,1850.5,80.7096732306522
"2014/2015",2015,120,120,100,39.6762501685832,-28.5417550986909,113.449511504228,103.898475366433,1810.52509114577,1375.5,1183.87972015196,1655,1293,1564,1293,67.9793167134926
"2015/2016",2016,120,120,100,56.3530963455982,-25.9916067408438,102.692663298158,101.180714136357,2202.46969416911,1959.5,1716.07863967765,2081,1896.5,2029,1896.5,79.5765697223542
"2016/2017",2017,121,121,100,38.516830224127,-23.4215529270416,116.649533456891,105.731127855848,1782.7776216973,1278.5,1082.72722881421,1625,1210,1607,1210,66.1217899116932
"2017/2018",2018,120,120,100,66.3733132202078,-26.1175032815221,101.436652947281,102.54119571645,2343.09096723437,2149,1799.00520040182,2257,2048,2275,2048,81.7479441311275
"2018/2019",2019,120,120,100,58.0203712415482,-29.1154191926396,94.8994234378068,99.684891003745,2312.8697894941,2043,1902.73219659721,2153,2023.5,1996,2023.5,84.1443847330675
"2019/2020",2020,120,120,100,55.6003985080864,-22.480904713177,110.578076424627,103.708226334623,2127.3503075073,1799,1470.14057269345,2014,1670.5,2126,1670.5,75.0667907047819
