"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,43.8034010052607,-0.980344989391125,105.68747642442,101.148636677424,1954.78036327049,1586,1423.49735995086,1815,1500.5,1626,1500.5,76.5805002407981
"2002/2003",2003,120,120,100,52.0720252981836,-5.24617945059456,103.919221606813,102.489481723862,2089.21382181529,1751,1533.1428856725,1921,1712.5,1851,1712.5,74.3303812515077
"2003/2004",2004,120,120,100,43.2801405900595,-6.12820549853495,119.955841490665,104.543948898436,1780.88937537921,1404.5,1040.94686949158,1674,1232.5,1798,1232.5,61.2666026679534
"2004/2005",2005,121,121,100,38.0333443705146,-3.31199773833616,118.58210776635,104.346764533623,1677.98408613883,1269,1046.29216242859,1527,1172.5,1532,1172.5,59.3853532933698
"2005/2006",2006,120,120,100,46.0785411299416,-0.975254896115417,107.250484078632,104.04029610335,1963.79452786454,1571.5,1314.35054794539,1828.5,1491.5,1818,1491.5,69.9597469900273
"2006/2007",2007,120,120,100,34.3617631034317,2.44360105985293,129.340906803157,101.630727432773,1445.69848565511,1081,863.591064605389,1339,965.5,1443,965.5,53.7328689295246
"2007/2008",2008,120,120,100,59.0459651892405,-7.48653784805555,100.427332868504,106.379789460852,2339.73109823529,1977.5,1551.66962235983,2251,1794.5,2313,1794.5,78.4019296220249
"2008/2009",2009,121,121,100,29.0138423434395,-8.91717911869174,132.668939143213,102.090552149141,1345.91414225192,970.5,748.988890464581,1249.5,863,1244,863,56.2614277203454
"2009/2010",2010,120,120,100,55.0528890574242,-4.48570506521628,104.341038750102,104.486388910905,2205.29330469522,1900.5,1518.81487292707,2085.5,1757,2053,1757,78.4199683832167
"2010/2011",2011,120,120,100,48.377950657497,-2.9753153935627,104.81045266141,103.664568440799,2025.55822897761,1635,1390.27288940179,1878,1582,1743,1582,72.1659217857839
"2011/2012",2012,120,120,100,51.6928364837101,-1.38857359563577,103.323623283714,100.529762401032,2040.41591102999,1735,1590.21649955544,1903,1741,1761,1741,75.9845402896995
"2012/2013",2013,121,121,100,33.6086717579292,-3.57864206623879,121.731077600731,101.414721815438,1557.75370806993,1164,1027.14251650516,1434.5,1121,1311,1121,60.8550231860518
"2013/2014",2014,120,120,100,55.1534850117414,-6.01747611251503,107.311843130216,102.47744149254,2080.36873354345,1782,1515.76376228481,1964,1697,1943,1697,78.0814919611303
"2014/2015",2015,120,120,100,37.1052565085868,-6.94357781905799,115.88380813697,104.738092508145,1721.63646590903,1248,1035.01091967869,1582.5,1188.5,1585,1188.5,65.1346489062098
"2015/2016",2016,120,120,100,55.8636760140517,-3.62680847825498,105.147054324189,103.111193175996,2123.77994648185,1831.5,1529.66180079393,2015.5,1728,2025,1728,75.1437503584339
"2016/2017",2017,121,121,100,36.0155577603939,-0.818251607634619,119.145264949028,106.421791261882,1650.05727023125,1145.5,914.530444797063,1512,1065,1450,1065,61.7420905308845
"2017/2018",2018,120,120,100,63.1463718362015,-2.26270400435114,104.13272468757,104.229895498424,2238.99119730436,1963.5,1591.62529733054,2154.5,1847.5,2229,1847.5,78.6579795504981
"2018/2019",2019,120,120,100,62.7046712125009,-6.28328425709248,96.9796392119913,102.137639731407,2345.59720317149,2061.5,1817.7041568033,2182.5,2011,2153,2011,81.5740708819708
"2019/2020",2020,120,120,100,49.9993538879395,-1.45701561628736,113.406621511561,104.292958036537,1954.22755627373,1566.5,1254.37310384309,1868,1442,1955,1442,69.9546863614987
"2020/2021",2021,121,121,100,44.0578797930838,-1.50180789189762,113.457879803045,102.227956128169,1826.1980069126,1482.5,1305.04555266698,1689,1393,1698,1393,68.0753779081065
"2021/2022",2022,120,120,100,49.7233629821075,-7.0784799694893,113.243970601618,101.991033781229,1901.90634603678,1647,1319.57301628187,1830,1546.5,1798,1546.5,70.1481564137575
"2022/2023",2023,120,120,100,43.5779602406289,-4.48957197173013,105.769299354286,98.2016450597568,1835.41659986794,1600,1398.34972907658,1752,1511,1517,1511,71.9602899534711
"2023/2024",2024,120,120,100,49.0927789732731,2.13892436031018,115.151648756938,106.161958357654,1913.90635150773,1488,1132.77366037476,1833,1310,1945,1310,67.0326285400743
"2024/2025",2025,121,121,100,57.3798617552968,-1.01630674091424,97.7781334443679,104.371099070576,2326.09469786062,1994,1685.5634868834,2181,1878.5,2105,1878.5,80.5623561764523
"2025/2026",2026,120,120,100,50.7255076460428,3.80218280420651,106.425265143792,104.346603572984,2046.1028162,1672,1385.93104566498,1911.5,1554.5,1973,1554.5,73.6333808930458
"2026/2027",2027,120,120,100,30.5781341504424,-6.88661626210633,129.101184578912,101.081125721668,1400.24664625406,956.5,823.08940775058,1295.5,896,1318,896,53.9050321897839
"2027/2028",2028,120,120,100,59.145940603207,-2.94735254251495,92.9875397011368,98.8056043702097,2325.22524054861,2057.5,1963.42105081375,2120,2131,1861,2131,86.5768431398255
"2028/2029",2029,121,121,100,37.8394997484127,-1.39356438435476,123.717570430439,106.187148688137,1566.26216241729,1140.5,841.732916002264,1474,1003,1521,1003,56.8220610223607
"2029/2030",2030,120,120,100,40.6313109694642,-6.73581669433713,110.310940348824,101.709972159902,1844.49567752663,1455.5,1263.17155810545,1685.5,1373,1580,1373,71.0874383457885
"2030/2031",2031,120,120,100,27.0179111623187,-1.98272290848381,130.461336800336,98.9932357337218,1286.37714317298,921.5,801.839848173404,1167,865,1127,865,52.4683986965683
"2031/2032",2032,120,120,100,33.558329114701,-2.38646419592828,124.570001288822,104.747088131222,1511.43921435482,1002.5,795.50821503617,1420.5,877.5,1497,877.5,55.386738256936
"2032/2033",2033,121,121,100,56.3100593875628,0.408339273811548,103.743098878684,102.93569360231,2226.63586542293,1911,1657.90917182177,2067,1857,2060,1857,80.0689166831908
"2033/2034",2034,120,120,100,36.3430338574489,-2.47497189293134,119.349369813209,102.616565663057,1619.42045132912,1243,1009.29736709603,1487,1155.5,1495,1155.5,64.5746306461879
"2034/2035",2035,120,120,100,45.2173157655037,-7.57468499882335,106.892070245544,101.000830840536,1963.38606394109,1620.5,1387.07209422966,1789.5,1525,1773,1525,72.7217315393709
"2035/2036",2036,120,120,100,44.5172899194211,-2.6843032787606,105.707616143712,102.420242564557,1922.80896011763,1578,1355.85402163828,1802.5,1437,1759,1437,72.1165381428045
"2036/2037",2037,121,121,100,48.067299169274,-7.24449424268718,109.03491756378,105.319495957021,2010.77195761044,1558,1343.94402767395,1843,1469.5,1902,1469.5,71.5837387654383
"2037/2038",2038,120,120,100,45.3109607119052,-7.03285714532568,109.320567714411,101.328308587768,1919.6581263947,1567.5,1357.21345954511,1759.5,1513,1636,1513,75.1293670156629
"2038/2039",2039,120,120,100,59.3755770072042,-2.94073884291411,104.632362851367,106.255421200092,2256.03288191979,1947.5,1507.2348858086,2173.5,1748,2287,1748,75.0050952089659
"2039/2040",2040,120,120,100,48.8068875997817,1.50311990498063,105.067006894534,103.157342058435,2023.81474765457,1653,1441.56014783247,1813.5,1617,1762,1617,73.9578473963929
"2040/2041",2041,121,121,100,49.9107332736483,-5.05902343649483,106.429614884722,106.446209987984,2098.65688286541,1637.5,1374.8752572966,2000,1532,1976,1532,74.038984535684
"2041/2042",2042,120,120,100,60.8880084142251,-0.421957463321875,91.6099552182,99.7854304918066,2402.21578105193,2170.5,1967.52753543924,2228,2179,1981,2179,85.6306194904755
"2042/2043",2043,120,120,100,44.3515451687514,-0.989337393971226,102.354212789887,99.4595940121694,1971.82556260363,1692,1495.36133656575,1842,1624.5,1556,1624.5,77.3584325995016
"2043/2044",2044,120,120,100,40.3550062331665,-10.4422611599757,114.37197644827,107.092005437961,1803.82072324326,1286.5,1000.37967544125,1676.5,1128.5,1763,1128.5,66.2420272545878
"2044/2045",2045,121,121,100,59.6460470216206,-4.61075969821784,100.185880419606,106.005388045253,2361.45809237572,2020.5,1645.14321505558,2236.5,1923.5,2211,1923.5,80.9260694071982
"2045/2046",2046,120,120,100,32.3149108807595,-6.67983537079337,123.62124914981,104.913042905317,1520.06059083893,1069,799.204214738478,1401,887,1437,887,58.1587556588202
"2046/2047",2047,120,120,100,53.7213292254779,-3.13785402520244,105.971993432274,102.844042994785,2106.28828354721,1831,1507.64458711297,1993,1712.5,1991,1712.5,75.2933057376431
"2047/2048",2048,120,120,100,47.5927238505884,-9.07526628832265,103.141824956089,103.077182726264,2064.63285388635,1649,1456.07547344224,1943.5,1566.5,1835,1566.5,74.936565357255
"2048/2049",2049,121,121,100,49.34455810273,2.21448868852834,118.211956327771,102.22989173179,1956.88412061398,1654,1332.21138857969,1812.5,1530.5,1802,1530.5,68.7463955307066
"2049/2050",2050,120,120,100,50.0862564065718,-10.4678461709348,111.518876727234,107.783858272498,1966.82401849813,1567.5,1144.03495521066,1868,1397.5,1949,1397.5,67.0280737816938
