"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,42.8668397515093,7.47874796718996,106.436880363047,100.759323254916,1864.91044947344,1486.5,1365.68611518903,1714.5,1443,1572,1443,73.5510309961473
"2002/2003",2003,120,120,100,52.7313497920702,1.85886414674378,104.213902599985,103.536946453142,2104.83433514517,1760.5,1482.29160895188,1973,1714,1948,1714,72.7528545883381
"2003/2004",2004,120,120,100,38.7590531739628,1.9022169136186,120.367876334982,105.025725298029,1703.52561080726,1260.5,942.11760102745,1589.5,1091.5,1703,1091.5,58.6037555694427
"2004/2005",2005,121,121,100,35.6958754458005,2.8696122973435,118.984608531467,104.735546362993,1614.43408627142,1166.5,963.954073409444,1467,1055,1508,1055,57.5939029642082
"2005/2006",2006,120,120,100,41.8089588658101,5.35358946194385,108.096757298883,103.62704336924,1881.94061579682,1481,1233.82343528654,1783.5,1398.5,1688,1398.5,68.5826245526348
"2006/2007",2007,120,120,100,31.873374194818,5.26086485380196,129.756339545422,101.425929525135,1382.65047575597,978,800.404132807995,1291,896.5,1335,896.5,51.3950729405219
"2007/2008",2008,120,120,100,55.3264177481428,2.24687839226311,101.126196447428,106.836667857807,2270.65024290382,1857,1461.22714190663,2148,1678.5,2262,1678.5,77.1619862250182
"2008/2009",2009,121,121,100,27.7565078276939,-1.38964138632739,133.457317542718,101.815661757922,1293.36834316393,906,705.999070154714,1193.5,807,1192,807,52.5005914227036
"2009/2010",2010,120,120,100,51.7051871338061,5.64267428087396,105.232238884151,104.538172620438,2142.50690060414,1776.5,1442.9451710456,2024.5,1658.5,2003,1658.5,76.0091825562142
"2010/2011",2011,120,120,100,46.9011598664805,4.21200043034926,105.410114939124,104.052414639917,1989.57677502318,1555.5,1336.28847594637,1842,1499.5,1750,1499.5,70.6013018175349
"2011/2012",2012,120,120,100,51.2164659448781,6.63936269558832,103.917491795323,100.531534543167,2014.55388785672,1729.5,1556.35659245625,1860,1686.5,1753,1686.5,74.7271924814172
"2012/2013",2013,121,121,100,32.2977992769485,2.66678366480198,122.254600303335,101.476906260545,1517.48762190336,1123.5,983.856459525538,1390,1074.5,1249,1074.5,58.9515773482694
"2013/2014",2014,120,120,100,54.1542608283457,3.80182807073402,107.492850930466,103.477177623229,2057.51152877908,1735,1432.44128114491,1951,1644.5,1970,1644.5,76.3746532217247
"2014/2015",2015,120,120,100,35.3170450220475,1.67336825592221,116.278405513044,104.807366784775,1655.3105738303,1176,966.924925157131,1502,1089.5,1518,1089.5,62.6631268752972
"2015/2016",2016,120,120,100,55.1441317429956,5.18895548098887,105.485718421343,103.967149169664,2101.14977119681,1782.5,1467.41226793903,1973,1656,2027,1656,73.172299886126
"2016/2017",2017,121,121,100,34.4888481286421,6.95089240910229,119.587675345143,106.355274481348,1594.03915958514,1115.5,867.03877083557,1462,983,1437,983,59.7208346917437
"2017/2018",2018,120,120,100,61.4576784141873,5.88539831768646,104.590977782979,104.986278848072,2204.51255316264,1892.5,1501.38164382703,2124,1793,2203,1793,77.709295752753
"2018/2019",2019,120,120,100,60.6079079023731,2.44034138091483,97.483890577722,102.624437809424,2298.33808726392,1976.5,1738.21933368193,2132,1940.5,2080,1940.5,79.8782695701489
"2019/2020",2020,120,120,100,49.1848875786881,5.80163254769634,113.988187440184,104.784518627293,1924.37941880958,1522.5,1190.2180924366,1849.5,1390.5,1922,1390.5,68.5851826222151
"2020/2021",2021,121,121,100,42.6865627647194,4.73895522258005,114.304952394472,101.741918539553,1771.96041860165,1427.5,1260.39988365698,1641,1364.5,1660,1364.5,66.9356892734486
"2021/2022",2022,120,120,100,48.8140154501369,3.69452716909327,114.215115354668,101.441197803299,1857.63682009501,1589.5,1275.77053637645,1773.5,1516,1724,1516,68.1862084539607
"2022/2023",2023,120,120,100,42.619648405816,2.80834128590619,106.166072789938,98.5801001870048,1800.26206032388,1541.5,1327.63477205363,1706,1489.5,1514,1489.5,70.4828862362092
"2023/2024",2024,120,120,100,47.5709207824634,9.04883091052053,115.876383223048,105.619338680857,1847.4853289648,1454,1089.97112988938,1762.5,1283.5,1828,1283.5,64.6706824794401
"2024/2025",2025,121,121,100,56.3528818647262,6.61409556942167,98.2254903541588,104.85545009033,2309.14623567244,1951,1645.96509151088,2177.5,1807.5,2088,1807.5,79.3166277627288
"2025/2026",2026,120,120,100,51.7774706759144,9.32342038338628,106.901722297138,104.76924285973,2024.31377012588,1648.5,1341.95318938869,1922.5,1541.5,1970,1541.5,72.2590913859067
"2026/2027",2027,120,120,100,30.3230989982397,-0.493739840559925,129.41909838613,101.318295131832,1353.77883654871,925,775.157354886644,1249.5,840,1281,840,51.2041115750289
"2027/2028",2028,120,120,100,60.9740567062954,5.3713856447575,93.4638496599437,99.6512886238954,2333.26383848212,2034.5,1934.12620622586,2158.5,2114,1952,2114,85.4036828630533
"2028/2029",2029,121,121,100,36.0425538522286,8.44361705595881,124.54367654945,105.131572074196,1482.9899895874,1085.5,815.26274640669,1364,974.5,1385,974.5,54.1787276281275
"2029/2030",2030,120,120,100,39.2238816743133,1.26016325795351,110.636716599757,102.15662152825,1831.03553014345,1385.5,1221.64754023738,1672,1329.5,1574,1329.5,69.7728385872997
"2030/2031",2031,120,120,100,26.347644806713,1.75046523868359,130.9668599368,99.2233587887564,1245.29236994206,868.5,753.133457068063,1126.5,806.5,1055,806.5,49.6129317559889
