"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,44.5823402701244,2.06019833776476,105.730633851906,101.576347887649,1972.39283831754,1578,1410.15339059972,1858.5,1522,1675,1522,76.2533042995245
"2002/2003",2003,120,120,100,51.3526523229537,-1.01196903073994,104.171384922035,102.466675572115,2066.88955162411,1738.5,1507.69892967779,1923.5,1671,1862,1671,72.210107070733
"2003/2004",2004,120,120,100,42.4318744297772,-4.04951963533848,120.10873182065,104.414344209351,1749.47489836412,1352.5,1020.41146529345,1631,1192.5,1772,1192.5,60.7067931084013
"2004/2005",2005,121,121,100,37.6866584252285,-1.32146349838561,118.707851112282,104.361905065015,1660.47148287139,1274.5,1030.98613141801,1500,1151,1505,1151,59.2040959946172
"2005/2006",2006,120,120,100,47.1322712008673,1.58455017087704,107.652014078304,103.902962065889,1951.54057589134,1587,1312.06882097871,1821,1497,1797,1497,69.2697815561905
"2006/2007",2007,120,120,100,34.6194599183674,3.07864005089661,129.550947586256,101.259534722091,1424.43145824308,1058,859.077889184922,1336.5,977.5,1427,977.5,53.3400876562848
"2007/2008",2008,120,120,100,58.5610815807491,-0.889990268679895,100.642299544812,106.41264334985,2306.88467452501,1954.5,1523.85226655336,2223,1762.5,2240,1762.5,77.2795093945404
"2008/2009",2009,121,121,100,28.8730426355325,-5.34268095649988,133.008856966019,101.803159567305,1326.44790146265,963,741.63177442193,1226.5,862,1237,862,55.0342457709421
"2009/2010",2010,120,120,100,54.6412055696625,-0.838047777741734,104.481824986381,105.06557130628,2193.90784166184,1880.5,1482.852860983,2075.5,1694.5,2095,1694.5,77.1849575604583
"2010/2011",2011,120,120,100,49.2522884059339,0.0196824376936786,105.2946024373,103.421808483779,2029.39262690083,1682,1399.6725568359,1879.5,1621,1746,1621,72.2204553482184
"2011/2012",2012,120,120,100,51.0585455046214,0.485132924734534,103.451840582996,100.870106257322,2032.16467401831,1727.5,1560.6586344289,1890.5,1716.5,1749,1716.5,75.7525087908048
"2012/2013",2013,121,121,100,34.0749118391025,-0.639666316969573,121.974333561496,101.358212100331,1550.04887019735,1158.5,1021.64449194264,1431,1115,1345,1115,60.3370176211502
"2013/2014",2014,120,120,100,54.0586592383,-2.23631068387298,107.601948458717,102.279903185997,2051.61523465051,1755,1496.185217994,1945,1663.5,1917,1663.5,77.1467759657589
"2014/2015",2015,120,120,100,37.1729191347927,-2.78637263060111,115.923745337874,104.714098665049,1712.43727009874,1265,1019.44879567933,1571,1151,1571,1151,64.8055848087943
"2015/2016",2016,120,120,100,54.8792660322329,-1.12774845163111,105.320920535021,103.17748846828,2101.31762386026,1811.5,1502.93688664231,1973,1705,1979,1705,74.3669395861853
"2016/2017",2017,121,121,100,35.76344171239,1.76090611365174,119.227825245594,106.599056371656,1636.08365979113,1129,892.178216398243,1483.5,1035.5,1457,1035.5,60.8446382424481
"2017/2018",2018,120,120,100,62.8608818364958,1.31895578800759,104.355074345876,104.243440580489,2222.46177059722,1951,1570.89699771788,2138,1825.5,2222,1825.5,77.4574179714405
"2018/2019",2019,120,120,100,63.6803032560239,0.36054861388248,96.9281329390337,102.598623223322,2358.88703650942,2071,1805.74158244235,2210.5,2010.5,2213,2010.5,81.7495406779963
"2019/2020",2020,120,120,100,49.6544906443553,2.03319488500532,113.759440702771,104.192688686952,1932.50596195828,1540,1236.90114591419,1844,1415,1936,1415,68.2866681729602
"2020/2021",2021,121,121,100,43.6880620393997,1.35517265115674,113.745006198425,102.270088452514,1820.28533655233,1468,1289.36389311582,1671.5,1388.5,1686,1388.5,67.7847243698761
"2021/2022",2022,120,120,100,49.478922631444,-2.72226336858348,113.208939432496,102.631853939776,1902.07531839483,1640.5,1289.16384151154,1839.5,1506,1811,1506,69.2826409805293
"2022/2023",2023,120,120,100,42.2534957630572,-2.93586274670562,106.028788685665,98.2748498951656,1805.03384038067,1574.5,1367.23463043499,1737.5,1452.5,1475,1452.5,70.6899728499993
"2023/2024",2024,120,120,100,48.0288069017316,3.74882636374816,115.39960108556,106.17871456044,1891.92592151501,1450.5,1104.09872130303,1801.5,1284.5,1927,1284.5,65.6837526896506
"2024/2025",2025,121,121,100,56.1563343284881,1.83803630356123,98.130306402037,104.370141317153,2284.31491861673,1920,1642.03873868761,2117,1835,2047,1835,78.9786615933644
"2025/2026",2026,120,120,100,50.832794807424,4.49660984516838,106.587021492994,104.652296333918,2045.40439592418,1661.5,1369.92264320716,1918.5,1545,2003,1545,74.382575052291
"2026/2027",2027,120,120,100,29.087297462214,-1.89115510445497,129.612036164901,100.455714564456,1363.19918142739,938.5,805.64344240677,1247.5,863,1261,863,52.0561781324768
"2027/2028",2028,120,120,100,59.1388047550223,-0.10942702375353,93.2782819911861,98.8543894249015,2316.16948351613,2089,1947.59744549076,2108.5,2122,1791,2122,85.6969516006793
"2028/2029",2029,121,121,100,36.9126225485967,2.77290040962511,123.806842717216,106.529154974828,1548.18113041995,1106.5,802.556514020311,1478.5,966.5,1541,966.5,56.2756474497082
"2029/2030",2030,120,120,100,41.0155702459872,-1.52665678141237,110.453766206439,101.613451393101,1834.66875004026,1462,1254.08809242987,1693.5,1391,1577,1391,70.3342842716038
"2030/2031",2031,120,120,100,26.6923496395042,-0.0750183008285488,131.087244869382,98.3671792051618,1266.05524575207,925,805.214750307176,1151,858,1092,858,50.9237979837617
"2031/2032",2032,120,120,100,33.5040777497263,1.25200083588716,124.949368452947,104.317210178645,1488.88756817876,997.5,795.353193781964,1396,870,1492,870,55.6464214852713
"2032/2033",2033,121,121,100,57.112444677444,2.87619610673352,103.88098973821,103.253826708804,2234.11039243109,1923,1650.48268915716,2080,1854,2085,1854,79.8261076418312
"2033/2034",2034,120,120,100,35.0149479858603,-1.04183142341958,119.49232708294,102.80146347868,1608.13322104778,1225,980.583839058585,1476.5,1111.5,1481,1111.5,64.2147483417248
"2034/2035",2035,120,120,100,45.2615405764162,-3.20182941799618,106.913530201505,101.198845529392,1955.38588210728,1626.5,1371.52851490281,1808,1512,1752,1512,73.1490932467768
"2035/2036",2036,120,120,100,43.8477103099949,2.13754410570063,105.834197919284,102.314607304189,1908.15883153319,1525,1348.6057487604,1780.5,1437,1750,1437,71.1192324449949
"2036/2037",2037,121,121,100,47.1152563636518,-2.75524669595917,109.291025170211,105.106887896729,1977.54380670033,1522,1321.61235769239,1816.5,1456.5,1867,1456.5,71.0480564823501
